chash,sampleid
b2a3870dd33336c68da1,GUT_GENOME138446
05ab380b0d39d6d40a10,GUT_GENOME138446
eb55be0bd0d42686d0c0,GUT_GENOME138446
68cf2c4f150570a2d06f,GUT_GENOME138446
b377a9de2ecfc3cfc2e0,GUT_GENOME138446
10e4a1fab0bc0a8acdd1,GUT_GENOME138446
ed6d9b929789f2a97213,GUT_GENOME138446
82444389509f9f21281d,GUT_GENOME138446
abeab28479d48ee01de9,GUT_GENOME138446
9bc0ca2a0137d83912b4,GUT_GENOME138446
7bd631bf419da1f535bf,GUT_GENOME138446
0c6c190a9748b5b9bdd4,GUT_GENOME138446
97f109ab77229fa42988,GUT_GENOME138446
03e9e4cfe34ffd67cc54,GUT_GENOME138446
8ff95cbb86b260ab3c0e,GUT_GENOME138446
e20cf8a7142cef11ddfd,GUT_GENOME138446
f8f53bd81e79d000367e,GUT_GENOME138446
0ef7cdef46863c3a7d94,GUT_GENOME138446
74b6163ca8df2e3244a0,GUT_GENOME138446
bad36f86c8f03a88eafb,GUT_GENOME138446
ccc17de231d95390f7ed,GUT_GENOME138446
6a9c6b6f824127e483e8,GUT_GENOME138446
eacd5492a7ef6cd50d8f,GUT_GENOME138446
81fc1e19e45c3faa7645,GUT_GENOME138446
4a50b0004e36d9aa8e15,GUT_GENOME138446
104f83560d349dedccf8,GUT_GENOME138446
6cf7d4d31d3eb9f22619,GUT_GENOME138446
74981d6982b1451a8aee,GUT_GENOME138446
2e2330ab25bac90a9a1b,GUT_GENOME138446
069cbd92cee9b44ee764,GUT_GENOME138446
03d2034c422117f7cbe5,GUT_GENOME138446
5120643663931853b236,GUT_GENOME138446
6cc0ed2e67391234260d,GUT_GENOME138446
ba05666fb8937d955dce,GUT_GENOME138446
6f041ccea88cf6dc8192,GUT_GENOME138446
fe90b2fa748546010dcf,GUT_GENOME138446
ca43cc6a78729568970c,GUT_GENOME138446
c15a1805b53ba6b59395,GUT_GENOME138446
c4c760fce25f0b854af0,GUT_GENOME138446
c41e6c8a3e7ed268f527,GUT_GENOME138446
e82137fc3122a1ae22c1,GUT_GENOME138446
7de95c79b5c213381408,GUT_GENOME138446
dffe9a140a4807c7f1dc,GUT_GENOME138446
8a0b7e391ca8efa32816,GUT_GENOME138446
1bf8b9a146e4664dcd8c,GUT_GENOME138446
7c80d6eeb90cb5590153,GUT_GENOME138446
f4186e550788fb0420eb,GUT_GENOME138446
3a0b072fe113b168d9c6,GUT_GENOME138446
b633ab45d0ed112135ea,GUT_GENOME138446
5cf1e7c1a29a1736b5c5,GUT_GENOME138446
766db962486fbbcd4ce8,GUT_GENOME138446
e347e3d04378d3d1aac3,GUT_GENOME138446
9140dedf63dd758f24e3,GUT_GENOME138446
13a7121b9860716bea0e,GUT_GENOME138446
7742a94e261e7c201473,GUT_GENOME138446
3939747734f5e7b15fdd,GUT_GENOME138446
7b6d7abf890a5c847577,GUT_GENOME138446
b189fcf4931ba4cefe6f,GUT_GENOME138446
b9ee7e19f2280d833f24,GUT_GENOME138446
845b9f756c0afa29f0eb,GUT_GENOME138446
6329cab6a26b3be6213d,GUT_GENOME138446
1406d08270b20c1bee59,GUT_GENOME138446
85b384eb8cb44ef6b21b,GUT_GENOME138446
ac3e38d9f0c555d7ce88,GUT_GENOME138446
3a48dd1ee9df41acaad6,GUT_GENOME138446
1cd488a4e4db6971272a,GUT_GENOME138446
0cddca2050153aff5421,GUT_GENOME138446
34ef0f51160acd5a81e4,GUT_GENOME138446
ca21246bacb1dc065a56,GUT_GENOME138446
4cc6cf79c1bbd947f511,GUT_GENOME138446
a4e1956834fc08908b66,GUT_GENOME138446
5d7077b05fb73d55b84b,GUT_GENOME138446
5a62faf8b8fc13b6298f,GUT_GENOME138446
a654b05f7e28d1c4746d,GUT_GENOME138446
9ebcf47d7ecb5c7794d5,GUT_GENOME138446
8e3f7d274be560968e37,GUT_GENOME138446
57741aab06089ae67a75,GUT_GENOME138446
61c909ea80b71fac4e3d,GUT_GENOME138446
9397fa4813e46d96047c,GUT_GENOME138446
4f847f2a5c7ba68cd5d2,GUT_GENOME138446
b7e91e5ae787da92c131,GUT_GENOME138446
9902a0930788ffb54ce3,GUT_GENOME138446
9ca04ae6fb3b5cef0ce8,GUT_GENOME138446
c1baae0a5a74123ee89f,GUT_GENOME138446
3e42a2dc28b456546741,GUT_GENOME138446
effff2aaa7c24509c649,GUT_GENOME138446
0043de1b62ec6f2a340d,GUT_GENOME138446
dade79d37ff928290fb7,GUT_GENOME138446
97f21ae7d530cae1e86a,GUT_GENOME138446
