recid,hash,chash,start,end
GUT_GENOME138446_1,e64735b3a78a0b4bb38d,b2a3870dd33336c68da1,3,65
GUT_GENOME138446_1,4f8b1e7902cbc66c754d,b2a3870dd33336c68da1,158,856
GUT_GENOME138446_1,be047f8a49c024e652aa,b2a3870dd33336c68da1,933,1112
GUT_GENOME138446_1,3705da3274c53d5c0beb,b2a3870dd33336c68da1,1192,1779
GUT_GENOME138446_1,09d74cc415afcdcd87cb,b2a3870dd33336c68da1,1871,1993
GUT_GENOME138446_1,52fc0b397c3bf8bc922b,b2a3870dd33336c68da1,2039,2662
GUT_GENOME138446_1,da7cdd1079d4ca245964,b2a3870dd33336c68da1,2659,3495
GUT_GENOME138446_1,ce5bca18c11e79179bd1,b2a3870dd33336c68da1,3505,5280
GUT_GENOME138446_1,724b5dc95f669d3255fd,b2a3870dd33336c68da1,5280,6020
GUT_GENOME138446_1,a14010b5e4347e3a436a,b2a3870dd33336c68da1,6035,7048
GUT_GENOME138446_1,5fe3eef9c890edb72167,b2a3870dd33336c68da1,7114,7653
GUT_GENOME138446_1,27f630fe2e93c0d4b723,b2a3870dd33336c68da1,7790,9826
GUT_GENOME138446_1,b0fbb75d4b319435821c,b2a3870dd33336c68da1,9816,10142
GUT_GENOME138446_1,51ac7925e224d6a4b81b,b2a3870dd33336c68da1,10384,11322
GUT_GENOME138446_1,319803ec98b7f0d936a0,b2a3870dd33336c68da1,11530,12087
GUT_GENOME138446_1,b70f5cd0e77d9d1fc011,b2a3870dd33336c68da1,12133,12450
GUT_GENOME138446_1,1a45df603f95cd856a0f,b2a3870dd33336c68da1,12450,13403
GUT_GENOME138446_1,7a2b6cbc58d694036e94,b2a3870dd33336c68da1,13424,15505
GUT_GENOME138446_1,40acc54bfb4058d7feca,b2a3870dd33336c68da1,15617,15808
GUT_GENOME138446_1,deec737666b18b3e0ef4,b2a3870dd33336c68da1,15747,16778
GUT_GENOME138446_1,f9cfff0f5dce0e161f7e,b2a3870dd33336c68da1,17448,18341
GUT_GENOME138446_1,09ae37bfac0904251f9f,b2a3870dd33336c68da1,18510,19100
GUT_GENOME138446_1,049672a12c4860b80936,b2a3870dd33336c68da1,19118,19972
GUT_GENOME138446_1,2c9f97eb0eed5458b6fd,b2a3870dd33336c68da1,20401,21321
GUT_GENOME138446_1,b221fdbdf49a74b693c2,b2a3870dd33336c68da1,21284,21589
GUT_GENOME138446_1,355c4b765114786b8e6d,b2a3870dd33336c68da1,21696,22712
GUT_GENOME138446_1,a026e2c5525e626284b7,b2a3870dd33336c68da1,22713,23066
GUT_GENOME138446_1,4c17b9a45819274ac570,b2a3870dd33336c68da1,23060,23644
GUT_GENOME138446_1,d315f33097f8326f056a,b2a3870dd33336c68da1,23641,24090
GUT_GENOME138446_1,4f92308c9e74ca3f9576,b2a3870dd33336c68da1,24405,25520
GUT_GENOME138446_1,0528f48290f98a2e0c8a,b2a3870dd33336c68da1,25530,26456
GUT_GENOME138446_1,164e933d7bc39a52f66c,b2a3870dd33336c68da1,26556,26912
GUT_GENOME138446_1,a89b4f325e91a525fee8,b2a3870dd33336c68da1,26978,27640
GUT_GENOME138446_1,63ed6618a331b67aac75,b2a3870dd33336c68da1,27671,29323
GUT_GENOME138446_1,f7be24cec59d9d7d583e,b2a3870dd33336c68da1,29443,30015
GUT_GENOME138446_1,c2ed3a3c99545545824d,b2a3870dd33336c68da1,30032,31159
GUT_GENOME138446_1,ced09177ca88a7067df7,b2a3870dd33336c68da1,31353,31616
GUT_GENOME138446_1,2ea3e74ed835be235a50,b2a3870dd33336c68da1,31673,32908
GUT_GENOME138446_1,196df7939541540f1a80,b2a3870dd33336c68da1,33011,33325
GUT_GENOME138446_1,8d7f2972b4acf5ef0f7b,b2a3870dd33336c68da1,33517,34125
GUT_GENOME138446_1,7d979fcd6d9342738ba3,b2a3870dd33336c68da1,34158,34271
GUT_GENOME138446_1,7254ba60a73c913b82b0,b2a3870dd33336c68da1,34333,35598
GUT_GENOME138446_1,4ea5a78fccaf81af2036,b2a3870dd33336c68da1,35606,36346
GUT_GENOME138446_1,4bea5d2552cf17bbaae8,b2a3870dd33336c68da1,36369,38369
GUT_GENOME138446_1,5201bd36d580d9dcc5c6,b2a3870dd33336c68da1,38449,38658
GUT_GENOME138446_1,f8873dcc67c51535d4ef,b2a3870dd33336c68da1,38719,39399
GUT_GENOME138446_1,936d76985d68b4918582,b2a3870dd33336c68da1,39421,40671
GUT_GENOME138446_1,3c0b93931d13d26cf4bd,b2a3870dd33336c68da1,40757,41290
GUT_GENOME138446_1,4cda3774be7acdeb3051,b2a3870dd33336c68da1,41324,41845
GUT_GENOME138446_1,03ef9b28bff4e9453db1,b2a3870dd33336c68da1,41899,42936
GUT_GENOME138446_1,f2d3343f2201b5ad2681,b2a3870dd33336c68da1,43182,43766
GUT_GENOME138446_1,01a40d9b306b612f6629,b2a3870dd33336c68da1,43759,45597
GUT_GENOME138446_1,994bcd3e261ac0e58ec1,b2a3870dd33336c68da1,45606,46952
GUT_GENOME138446_1,fc8e6b5b5a16a350b7bb,b2a3870dd33336c68da1,47040,47897
GUT_GENOME138446_1,0ae00afb9875ed46936d,b2a3870dd33336c68da1,47954,48562
GUT_GENOME138446_1,052ca53fcb8ce145ba25,b2a3870dd33336c68da1,48562,49512
GUT_GENOME138446_1,9acb3f78454880f9edfe,b2a3870dd33336c68da1,49505,49837
GUT_GENOME138446_1,f8e7b5e547564650c8b2,b2a3870dd33336c68da1,49886,50008
GUT_GENOME138446_1,4bc357d30625c3feaa90,b2a3870dd33336c68da1,50080,50172
GUT_GENOME138446_1,0afea7e2a28d1a0cc5b1,b2a3870dd33336c68da1,50301,50816
GUT_GENOME138446_1,f062d8e2d2e1f033c7c6,b2a3870dd33336c68da1,51071,51892
GUT_GENOME138446_1,cb27a3c565bb5600b10d,b2a3870dd33336c68da1,51864,52742
GUT_GENOME138446_1,4f6ffa7dffc36a88c7b3,b2a3870dd33336c68da1,53005,53217
GUT_GENOME138446_1,aa01d6dfea373b00c271,b2a3870dd33336c68da1,53248,53958
GUT_GENOME138446_1,cc5906c93a0d079cfb36,b2a3870dd33336c68da1,54039,55325
GUT_GENOME138446_1,b9a6ab6136f34155ce62,b2a3870dd33336c68da1,55322,56233
GUT_GENOME138446_1,c8e2548c6035dd78c9bf,b2a3870dd33336c68da1,56242,56538
GUT_GENOME138446_1,4beddaa990464d79c549,b2a3870dd33336c68da1,56567,59485
GUT_GENOME138446_1,e79d040bb4abd5aeec26,b2a3870dd33336c68da1,59490,60041
GUT_GENOME138446_1,5a89f12734fa6d58656c,b2a3870dd33336c68da1,60117,61553
GUT_GENOME138446_1,4deeb434d314aef1c0fd,b2a3870dd33336c68da1,61724,62434
GUT_GENOME138446_1,c98d26ebd620bf97fabc,b2a3870dd33336c68da1,62587,63345
GUT_GENOME138446_1,9330d3af31bf6ced87c9,b2a3870dd33336c68da1,63338,65872
GUT_GENOME138446_1,5eb02a3f3b0f42eb07ad,b2a3870dd33336c68da1,65896,66231
GUT_GENOME138446_1,3bde89f5935e6e9c1d0e,b2a3870dd33336c68da1,66231,66602
GUT_GENOME138446_1,15ec4cb61ff2c950c139,b2a3870dd33336c68da1,66641,67351
GUT_GENOME138446_1,266d0b0092e3ddebd8b2,b2a3870dd33336c68da1,67376,68776
