recid,phash,qhash
GUT_GENOME138446_1,4f8b1e7902cbc66c754d,e64735b3a78a0b4bb38d
GUT_GENOME138446_1,be047f8a49c024e652aa,4f8b1e7902cbc66c754d
GUT_GENOME138446_1,3705da3274c53d5c0beb,be047f8a49c024e652aa
GUT_GENOME138446_1,09d74cc415afcdcd87cb,3705da3274c53d5c0beb
GUT_GENOME138446_1,52fc0b397c3bf8bc922b,09d74cc415afcdcd87cb
GUT_GENOME138446_1,da7cdd1079d4ca245964,52fc0b397c3bf8bc922b
GUT_GENOME138446_1,ce5bca18c11e79179bd1,da7cdd1079d4ca245964
GUT_GENOME138446_1,724b5dc95f669d3255fd,ce5bca18c11e79179bd1
GUT_GENOME138446_1,a14010b5e4347e3a436a,724b5dc95f669d3255fd
GUT_GENOME138446_1,5fe3eef9c890edb72167,a14010b5e4347e3a436a
GUT_GENOME138446_1,27f630fe2e93c0d4b723,5fe3eef9c890edb72167
GUT_GENOME138446_1,b0fbb75d4b319435821c,27f630fe2e93c0d4b723
GUT_GENOME138446_1,51ac7925e224d6a4b81b,b0fbb75d4b319435821c
GUT_GENOME138446_1,319803ec98b7f0d936a0,51ac7925e224d6a4b81b
GUT_GENOME138446_1,b70f5cd0e77d9d1fc011,319803ec98b7f0d936a0
GUT_GENOME138446_1,1a45df603f95cd856a0f,b70f5cd0e77d9d1fc011
GUT_GENOME138446_1,7a2b6cbc58d694036e94,1a45df603f95cd856a0f
GUT_GENOME138446_1,40acc54bfb4058d7feca,7a2b6cbc58d694036e94
GUT_GENOME138446_1,deec737666b18b3e0ef4,40acc54bfb4058d7feca
GUT_GENOME138446_1,f9cfff0f5dce0e161f7e,deec737666b18b3e0ef4
GUT_GENOME138446_1,09ae37bfac0904251f9f,f9cfff0f5dce0e161f7e
GUT_GENOME138446_1,049672a12c4860b80936,09ae37bfac0904251f9f
GUT_GENOME138446_1,2c9f97eb0eed5458b6fd,049672a12c4860b80936
GUT_GENOME138446_1,b221fdbdf49a74b693c2,2c9f97eb0eed5458b6fd
GUT_GENOME138446_1,355c4b765114786b8e6d,b221fdbdf49a74b693c2
GUT_GENOME138446_1,a026e2c5525e626284b7,355c4b765114786b8e6d
GUT_GENOME138446_1,4c17b9a45819274ac570,a026e2c5525e626284b7
GUT_GENOME138446_1,d315f33097f8326f056a,4c17b9a45819274ac570
GUT_GENOME138446_1,4f92308c9e74ca3f9576,d315f33097f8326f056a
GUT_GENOME138446_1,0528f48290f98a2e0c8a,4f92308c9e74ca3f9576
GUT_GENOME138446_1,164e933d7bc39a52f66c,0528f48290f98a2e0c8a
GUT_GENOME138446_1,a89b4f325e91a525fee8,164e933d7bc39a52f66c
GUT_GENOME138446_1,63ed6618a331b67aac75,a89b4f325e91a525fee8
GUT_GENOME138446_1,f7be24cec59d9d7d583e,63ed6618a331b67aac75
GUT_GENOME138446_1,c2ed3a3c99545545824d,f7be24cec59d9d7d583e
GUT_GENOME138446_1,ced09177ca88a7067df7,c2ed3a3c99545545824d
GUT_GENOME138446_1,2ea3e74ed835be235a50,ced09177ca88a7067df7
GUT_GENOME138446_1,196df7939541540f1a80,2ea3e74ed835be235a50
GUT_GENOME138446_1,8d7f2972b4acf5ef0f7b,196df7939541540f1a80
GUT_GENOME138446_1,7d979fcd6d9342738ba3,8d7f2972b4acf5ef0f7b
GUT_GENOME138446_1,7254ba60a73c913b82b0,7d979fcd6d9342738ba3
GUT_GENOME138446_1,4ea5a78fccaf81af2036,7254ba60a73c913b82b0
GUT_GENOME138446_1,4bea5d2552cf17bbaae8,4ea5a78fccaf81af2036
GUT_GENOME138446_1,5201bd36d580d9dcc5c6,4bea5d2552cf17bbaae8
GUT_GENOME138446_1,f8873dcc67c51535d4ef,5201bd36d580d9dcc5c6
GUT_GENOME138446_1,936d76985d68b4918582,f8873dcc67c51535d4ef
GUT_GENOME138446_1,3c0b93931d13d26cf4bd,936d76985d68b4918582
GUT_GENOME138446_1,4cda3774be7acdeb3051,3c0b93931d13d26cf4bd
GUT_GENOME138446_1,03ef9b28bff4e9453db1,4cda3774be7acdeb3051
GUT_GENOME138446_1,f2d3343f2201b5ad2681,03ef9b28bff4e9453db1
GUT_GENOME138446_1,01a40d9b306b612f6629,f2d3343f2201b5ad2681
