recid,phash,qhash
GUT_GENOME138446_1,4f8b1e7902cbc66c754d,e64735b3a78a0b4bb38d
GUT_GENOME138446_1,be047f8a49c024e652aa,4f8b1e7902cbc66c754d
GUT_GENOME138446_1,be047f8a49c024e652aa,e64735b3a78a0b4bb38d
GUT_GENOME138446_1,3705da3274c53d5c0beb,be047f8a49c024e652aa
GUT_GENOME138446_1,3705da3274c53d5c0beb,4f8b1e7902cbc66c754d
GUT_GENOME138446_1,3705da3274c53d5c0beb,e64735b3a78a0b4bb38d
GUT_GENOME138446_1,09d74cc415afcdcd87cb,3705da3274c53d5c0beb
GUT_GENOME138446_1,09d74cc415afcdcd87cb,be047f8a49c024e652aa
GUT_GENOME138446_1,09d74cc415afcdcd87cb,4f8b1e7902cbc66c754d
GUT_GENOME138446_1,09d74cc415afcdcd87cb,e64735b3a78a0b4bb38d
GUT_GENOME138446_1,52fc0b397c3bf8bc922b,09d74cc415afcdcd87cb
GUT_GENOME138446_1,52fc0b397c3bf8bc922b,3705da3274c53d5c0beb
GUT_GENOME138446_1,52fc0b397c3bf8bc922b,be047f8a49c024e652aa
GUT_GENOME138446_1,52fc0b397c3bf8bc922b,4f8b1e7902cbc66c754d
GUT_GENOME138446_1,52fc0b397c3bf8bc922b,e64735b3a78a0b4bb38d
GUT_GENOME138446_1,da7cdd1079d4ca245964,52fc0b397c3bf8bc922b
GUT_GENOME138446_1,da7cdd1079d4ca245964,09d74cc415afcdcd87cb
GUT_GENOME138446_1,da7cdd1079d4ca245964,3705da3274c53d5c0beb
GUT_GENOME138446_1,da7cdd1079d4ca245964,be047f8a49c024e652aa
GUT_GENOME138446_1,da7cdd1079d4ca245964,4f8b1e7902cbc66c754d
GUT_GENOME138446_1,da7cdd1079d4ca245964,e64735b3a78a0b4bb38d
GUT_GENOME138446_1,ce5bca18c11e79179bd1,da7cdd1079d4ca245964
GUT_GENOME138446_1,ce5bca18c11e79179bd1,52fc0b397c3bf8bc922b
GUT_GENOME138446_1,ce5bca18c11e79179bd1,09d74cc415afcdcd87cb
GUT_GENOME138446_1,ce5bca18c11e79179bd1,3705da3274c53d5c0beb
GUT_GENOME138446_1,ce5bca18c11e79179bd1,be047f8a49c024e652aa
GUT_GENOME138446_1,ce5bca18c11e79179bd1,4f8b1e7902cbc66c754d
GUT_GENOME138446_1,ce5bca18c11e79179bd1,e64735b3a78a0b4bb38d
GUT_GENOME138446_1,724b5dc95f669d3255fd,ce5bca18c11e79179bd1
GUT_GENOME138446_1,724b5dc95f669d3255fd,da7cdd1079d4ca245964
GUT_GENOME138446_1,724b5dc95f669d3255fd,52fc0b397c3bf8bc922b
GUT_GENOME138446_1,724b5dc95f669d3255fd,09d74cc415afcdcd87cb
GUT_GENOME138446_1,724b5dc95f669d3255fd,3705da3274c53d5c0beb
GUT_GENOME138446_1,724b5dc95f669d3255fd,be047f8a49c024e652aa
GUT_GENOME138446_1,724b5dc95f669d3255fd,4f8b1e7902cbc66c754d
GUT_GENOME138446_1,724b5dc95f669d3255fd,e64735b3a78a0b4bb38d
GUT_GENOME138446_1,a14010b5e4347e3a436a,724b5dc95f669d3255fd
GUT_GENOME138446_1,a14010b5e4347e3a436a,ce5bca18c11e79179bd1
GUT_GENOME138446_1,a14010b5e4347e3a436a,da7cdd1079d4ca245964
GUT_GENOME138446_1,a14010b5e4347e3a436a,52fc0b397c3bf8bc922b
GUT_GENOME138446_1,a14010b5e4347e3a436a,09d74cc415afcdcd87cb
GUT_GENOME138446_1,a14010b5e4347e3a436a,3705da3274c53d5c0beb
GUT_GENOME138446_1,a14010b5e4347e3a436a,be047f8a49c024e652aa
GUT_GENOME138446_1,5fe3eef9c890edb72167,a14010b5e4347e3a436a
GUT_GENOME138446_1,5fe3eef9c890edb72167,724b5dc95f669d3255fd
GUT_GENOME138446_1,5fe3eef9c890edb72167,ce5bca18c11e79179bd1
GUT_GENOME138446_1,5fe3eef9c890edb72167,da7cdd1079d4ca245964
GUT_GENOME138446_1,5fe3eef9c890edb72167,52fc0b397c3bf8bc922b
GUT_GENOME138446_1,5fe3eef9c890edb72167,09d74cc415afcdcd87cb
GUT_GENOME138446_1,5fe3eef9c890edb72167,3705da3274c53d5c0beb
