recid,phash,qhash
RUZL01000001.1,16d809b151e10102f841,7846f760da0d5168a126
RUZL01000001.1,5bfb1e4c5970d69421a3,16d809b151e10102f841
RUZL01000001.1,5bfb1e4c5970d69421a3,7846f760da0d5168a126
RUZL01000001.1,383d00249dbda08699ac,5bfb1e4c5970d69421a3
RUZL01000001.1,383d00249dbda08699ac,16d809b151e10102f841
RUZL01000001.1,383d00249dbda08699ac,7846f760da0d5168a126
RUZL01000001.1,81efcbd6a802d99eb6ab,383d00249dbda08699ac
RUZL01000001.1,81efcbd6a802d99eb6ab,5bfb1e4c5970d69421a3
RUZL01000001.1,81efcbd6a802d99eb6ab,16d809b151e10102f841
RUZL01000001.1,81efcbd6a802d99eb6ab,7846f760da0d5168a126
RUZL01000001.1,87560567d0d273b79118,81efcbd6a802d99eb6ab
RUZL01000001.1,87560567d0d273b79118,383d00249dbda08699ac
RUZL01000001.1,87560567d0d273b79118,5bfb1e4c5970d69421a3
RUZL01000001.1,87560567d0d273b79118,16d809b151e10102f841
RUZL01000001.1,87560567d0d273b79118,7846f760da0d5168a126
RUZL01000001.1,292c1e637150844ca81f,87560567d0d273b79118
RUZL01000001.1,292c1e637150844ca81f,81efcbd6a802d99eb6ab
RUZL01000001.1,292c1e637150844ca81f,383d00249dbda08699ac
RUZL01000001.1,292c1e637150844ca81f,5bfb1e4c5970d69421a3
RUZL01000001.1,292c1e637150844ca81f,16d809b151e10102f841
RUZL01000001.1,292c1e637150844ca81f,7846f760da0d5168a126
RUZL01000001.1,aa6588474484fd1c0859,292c1e637150844ca81f
RUZL01000001.1,aa6588474484fd1c0859,87560567d0d273b79118
RUZL01000001.1,aa6588474484fd1c0859,81efcbd6a802d99eb6ab
RUZL01000001.1,aa6588474484fd1c0859,383d00249dbda08699ac
RUZL01000001.1,aa6588474484fd1c0859,5bfb1e4c5970d69421a3
RUZL01000001.1,aa6588474484fd1c0859,16d809b151e10102f841
RUZL01000001.1,1f38c2a3ea46a76b271d,aa6588474484fd1c0859
RUZL01000001.1,1f38c2a3ea46a76b271d,292c1e637150844ca81f
RUZL01000001.1,1f38c2a3ea46a76b271d,87560567d0d273b79118
RUZL01000001.1,3aa60fdc9cd0c68501f0,1f38c2a3ea46a76b271d
RUZL01000001.1,3aa60fdc9cd0c68501f0,aa6588474484fd1c0859
RUZL01000001.1,3aa60fdc9cd0c68501f0,292c1e637150844ca81f
RUZL01000001.1,3aa60fdc9cd0c68501f0,87560567d0d273b79118
RUZL01000001.1,eb06d528506ce5d1a1a2,3aa60fdc9cd0c68501f0
RUZL01000001.1,eb06d528506ce5d1a1a2,1f38c2a3ea46a76b271d
RUZL01000001.1,eb06d528506ce5d1a1a2,aa6588474484fd1c0859
RUZL01000001.1,eb06d528506ce5d1a1a2,292c1e637150844ca81f
RUZL01000001.1,785fa8f89b598c47d6d7,eb06d528506ce5d1a1a2
RUZL01000001.1,785fa8f89b598c47d6d7,3aa60fdc9cd0c68501f0
RUZL01000001.1,785fa8f89b598c47d6d7,1f38c2a3ea46a76b271d
RUZL01000001.1,785fa8f89b598c47d6d7,aa6588474484fd1c0859
RUZL01000001.1,be4b9f205bb285898b15,785fa8f89b598c47d6d7
RUZL01000001.1,be4b9f205bb285898b15,eb06d528506ce5d1a1a2
RUZL01000001.1,be4b9f205bb285898b15,3aa60fdc9cd0c68501f0
RUZL01000001.1,be4b9f205bb285898b15,1f38c2a3ea46a76b271d
RUZL01000001.1,be4b9f205bb285898b15,aa6588474484fd1c0859
RUZL01000001.1,d8596b2729280c71f09c,be4b9f205bb285898b15
RUZL01000001.1,d8596b2729280c71f09c,785fa8f89b598c47d6d7
RUZL01000001.1,d8596b2729280c71f09c,eb06d528506ce5d1a1a2
RUZL01000001.1,d8596b2729280c71f09c,3aa60fdc9cd0c68501f0
