recid,hash,chash,start,end
DACPHF010000001.1,80906237086f5df867ee,565d369add045a356fe9,532,2133
DACPHF010000001.1,2e29718989e570152caf,565d369add045a356fe9,2542,3438
DACPHF010000001.1,8f30bfbe4e7b5aeeb4f3,565d369add045a356fe9,3443,4738
DACPHF010000001.1,19c5fa03a87e9283b04f,565d369add045a356fe9,4742,5782
DACPHF010000001.1,c14a9083a276f375be70,565d369add045a356fe9,5834,6907
DACPHF010000001.1,ac7a9fcfd868c308644d,565d369add045a356fe9,6907,7518
DACPHF010000001.1,b5f9bbd780f5b0a32fcb,565d369add045a356fe9,7561,8298
DACPHF010000001.1,3f3457bfb58c2562593f,565d369add045a356fe9,8280,9053
DACPHF010000001.1,cacffb7cfbf931d37ab2,565d369add045a356fe9,9050,9682
DACPHF010000001.1,f4aaa3e7c80d653d63df,565d369add045a356fe9,9883,10608
DACPHF010000001.1,5e0c50edda97ea899cec,565d369add045a356fe9,10916,13141
DACPHF010000001.1,b85fdc8573eec4865d4e,565d369add045a356fe9,13240,13461
DACPHF010000001.1,704134f3ac3449660df8,565d369add045a356fe9,13934,14254
DACPHF010000001.1,8fa6163fd552d3a31a4e,565d369add045a356fe9,14293,16563
DACPHF010000001.1,9b8e62b97ee4435fb067,565d369add045a356fe9,16632,18308
DACPHF010000001.1,45f89538526139c2a157,565d369add045a356fe9,18510,18773
DACPHF010000001.1,b9c37f323b35e510ced9,565d369add045a356fe9,19082,20329
DACPHF010000001.1,2d459f9f024ab5af47ec,565d369add045a356fe9,20420,21274
DACPHF010000001.1,33ef516352b87d642f72,565d369add045a356fe9,21582,23228
DACPHF010000001.1,eb1a16909ed31a4258d6,565d369add045a356fe9,23338,23847
DACPHF010000001.1,6b5089db88081a038ce8,565d369add045a356fe9,24036,24941
DACPHF010000001.1,220508bdc1bbff94b7ef,565d369add045a356fe9,24962,25882
DACPHF010000001.1,5ee3cdc7bc055f9c6cfa,565d369add045a356fe9,26260,26847
DACPHF010000001.1,a9fea2431f522b76f0a9,565d369add045a356fe9,26943,27491
DACPHF010000001.1,51a8c103a740dbc491be,565d369add045a356fe9,27682,28179
DACPHF010000001.1,a670c3910933e6aa0f8f,565d369add045a356fe9,28176,30131
DACPHF010000001.1,50b01c7f1067c9df86dc,565d369add045a356fe9,30354,31619
DACPHF010000001.1,4402800be33a1ff29024,565d369add045a356fe9,31741,32835
DACPHF010000001.1,c2154d38f981cffa7482,565d369add045a356fe9,32916,33905
DACPHF010000001.1,21a8b1695b2817e13146,565d369add045a356fe9,33905,35413
DACPHF010000001.1,b2de1328c8527804222d,565d369add045a356fe9,35422,36159
DACPHF010000001.1,026ed51b10e095746268,565d369add045a356fe9,36279,37250
DACPHF010000001.1,645de2ddcd8dc9f3e2a2,565d369add045a356fe9,37362,38090
DACPHF010000001.1,351ea9b9c71570ba7a1c,565d369add045a356fe9,38228,39097
DACPHF010000001.1,115e4bf02e694af88aab,565d369add045a356fe9,39389,41164
DACPHF010000001.1,f720a7c25bf434e0d443,565d369add045a356fe9,41261,41839
DACPHF010000001.1,5c68646c8392b855a5ed,565d369add045a356fe9,41941,43317
DACPHF010000001.1,79279285d2af60ab9453,565d369add045a356fe9,43513,44319
DACPHF010000001.1,86bd090e82830ed95d46,565d369add045a356fe9,44319,45509
DACPHF010000001.1,e4fde4b6d4775e58eaf2,565d369add045a356fe9,45550,46959
DACPHF010000001.1,76d6e68508bd7c56ca6e,565d369add045a356fe9,46965,47963
DACPHF010000001.1,fa84114a5d4faea31ad4,565d369add045a356fe9,47984,48589
DACPHF010000001.1,8f75973dc219d01b3b02,565d369add045a356fe9,48592,50163
DACPHF010000001.1,e3f3a58f894c3ebb1df3,565d369add045a356fe9,50499,51371
DACPHF010000001.1,5e9ec53328bef31ae046,565d369add045a356fe9,51374,51994
DACPHF010000001.1,432ee0d8acbc6a3e3725,565d369add045a356fe9,52127,53092
DACPHF010000001.1,d58a388d78a129119c08,565d369add045a356fe9,53260,54981
DACPHF010000001.1,eb35a197adf700a54d67,565d369add045a356fe9,54974,56761
DACPHF010000001.1,115b19e7c67231b423c4,565d369add045a356fe9,56881,57837
DACPHF010000001.1,ebd887c74b021d2a519a,565d369add045a356fe9,58315,58971
DACPHF010000001.1,f384e60ffb5db4ff069a,565d369add045a356fe9,58955,60196
DACPHF010000001.1,eb32902a95ff47117e8c,565d369add045a356fe9,60454,61785
DACPHF010000001.1,bb9db599040e9aab1b0b,565d369add045a356fe9,61886,62650
DACPHF010000001.1,6b4ee602bd8480f65c37,565d369add045a356fe9,62623,62952
DACPHF010000001.1,9355340fe4791d514ba7,565d369add045a356fe9,62995,64683
DACPHF010000001.1,4c05ec179893b101f4e5,565d369add045a356fe9,65149,65499
DACPHF010000001.1,630647c56a27999f99a8,565d369add045a356fe9,65701,66807
DACPHF010000001.1,217f6a82b47a4bba027e,565d369add045a356fe9,66973,67371
DACPHF010000001.1,84b62333f41461b45714,565d369add045a356fe9,67663,67845
DACPHF010000001.1,c0e08a8998075b015615,565d369add045a356fe9,67996,69012
DACPHF010000001.1,a7c5030b0ce07a5e71e2,565d369add045a356fe9,69113,69784
DACPHF010000001.1,f36094903d050d2e40c4,565d369add045a356fe9,69884,70567
DACPHF010000001.1,550f67d4bcb92d30a09c,565d369add045a356fe9,70698,71381
DACPHF010000001.1,c22f8a22fa1c4658f48f,565d369add045a356fe9,71594,74629
DACPHF010000001.1,6ffc0103ff1ae90179f9,565d369add045a356fe9,74685,75146
DACPHF010000001.1,0753cdc85633a2ff8a65,565d369add045a356fe9,75396,76607
DACPHF010000001.1,b90ba2741cf023e7e9ff,565d369add045a356fe9,76682,77407
DACPHF010000001.1,a068e180b17ac256d9dc,565d369add045a356fe9,77556,79091
DACPHF010000001.1,0bb14b72a8b79658ec15,565d369add045a356fe9,79103,80800
DACPHF010000001.1,5e7dd1f134a62658716f,565d369add045a356fe9,80819,81829
DACPHF010000001.1,cb7e30d249900ba2ea9b,565d369add045a356fe9,81819,83027
DACPHF010000001.1,644443054d4ceb6d3bcc,565d369add045a356fe9,83131,83841
DACPHF010000001.1,5f17e4c1094555a58838,565d369add045a356fe9,83958,84905
DACPHF010000001.1,fba2c18233807298b7ba,565d369add045a356fe9,85044,85364
DACPHF010000001.1,b9b4d1d344b1817d6386,565d369add045a356fe9,85369,85935
DACPHF010000001.1,458f0b0cd4b280c0a798,565d369add045a356fe9,86154,86921
DACPHF010000001.1,5055bc5abfacb352b5eb,565d369add045a356fe9,87030,89129
DACPHF010000001.1,d671bef895cc16ea8df9,565d369add045a356fe9,89101,91464
DACPHF010000001.1,83ed9c0d0bf9523f2986,565d369add045a356fe9,91840,92484
DACPHF010000001.1,45a1d16d680acd456fa6,565d369add045a356fe9,92484,94316
DACPHF010000001.1,2ac63eb1671824ff2c02,565d369add045a356fe9,94364,94921
DACPHF010000001.1,2c70d420ea28321470a3,565d369add045a356fe9,95814,96932
DACPHF010000001.1,ada0dec7ad1d4fe534c1,565d369add045a356fe9,96929,97414
