chash,sampleid
7ebff011e705af3cca95,GUT_GENOME003003
4b23e08e59fae33340f0,GUT_GENOME003003
46571e3c347cc59ea26d,GUT_GENOME003003
39941ecee7dbf52ef8cd,GUT_GENOME003003
6fd302d90ae465dcd531,GUT_GENOME003003
9a24c8240c81a3b9cc97,GUT_GENOME003003
40fa43cebe8c8f730989,GUT_GENOME003003
985a1c26299e8b3bf83f,GUT_GENOME003003
f0b74b5c370df006171f,GUT_GENOME003003
66f24655fc37783481c7,GUT_GENOME003003
5367ed704afd4a3d27f6,GUT_GENOME003003
fbdf67968a3cffb7add6,GUT_GENOME003003
1ca2f3215a94e36c31e6,GUT_GENOME003003
48a5bd607eb1282a349e,GUT_GENOME003003
23d5e0451851016ea15c,GUT_GENOME003003
c84750d55c750cd33869,GUT_GENOME003003
d7563de52ac87de1dedb,GUT_GENOME003003
d4fe7fb644248a0b9a6b,GUT_GENOME003003
f670d7c2888a4cb62a7a,GUT_GENOME003003
8fca418ef4c391533fa7,GUT_GENOME003003
fe14b06928cbc661158f,GUT_GENOME003003
f5e83d4974a8dcfa43fe,GUT_GENOME003003
ef02654c7ad76312d196,GUT_GENOME003003
290c9100824c42f362bb,GUT_GENOME003003
bf0fe8f228ad3a23f7d7,GUT_GENOME003003
c0b03bdd2f879a40c193,GUT_GENOME003003
041f2d21281ef023c7e9,GUT_GENOME003003
42102537787cd54a6230,GUT_GENOME003003
e79a728def5ac17aafa8,GUT_GENOME003003
63f746a8087dd36ddd2c,GUT_GENOME003003
dc1b51b161af247f9b49,GUT_GENOME003003
4bba94cd57a2e51b7b0c,GUT_GENOME003003
7c09d4a08bd9747e444e,GUT_GENOME003003
bac5113e631f27fba751,GUT_GENOME003003
990271a5cb49464fe267,GUT_GENOME003003
aa77a001b2e98d02eed7,GUT_GENOME003003
44691a1d22f68ebc4b9a,GUT_GENOME003003
b084f6bbf81e5e9e9f9a,GUT_GENOME003003
72ba81190a5ac2a4d72f,GUT_GENOME003003
f1dddc8e26fea758b1cc,GUT_GENOME003003
70ab6766e37f09e90031,GUT_GENOME003003
9d3e0e72e1786541937e,GUT_GENOME003003
6769cfdad1efffa43e55,GUT_GENOME003003
9690b07919ae8d9c166b,GUT_GENOME003003
829f8f56db1d4c4b0677,GUT_GENOME003003
83af28db92e23367b765,GUT_GENOME003003
14a2dd7e2ff4ac9fda51,GUT_GENOME003003
689a505eaa33546e323d,GUT_GENOME003003
ef036b4926355bb44aa8,GUT_GENOME003003
2aee17f3062079dd9cd5,GUT_GENOME003003
6e5fa49d614b73ebe677,GUT_GENOME003003
06794de410a03785896e,GUT_GENOME003003
9a74feb6ca7e9b1fb209,GUT_GENOME003003
ce10255a309365c70912,GUT_GENOME003003
ff628a13f6d56adac4ab,GUT_GENOME003003
467836e2dae4cec01daa,GUT_GENOME003003
3e1274875005ad82a58f,GUT_GENOME003003
9950439c55b8c8232fe5,GUT_GENOME003003
4ea3b9e0cc45a9517beb,GUT_GENOME003003
1858b5d89ac221619d50,GUT_GENOME003003
e615a41dfc9f718921e9,GUT_GENOME003003
a39ed818e28c06868e69,GUT_GENOME003003
e47fe1e6a607c4d2bdb1,GUT_GENOME003003
f07f0daeee9bd14de173,GUT_GENOME003003
cac8ef7120f90991d140,GUT_GENOME003003
9a21664e9975b0f88b48,GUT_GENOME003003
c88eb08920bac6d2eae0,GUT_GENOME003003
16872d35892b3c3fa1f6,GUT_GENOME003003
7a44be614d9a2f4731ce,GUT_GENOME003003
4837641e74449347fb8e,GUT_GENOME003003
4196155591e6f5e215a5,GUT_GENOME003003
523851d10ffba4a211bb,GUT_GENOME003003
63a76e47de41333a77ab,GUT_GENOME003003
c9cc1a0c4ac7eb7362b6,GUT_GENOME003003
e8f9aad4213322a98dda,GUT_GENOME003003
0aad670065e8f4d5d183,GUT_GENOME003003
f93e500e6620dfbbd8ad,GUT_GENOME003003
508eb1bc552b54023bc4,GUT_GENOME003003
78883a5814e47c042e1b,GUT_GENOME003003
bec2f47391d430b401d5,GUT_GENOME003003
0251d22c54df10a21cd7,GUT_GENOME003003
e499647666b6a7b68648,GUT_GENOME003003
c57fc161f125e319937a,GUT_GENOME003003
5b0a361ed2413cfcf30e,GUT_GENOME003003
a0a7e816d595a4aaf7af,GUT_GENOME003003
72c6d8fa4f679a187c3c,GUT_GENOME003003
e8dc893fc164842c7a90,GUT_GENOME003003
a1dcb2ac8957a8c193a4,GUT_GENOME003003
4a6b8dbb3eb7ecb14b85,GUT_GENOME003003
98584138bfde0a9ee578,GUT_GENOME003003
1ee7896bea66e51f0cca,GUT_GENOME003003
aeb74b37f2b0015670e6,GUT_GENOME003003
470f76b6ce0eb875677c,GUT_GENOME003003
acaf67eef1fdad7b0913,GUT_GENOME003003
ae23bd4a584ae919f14d,GUT_GENOME003003
78975003335663451027,GUT_GENOME003003
faca62c028f223697389,GUT_GENOME003003
f9ced7f97f5853f306cd,GUT_GENOME003003
116b8a6b90a086e35e8d,GUT_GENOME003003
3e079f4da4e5838b088b,GUT_GENOME003003
313c23516e3a8854f4c1,GUT_GENOME003003
1bf59e66858457619e53,GUT_GENOME003003
9869880d412178f403cc,GUT_GENOME003003
1d370e52d70ff3aa8c59,GUT_GENOME003003
0a1c154ab119bc5d4f50,GUT_GENOME003003
3c24e1aefd45ecdbba1d,GUT_GENOME003003
a56d410783838be9c62d,GUT_GENOME003003
960a73f9986f04891132,GUT_GENOME003003
bd3fa4a0b4be13c77c41,GUT_GENOME003003
4d442e9ef3a663d53dee,GUT_GENOME003003
d6d855a0ef922ac3a857,GUT_GENOME003003
9f3d493d746dee7ba5d7,GUT_GENOME003003
34026bff81f01834159a,GUT_GENOME003003
522c7651ae1af3f20470,GUT_GENOME003003
8f123cb83c9359b38edb,GUT_GENOME003003
307294c12dad6f811a65,GUT_GENOME003003
438886bcf93d5495984e,GUT_GENOME003003
02a078737e7469e76b9c,GUT_GENOME003003
728c6e334105b061fab6,GUT_GENOME003003
944e9a35881cea8e5f13,GUT_GENOME003003
7473e6ce88b682c80858,GUT_GENOME003003
6e8c9be8b168cc4b3662,GUT_GENOME003003
472dd4ee182d34003541,GUT_GENOME003003
82151b6a2e80f7df3f90,GUT_GENOME003003
84ebc5594ed74993f804,GUT_GENOME003003
9ac8dabb4d0a4a5837fa,GUT_GENOME003003
4f8fbdfb7e190223880c,GUT_GENOME003003
6b9a8d888d474f6352ae,GUT_GENOME003003
52c0f2cca8f3115aa93a,GUT_GENOME003003
2236595bf6ae48261651,GUT_GENOME003003
0dc470625850cd5eabc0,GUT_GENOME003003
cff576e02bb3373f4b7e,GUT_GENOME003003
bdf6b3f53fdd02faffea,GUT_GENOME003003
f486df54d7720cc97aa5,GUT_GENOME003003
bb181365b421949aa042,GUT_GENOME003003
201c23b3fd9fd42d363b,GUT_GENOME003003
0cf50c5b35823c22ac94,GUT_GENOME003003
998d190c03695d9141a2,GUT_GENOME003003
d71d5876aec11034a5ec,GUT_GENOME003003
6049bb768830fe11ece8,GUT_GENOME003003
5c776b37132bb9e1c20e,GUT_GENOME003003
0cfe95f23b886f7f0b61,GUT_GENOME003003
bb53408f0a10ab779538,GUT_GENOME003003
c1a1eb942e9a06d0d3b7,GUT_GENOME003003
383679be70657fb39cf1,GUT_GENOME003003
85fb4c53e13534097e51,GUT_GENOME003003
61d64fdf12d78ce86efc,GUT_GENOME003003
c05f5398ae255f1bae3d,GUT_GENOME003003
de534f58d49ec88fa07e,GUT_GENOME003003
e291808dd95629e51503,GUT_GENOME003003
025ff56ec94a3ab7eb74,GUT_GENOME003003
6f3ccec47e1048c374c1,GUT_GENOME003003
fedb6a93d17e66e9c207,GUT_GENOME003003
96f5130c22d53eb424de,GUT_GENOME003003
