recid,hash,chash,start,end,is_crispr
uvig_295756,a422b693d4d5d6a8f893,32c5be53768dbaf2816d,3,401,0
uvig_295756,dcfd7b3e1dc497bb7fec,32c5be53768dbaf2816d,493,1152,0
uvig_295756,8cd0cf39efa7b0af4d4d,32c5be53768dbaf2816d,1266,2858,0
uvig_295756,905cfa2136804c252eb4,32c5be53768dbaf2816d,2908,3471,0
uvig_295756,005b88c16bd142002ab9,32c5be53768dbaf2816d,3730,4905,0
uvig_295756,78d08218eb07b5e592d3,32c5be53768dbaf2816d,5312,5524,0
uvig_295756,9e6ef6109002a02aa986,32c5be53768dbaf2816d,5601,6092,0
uvig_295756,67e64937655f9110772f,32c5be53768dbaf2816d,6096,6284,0
uvig_295756,490def3b9ec3b9455bda,32c5be53768dbaf2816d,6271,6885,0
uvig_295756,39cba2fcaec330842041,32c5be53768dbaf2816d,6886,7113,0
uvig_295756,8f4bb62ce371311aa476,32c5be53768dbaf2816d,7129,7326,0
uvig_295756,d02b5dde993a5e32db45,32c5be53768dbaf2816d,7416,8447,0
uvig_295756,d70adc8b81b152f39913,32c5be53768dbaf2816d,8450,8809,0
uvig_295756,9052a61dce6f7a194002,32c5be53768dbaf2816d,8809,12645,0
uvig_295756,ab502ce1a76c2029edc4,32c5be53768dbaf2816d,12674,13507,0
uvig_295756,274aad32f5b15286d1a8,32c5be53768dbaf2816d,13446,14399,0
uvig_295756,e40aa316c3a6ac509fd6,32c5be53768dbaf2816d,14392,14760,0
uvig_295756,ad2ede23acb4289d8f4c,32c5be53768dbaf2816d,14724,14957,0
uvig_295756,ab294d82ba51c2498ab8,32c5be53768dbaf2816d,14950,15747,0
uvig_295756,124772a86a61890d9329,32c5be53768dbaf2816d,15763,16443,0
uvig_295756,177f7f72fafad14b1811,32c5be53768dbaf2816d,16443,17132,0
uvig_295756,1355f860f1eb9cd35608,32c5be53768dbaf2816d,17138,17698,0
uvig_295756,b94dac22dd8d0ea164bc,32c5be53768dbaf2816d,17709,18434,0
uvig_295756,0037d1ff5995f234b6c3,32c5be53768dbaf2816d,18431,18619,0
uvig_295756,440a6409ddbf081bc866,32c5be53768dbaf2816d,18800,19153,0
uvig_295756,09923551c7a22866429c,32c5be53768dbaf2816d,19140,19412,0
uvig_295756,731a06e173c8145b60b8,32c5be53768dbaf2816d,19390,19701,0
uvig_295756,73eb151041b9e3663abe,32c5be53768dbaf2816d,19780,20358,0
uvig_295756,db1c6fb15294ccc8c76a,32c5be53768dbaf2816d,20355,20885,0
uvig_295756,1fb5dab88725c66ecccc,32c5be53768dbaf2816d,20882,21100,0
uvig_295756,5b37a9726f4db5e1eaf6,32c5be53768dbaf2816d,21097,21357,0
uvig_295756,442da7468ad929a13032,32c5be53768dbaf2816d,21453,22136,0
uvig_295756,a124eaca63770ce7bd1f,32c5be53768dbaf2816d,22120,22365,0
uvig_295756,1f4d80a953576172fb69,32c5be53768dbaf2816d,22377,22553,0
uvig_295756,8868fbe6b9efd2cb622b,32c5be53768dbaf2816d,22571,22843,0
uvig_295756,89bc01cf57e75fbaf739,32c5be53768dbaf2816d,22840,23748,0
uvig_295756,b8fb75fe5071367fc44b,32c5be53768dbaf2816d,23741,24382,0
uvig_295756,2e5c582c6853d9736bc3,32c5be53768dbaf2816d,24593,25180,0
uvig_295756,fa3aaadd27d1199cee35,32c5be53768dbaf2816d,25180,25749,0
uvig_295756,acd212b45d61f5ff48fc,32c5be53768dbaf2816d,25749,26768,0
uvig_295756,4fecc573abd832782993,32c5be53768dbaf2816d,26813,27331,0
uvig_295756,f1a06ab69499c6c8c72d,32c5be53768dbaf2816d,27328,28725,0
uvig_295756,5e8d89092931a19f7b23,32c5be53768dbaf2816d,28722,30425,0
uvig_295756,6aeffb3747422944a2c0,32c5be53768dbaf2816d,30422,31402,0
uvig_295756,87227a8767963660f22e,32c5be53768dbaf2816d,31399,31713,0
uvig_295756,5b0b4fe652aed229cebe,32c5be53768dbaf2816d,31740,33068,0
uvig_295756,f67359960d565bbec198,32c5be53768dbaf2816d,33084,34160,0
uvig_295756,cf32094aed4696913dc7,32c5be53768dbaf2816d,34177,34629,0
uvig_295756,e67f294b8ba7b6d77f3f,32c5be53768dbaf2816d,34629,35024,0
uvig_295756,adb4674d9c22c4c429e8,32c5be53768dbaf2816d,35029,35394,0
uvig_295756,3ad0f5cbe088b678cf70,32c5be53768dbaf2816d,35394,35927,0
