Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
4a23bcab7c50591a6a|b422be962cf0ad260e|b422be962cf0ad260e|233381|NZ_JUGY01000029.1:30198-55512(FWD)	4a23bcab7c50591a6a|b422be962cf0ad260e|b422be962cf0ad260e|233381|NZ_JUGY01000029.1:30198-55512(FWD)@1	9662	10267	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[10]	['7.40e-13']	[0.634]	[0.661]	NA	NA
4a23bcab7c50591a6a|50ab6fdc961c784876|50ab6fdc961c784876|859941|NZ_CP017603.1:223802-249200(REV)	4a23bcab7c50591a6a|50ab6fdc961c784876|50ab6fdc961c784876|859941|NZ_CP017603.1:223802-249200(REV)@1	14067	14423	False	0%	0%	I-A	0.0	['WYL_3_CAS-I-II-III-IV-V-VI']	[17]	['5.00e-11']	[0.79]	[0.558]	NA	NA
4a23bcab7c50591a6a|50ab6fdc961c784876|10a79c72cc4d97cd11|357721|NZ_CP009687.1:1217260-1242658(FWD)	4a23bcab7c50591a6a|50ab6fdc961c784876|10a79c72cc4d97cd11|357721|NZ_CP009687.1:1217260-1242658(FWD)@1	6871	10301	False	14%	0%	I-A	2.0	['Cas3_0_CAS-I', 'AbiEii_0_CAS-III']	[7, 8]	['9.00e-12', '5.40e-10']	[0.66, 0.448]	[0.943, 0.581]	1	NA
4a23bcab7c50591a6a|50ab6fdc961c784876|10a79c72cc4d97cd11|357721|NZ_CP009687.1:3032303-3057701(REV)	4a23bcab7c50591a6a|50ab6fdc961c784876|10a79c72cc4d97cd11|357721|NZ_CP009687.1:3032303-3057701(REV)@1	411	1190	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2]	['9.00e-03']	[0.346]	[0.335]	NA	NA
4a23bcab7c50591a6a|e701de4ad2119867ed|7183b36b067ca9644a|375558|NC_017455.1:46700-72089(REV)	4a23bcab7c50591a6a|e701de4ad2119867ed|7183b36b067ca9644a|375558|NC_017455.1:46700-72089(REV)@1	7624	8403	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[7]	['1.20e-09']	[0.615]	[0.574]	NA	NA
4a23bcab7c50591a6a|dd0c58ff759950a7fd|dd0c58ff759950a7fd|5433741|NZ_WUUL01000006.1:13754-38987(REV)	4a23bcab7c50591a6a|dd0c58ff759950a7fd|dd0c58ff759950a7fd|5433741|NZ_WUUL01000006.1:13754-38987(REV)@1	17805	18647	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[19]	['6.90e-06']	[0.448]	[0.377]	NA	NA
4a23bcab7c50591a6a|78a74b4a20636bf4de|78a74b4a20636bf4de|5849861|JAAHIH010000006.1:220813-246217(REV)	4a23bcab7c50591a6a|78a74b4a20636bf4de|78a74b4a20636bf4de|5849861|JAAHIH010000006.1:220813-246217(REV)@1	16836	17627	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[18]	['3.40e-08']	[0.53]	[0.472]	NA	NA
4a23bcab7c50591a6a|87caf841f60d1770a2|87caf841f60d1770a2|61311|NZ_ATZF01000002.1:406320-431718(REV)	4a23bcab7c50591a6a|87caf841f60d1770a2|87caf841f60d1770a2|61311|NZ_ATZF01000002.1:406320-431718(REV)@1	17192	23351	False	0%	NA	III-D	1.0	['Csa3_1_CAS-I-II-III-IV-V-VI', 'Mem_02_0_CAS-III-D']	[14, 18]	['1.10e-17', '3.00e-03']	[0.748, 0.416]	[0.89, 0.419]	NA	NA
4a23bcab7c50591a6a|ef5819bdded141217d|36fe4f0c8204f79b2e|1632931|NZ_PVWI01000017.1:23184-39249(FWD)	4a23bcab7c50591a6a|ef5819bdded141217d|36fe4f0c8204f79b2e|1632931|NZ_PVWI01000017.1:23184-39249(FWD)@1	3439	4911	False	14%	0%	I-A	1.0	['Cas3_0_I']	[6]	['5.00e-09']	[0.42]	[0.595]	-1	NA
4a23bcab7c50591a6a|50ab6fdc961c784876|10a79c72cc4d97cd11|357721|NZ_CP009687.1:2044391-2069789(FWD)	4a23bcab7c50591a6a|50ab6fdc961c784876|10a79c72cc4d97cd11|357721|NZ_CP009687.1:2044391-2069789(FWD)@1	2280	3647	False	20%	NA	III-A	2.0	['Cas10_1_CAS-III']	[5]	['3.80e-06']	[0.377]	[0.758]	-1	NA
