recid,phash,qhash
CP049504.1,6372b8f618299563518d,0e9d328b6f18522fcd34
CP049504.1,bec767ec6574b3f4e280,6372b8f618299563518d
CP049504.1,5b14ef7d636d1c09e42e,bec767ec6574b3f4e280
CP049504.1,d71e9e8ba0c3aeb5d4a5,5b14ef7d636d1c09e42e
CP049504.1,97be7e1146206f3aebe7,d71e9e8ba0c3aeb5d4a5
CP049504.1,97c95cf5348b3a639fc2,97be7e1146206f3aebe7
CP049504.1,fa16aeafd8345f3b8428,97c95cf5348b3a639fc2
CP049504.1,cc5277ad2b1a76816dee,fa16aeafd8345f3b8428
CP049504.1,94df351283d181e181b7,cc5277ad2b1a76816dee
CP049504.1,f4a229745bdbaa0f4446,94df351283d181e181b7
CP049504.1,122dc34942eeec0e1771,f4a229745bdbaa0f4446
CP049504.1,feb48052d24ddc2a45ee,122dc34942eeec0e1771
CP049504.1,c09605e29debd129171d,feb48052d24ddc2a45ee
CP049504.1,ca96d6a2004cd28660f6,c09605e29debd129171d
CP049504.1,d6e9e32028470ba9d77f,ca96d6a2004cd28660f6
CP049504.1,4db40acb0a27d8008350,d6e9e32028470ba9d77f
CP049504.1,44d6cbd51c08eaa80e9a,4db40acb0a27d8008350
CP049504.1,6698a04bdf99874b3d7d,44d6cbd51c08eaa80e9a
CP049504.1,5733e774ea9511532af9,6698a04bdf99874b3d7d
CP049504.1,357efba3bde9083d7d5d,5733e774ea9511532af9
CP049504.1,81d41a22bc1fbf42c96f,357efba3bde9083d7d5d
CP049504.1,7975f88b6e954fc1f11f,81d41a22bc1fbf42c96f
CP049504.1,480f35c7db3567655214,7975f88b6e954fc1f11f
CP049504.1,7f4a1de673d528692aa0,480f35c7db3567655214
CP049504.1,82e24a624a332f544909,7f4a1de673d528692aa0
CP049504.1,a9532f51402838beb96f,82e24a624a332f544909
CP049504.1,bd770e96fc21a9b9eb30,a9532f51402838beb96f
CP049504.1,fe41124354ad87948e6b,bd770e96fc21a9b9eb30
CP049504.1,e86e8d3e2e21309c1dd6,fe41124354ad87948e6b
CP049504.1,64bafa88697eb8824d87,e86e8d3e2e21309c1dd6
CP049504.1,7d0f4a866ebaeb3c4735,64bafa88697eb8824d87
CP049504.1,db8f5a2033185b94a7ba,7d0f4a866ebaeb3c4735
CP049504.1,7939761717af56c9e014,db8f5a2033185b94a7ba
CP049504.1,d70d7e25ab9c2d5cd93c,7939761717af56c9e014
CP049504.1,73fc0f34b017fc14f02b,d70d7e25ab9c2d5cd93c
CP049504.1,1c78e82412ee9073e23b,73fc0f34b017fc14f02b
CP049504.1,167ba48362ed7b5cf4e6,1c78e82412ee9073e23b
CP049504.1,498411c2d5c6e9db6a23,167ba48362ed7b5cf4e6
CP049504.1,b706991d7fc9e36406b3,498411c2d5c6e9db6a23
CP049504.1,7d102afd9a57c3de8b69,b706991d7fc9e36406b3
CP049504.1,170a0e1669e136f48bd3,7d102afd9a57c3de8b69
CP049504.1,c7da521da52de5f1afa0,170a0e1669e136f48bd3
CP049504.1,d84358960c472c0646f3,c7da521da52de5f1afa0
CP049504.1,ab827465f2c4030e8b45,d84358960c472c0646f3
CP049504.1,c72b0428a43fa6e8cd2b,ab827465f2c4030e8b45
CP049504.1,ef77012ed92ddf67785c,c72b0428a43fa6e8cd2b
CP049504.1,4792a946df89b4d2a878,ef77012ed92ddf67785c
CP049504.1,e792ec42ca611fdb43e3,4792a946df89b4d2a878
CP049504.1,62a7bc7f80c5557e1bd6,e792ec42ca611fdb43e3
CP049504.1,8f3b91f58a93f977accd,62a7bc7f80c5557e1bd6
CP049504.1,a412189f1a80cbef1ed2,8f3b91f58a93f977accd
CP049504.1,17b3848b9348b8e0a9fa,a412189f1a80cbef1ed2
CP049504.1,7cdc8f6c22cdf0a06369,17b3848b9348b8e0a9fa
CP049504.1,0e72c270a1513ccaf184,7cdc8f6c22cdf0a06369
CP049504.1,592b5318e144598593d3,0e72c270a1513ccaf184
CP049504.1,8c35d9430f9d4acb44c8,592b5318e144598593d3
CP049504.1,37759461ea8ea9619ede,8c35d9430f9d4acb44c8
CP049504.1,16f44a4b8a37efd09def,37759461ea8ea9619ede
CP049504.1,aad60a4add019918259e,16f44a4b8a37efd09def
CP049504.1,9d4fe4c9a2a70d93d06e,aad60a4add019918259e
CP049504.1,e0eb7e5a7a7dd0b1cfe1,9d4fe4c9a2a70d93d06e
CP049504.1,1c81c9ed3b09d89a0fad,e0eb7e5a7a7dd0b1cfe1
CP049504.1,9f2efc5633c5a50d5eb1,1c81c9ed3b09d89a0fad
CP049504.1,f7c8569c1a58de5a1744,9f2efc5633c5a50d5eb1
CP049504.1,ea17b7459379dc1467e4,f7c8569c1a58de5a1744
CP049504.1,eb678f6dd53eff6222ed,ea17b7459379dc1467e4
CP049504.1,d3fe72aeeea7fec45b92,eb678f6dd53eff6222ed
CP049504.1,44352c35c8367f0e8bc3,d3fe72aeeea7fec45b92
CP049504.1,57e9477490bdd150ff6a,44352c35c8367f0e8bc3
CP049504.1,e3764c2320180e0ce8d9,57e9477490bdd150ff6a
CP049504.1,407359ab7d203ee35798,e3764c2320180e0ce8d9
