Contig	Start	End	Strand	Pos
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	1	201	1	1
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	211	1551	1	2
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	1663	2574	1	3
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	3044	3511	1	4
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	3623	4096	1	5
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	4121	5908	1	6
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	5985	7391	1	7
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	7447	8430	-1	8
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	8729	9475	1	9
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	9576	10478	1	10
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	10662	11150	-1	11
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	11348	11560	1	12
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	11593	12267	1	13
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	12500	13210	1	14
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	13522	14448	-1	15
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	14576	15835	-1	16
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	16067	17647	-1	17
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	17732	18520	1	18
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	18799	20196	1	19
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	20228	20509	-1	20
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	20757	23210	1	21
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	23762	24466	-1	22
2bce6e5989f64eecdf|9dd4c34156bcd5706b|9dd4c34156bcd5706b|1772631|QLKN01000009.1:49318-75028(FWD)	24616	25710	1	23
2bce6e5989f64eecdf|87ddc4ab3812eb7f51|87ddc4ab3812eb7f51|8831111|JAECZB010000092.1:219460-245167(FWD)	3	197	-1	1
2bce6e5989f64eecdf|87ddc4ab3812eb7f51|87ddc4ab3812eb7f51|8831111|JAECZB010000092.1:219460-245167(FWD)	251	1024	-1	2
2bce6e5989f64eecdf|87ddc4ab3812eb7f51|87ddc4ab3812eb7f51|8831111|JAECZB010000092.1:219460-245167(FWD)	1197	2189	-1	3
