Contig	Start	End	Strand	Pos
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	3	116	-1	1
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	359	850	1	2
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	1129	1821	-1	3
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	2289	5150	1	4
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	5147	5650	1	5
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	5647	6072	1	6
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	6053	6709	1	7
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	6751	8004	1	8
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	7977	9065	-1	9
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	9178	9480	-1	10
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	9491	10141	-1	11
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	10268	11206	-1	12
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	11331	12440	1	13
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	12500	13321	1	14
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	13367	14860	-1	15
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	14857	16218	-1	16
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	16369	17613	-1	17
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	17613	18338	-1	18
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	18430	18936	-1	19
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	19037	19840	1	20
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	20227	21114	-1	21
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	21118	22224	1	22
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	22445	22915	-1	23
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	23118	23618	-1	24
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	23772	24107	1	25
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	24064	24486	1	26
f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	25336	25584	1	27
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	2	493	-1	1
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	735	1226	1	2
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	1272	1964	-1	3
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	2433	5204	1	4
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	5201	5704	1	5
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	5701	6126	1	6
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	6107	6763	1	7
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	6805	8058	1	8
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	8045	9118	-1	9
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	9231	9533	-1	10
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	9544	10194	-1	11
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	10269	11207	-1	12
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	11331	12440	1	13
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	12500	13342	1	14
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	13382	14875	-1	15
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	14872	16233	-1	16
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	16376	17635	-1	17
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	17635	18360	-1	18
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	18453	18959	-1	19
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	19060	19863	1	20
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	19958	20845	-1	21
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	20849	21973	1	22
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	22263	22871	1	23
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	22984	23454	-1	24
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	23639	23848	-1	25
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	24358	24633	1	26
f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	25383	25841	1	27
f3a73b3acc03da9bf8|fdf463fed095a31296|fdf463fed095a31296|7098981|NZ_CP053189.1:2548106-2573915(REV)	1	405	-1	1
f3a73b3acc03da9bf8|fdf463fed095a31296|fdf463fed095a31296|7098981|NZ_CP053189.1:2548106-2573915(REV)	668	1159	1	2
