query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
14-3-3,PF00244.22,222,d2246f26c16fb9eec9|11dd87d73b82f2315a|11dd87d73b82f2315a|5848861|NZ_WHZW01000012.1:31387-56893(REV);3361;5505;+,11.8,0.0077,715,124,202,138,222
2-Hacid_dh,PF00389.32,134,d2246f26c16fb9eec9|c1c8a75daf1e2a71e4|c1c8a75daf1e2a71e4|1455321|NZ_NNBL01000013.1:148307-173594(REV);15751;16809;-,71.8,2.4e-21,353,25,127,60,343
2-Hacid_dh,PF00389.32,134,d2246f26c16fb9eec9|3afd69d7d43bd7f844|fa0968ae775e52620a|348771|NZ_AP012324.1:1920804-1946391(REV);22673;23689;+,51.8,3.7e-15,339,16,133,31,335
2-Hacid_dh,PF00389.32,134,d2246f26c16fb9eec9|06576caced8fbf5ba3|06576caced8fbf5ba3|2125451|NZ_BHXA01000044.1:91819-117259(FWD);20370;21359;+,49.5,2e-14,330,18,129,34,323
2-Hacid_dh,PF00389.32,134,d2246f26c16fb9eec9|5c9558a75ef6c61348|5c9558a75ef6c61348|1069291|NZ_FWXJ01000001.1:139121-164696(REV);19550;20626;-,35.8,3.4e-10,359,26,103,63,244
2-Hacid_dh_C,PF02826.21,178,d2246f26c16fb9eec9|06576caced8fbf5ba3|06576caced8fbf5ba3|2125451|NZ_BHXA01000044.1:91819-117259(FWD);20370;21359;+,187.0,1.2e-56,330,129,145,43,59
2-Hacid_dh_C,PF02826.21,178,d2246f26c16fb9eec9|06576caced8fbf5ba3|06576caced8fbf5ba3|2125451|NZ_BHXA01000044.1:91819-117259(FWD);20370;21359;+,187.0,1.2e-56,330,1,178,121,296
2-Hacid_dh_C,PF02826.21,178,d2246f26c16fb9eec9|3afd69d7d43bd7f844|fa0968ae775e52620a|348771|NZ_AP012324.1:1920804-1946391(REV);22673;23689;+,174.2,9.8e-53,339,0,178,128,304
2-Hacid_dh_C,PF02826.21,178,d2246f26c16fb9eec9|5c9558a75ef6c61348|5c9558a75ef6c61348|1069291|NZ_FWXJ01000001.1:139121-164696(REV);19550;20626;-,171.1,8.6e-52,359,27,178,183,334
2-Hacid_dh_C,PF02826.21,178,d2246f26c16fb9eec9|c1c8a75daf1e2a71e4|c1c8a75daf1e2a71e4|1455321|NZ_NNBL01000013.1:148307-173594(REV);15751;16809;-,169.6,2.4e-51,353,0,178,144,318
2-Hacid_dh_C,PF02826.21,178,d2246f26c16fb9eec9|10f8894770c9ab0817|10f8894770c9ab0817|1509841|NZ_NMYC01000001.1:147438-173034(FWD);6684;7784;+,25.1,5.5e-07,367,37,101,32,98
2-Hacid_dh_C,PF02826.21,178,d2246f26c16fb9eec9|aa7ac94e5176c0ff57|aa7ac94e5176c0ff57|1161641|NZ_NEWD01000038.1:69256-94837(FWD);22782;23831;+,22.9,2.6e-06,350,34,102,11,81
2-Hacid_dh_C,PF02826.21,178,d2246f26c16fb9eec9|9d85ef1ac453b5c017|9d85ef1ac453b5c017|196171|NZ_KL647132.1:337531-363127(FWD);11153;12373;-,13.9,0.0016,407,32,60,5,33
2-Hacid_dh_C,PF02826.21,178,d2246f26c16fb9eec9|9d85ef1ac453b5c017|9d85ef1ac453b5c017|196171|NZ_KL647132.1:337531-363127(FWD);11153;12373;-,13.9,0.0016,407,38,68,147,177
2-Hacid_dh_C,PF02826.21,178,d2246f26c16fb9eec9|2e950b3ba4bd0073fd|2e950b3ba4bd0073fd|1509851|NZ_NMWT01000011.1:12776-38282(FWD);3018;4364;+,13.8,0.0017,449,28,69,225,266
2-Hacid_dh_C,PF02826.21,178,d2246f26c16fb9eec9|034166057b05fbe7c5|034166057b05fbe7c5|8118641|NZ_BMNK01000019.1:0-14735(FWD);9783;10841;-,11.5,0.0085,353,40,90,7,58
2OG-FeII_Oxy_2,PF13532.8,194,d2246f26c16fb9eec9|2511fad066d13404b0|2511fad066d13404b0|5346821|NZ_BLAF01000018.1:57673-83248(REV);17241;17873;-,52.6,3.8e-15,211,154,171,54,72
2OG-FeII_Oxy_2,PF13532.8,194,d2246f26c16fb9eec9|2511fad066d13404b0|2511fad066d13404b0|5346821|NZ_BLAF01000018.1:57673-83248(REV);17241;17873;-,52.6,3.8e-15,211,91,194,106,205
3Beta_HSD,PF01073.21,280,d2246f26c16fb9eec9|e098098fbedcc9e1f1|e098098fbedcc9e1f1|233781|NZ_CP007456.1:2076995-2102582(REV);15648;16703;+,66.9,8.6e-20,352,0,159,22,180
3Beta_HSD,PF01073.21,280,d2246f26c16fb9eec9|013f4d2dd071449723|013f4d2dd071449723|8120711|NZ_BMUT01000006.1:30449-55790(REV);20006;20788;-,28.8,3.5e-08,261,0,118,7,104
3HBOH,PF10605.11,689,d2246f26c16fb9eec9|59be91583d837b78b8|59be91583d837b78b8|204341|NZ_JGYQ01000015.1:41143-66733(FWD);7657;9546;-,14.4,0.0005,630,595,618,15,38
3HBOH,PF10605.11,689,d2246f26c16fb9eec9|59be91583d837b78b8|59be91583d837b78b8|204341|NZ_JGYQ01000015.1:41143-66733(FWD);7657;9546;-,14.4,0.0005,630,337,445,319,429
3HCDH,PF00725.24,97,d2246f26c16fb9eec9|a7daeafc7152f45fad|a7daeafc7152f45fad|562191|NZ_BCFK01000031.1:0-23285(REV);19112;20074;-,71.9,3e-21,321,0,97,193,292
3HCDH_N,PF02737.20,180,d2246f26c16fb9eec9|a7daeafc7152f45fad|a7daeafc7152f45fad|562191|NZ_BCFK01000031.1:0-23285(REV);19112;20074;-,193.9,1.3e-58,321,0,177,9,188
3HCDH_N,PF02737.20,180,d2246f26c16fb9eec9|9d85ef1ac453b5c017|9d85ef1ac453b5c017|196171|NZ_KL647132.1:337531-363127(FWD);11153;12373;-,22.7,4.6e-06,407,1,28,11,40
3HCDH_N,PF02737.20,180,d2246f26c16fb9eec9|9d85ef1ac453b5c017|9d85ef1ac453b5c017|196171|NZ_KL647132.1:337531-363127(FWD);11153;12373;-,22.7,4.6e-06,407,2,37,148,183
3HCDH_N,PF02737.20,180,d2246f26c16fb9eec9|04ff5e098eafcb0785|04ff5e098eafcb0785|2197511|NZ_RJVR01000080.1:6411-31722(FWD);19230;19988;+,20.1,2.9e-05,253,9,68,17,78
3HCDH_N,PF02737.20,180,d2246f26c16fb9eec9|04ff5e098eafcb0785|04ff5e098eafcb0785|2197511|NZ_RJVR01000080.1:6411-31722(FWD);19230;19988;+,20.1,2.9e-05,253,13,48,171,206
3HCDH_N,PF02737.20,180,d2246f26c16fb9eec9|0616a1655ab4516b90|0616a1655ab4516b90|1726671|PMST01000429.1:0-9478(REV);1411;2706;+,18.2,0.00011,432,1,38,10,47
3HCDH_N,PF02737.20,180,d2246f26c16fb9eec9|59be91583d837b78b8|59be91583d837b78b8|204341|NZ_JGYQ01000015.1:41143-66733(FWD);14977;15552;+,16.9,0.00028,192,0,33,2,35
3HCDH_N,PF02737.20,180,d2246f26c16fb9eec9|e098098fbedcc9e1f1|e098098fbedcc9e1f1|233781|NZ_CP007456.1:2076995-2102582(REV);10675;11853;+,15.4,0.00082,393,2,49,10,58
3HCDH_N,PF02737.20,180,d2246f26c16fb9eec9|ad61d78ce6c4a9f187|ad61d78ce6c4a9f187|1700741|NZ_QFFN01000008.1:67400-87623(REV);2122;3366;-,11.7,0.011,415,0,91,1,91
3HCDH_N,PF02737.20,180,d2246f26c16fb9eec9|ad61d78ce6c4a9f187|ad61d78ce6c4a9f187|1700741|NZ_QFFN01000008.1:67400-87623(REV);2122;3366;-,11.7,0.011,415,148,176,297,326
3HCDH_N,PF02737.20,180,d2246f26c16fb9eec9|ad61d78ce6c4a9f187|ad61d78ce6c4a9f187|1700741|NZ_QFFN01000008.1:67400-87623(REV);2122;3366;-,11.7,0.011,415,17,54,350,387
3HCDH_N,PF02737.20,180,d2246f26c16fb9eec9|9d85ef1ac453b5c017|9d85ef1ac453b5c017|196171|NZ_KL647132.1:337531-363127(FWD);6524;7954;+,8.6,0.099,477,1,30,3,32
4HBT,PF03061.24,79,d2246f26c16fb9eec9|c1c8a75daf1e2a71e4|c1c8a75daf1e2a71e4|1455321|NZ_NNBL01000013.1:148307-173594(REV);21203;21658;+,55.5,3.4e-16,152,1,78,59,137
4HBT,PF03061.24,79,d2246f26c16fb9eec9|caf2bd91ab58c7652c|caf2bd91ab58c7652c|1452501|NZ_PGEW01000001.1:1201266-1226553(REV);14465;14953;+,50.5,1.2e-14,163,5,18,22,35
4HBT,PF03061.24,79,d2246f26c16fb9eec9|caf2bd91ab58c7652c|caf2bd91ab58c7652c|1452501|NZ_PGEW01000001.1:1201266-1226553(REV);14465;14953;+,50.5,1.2e-14,163,0,71,47,115
4HBT_3,PF13622.8,250,d2246f26c16fb9eec9|2af34d294c31f22abe|2af34d294c31f22abe|204231|NZ_JGZG01000005.1:663-26250(FWD);5934;6851;-,174.5,2.9e-52,306,8,250,39,295
4HBT_3,PF13622.8,250,d2246f26c16fb9eec9|c1c8a75daf1e2a71e4|c1c8a75daf1e2a71e4|1455321|NZ_NNBL01000013.1:148307-173594(REV);21203;21658;+,20.7,2.5e-05,152,0,84,50,145
