Contig	Start	End	Strand	Pos
7e848117da228c93cd|5a18cb2a3860d98085|5a18cb2a3860d98085|8405341|NZ_JADEXD010000104.1:0-16151(FWD)	1	549	1	1
7e848117da228c93cd|5a18cb2a3860d98085|5a18cb2a3860d98085|8405341|NZ_JADEXD010000104.1:0-16151(FWD)	688	2163	-1	2
7e848117da228c93cd|5a18cb2a3860d98085|5a18cb2a3860d98085|8405341|NZ_JADEXD010000104.1:0-16151(FWD)	2412	2756	1	3
7e848117da228c93cd|5a18cb2a3860d98085|5a18cb2a3860d98085|8405341|NZ_JADEXD010000104.1:0-16151(FWD)	2804	3001	-1	4
7e848117da228c93cd|5a18cb2a3860d98085|5a18cb2a3860d98085|8405341|NZ_JADEXD010000104.1:0-16151(FWD)	3667	4956	-1	5
7e848117da228c93cd|5a18cb2a3860d98085|5a18cb2a3860d98085|8405341|NZ_JADEXD010000104.1:0-16151(FWD)	5290	5949	-1	6
7e848117da228c93cd|5a18cb2a3860d98085|5a18cb2a3860d98085|8405341|NZ_JADEXD010000104.1:0-16151(FWD)	6071	6787	1	7
7e848117da228c93cd|5a18cb2a3860d98085|5a18cb2a3860d98085|8405341|NZ_JADEXD010000104.1:0-16151(FWD)	7051	8286	-1	8
7e848117da228c93cd|5a18cb2a3860d98085|5a18cb2a3860d98085|8405341|NZ_JADEXD010000104.1:0-16151(FWD)	8286	8906	-1	9
7e848117da228c93cd|5a18cb2a3860d98085|5a18cb2a3860d98085|8405341|NZ_JADEXD010000104.1:0-16151(FWD)	8941	9432	1	10
7e848117da228c93cd|5a18cb2a3860d98085|5a18cb2a3860d98085|8405341|NZ_JADEXD010000104.1:0-16151(FWD)	10437	11033	-1	11
7e848117da228c93cd|5a18cb2a3860d98085|5a18cb2a3860d98085|8405341|NZ_JADEXD010000104.1:0-16151(FWD)	11076	12383	-1	12
7e848117da228c93cd|5a18cb2a3860d98085|5a18cb2a3860d98085|8405341|NZ_JADEXD010000104.1:0-16151(FWD)	12520	12852	-1	13
7e848117da228c93cd|5a18cb2a3860d98085|5a18cb2a3860d98085|8405341|NZ_JADEXD010000104.1:0-16151(FWD)	13546	14208	-1	14
7e848117da228c93cd|5a18cb2a3860d98085|5a18cb2a3860d98085|8405341|NZ_JADEXD010000104.1:0-16151(FWD)	14734	15747	-1	15
7e848117da228c93cd|5a18cb2a3860d98085|5a18cb2a3860d98085|8405341|NZ_JADEXD010000104.1:0-16151(FWD)	15980	16150	1	16
7e848117da228c93cd|48943cb01bc61fb840|48943cb01bc61fb840|8141951|NZ_JACJNY010000030.1:4751-30140(FWD)	2	469	1	1
7e848117da228c93cd|48943cb01bc61fb840|48943cb01bc61fb840|8141951|NZ_JACJNY010000030.1:4751-30140(FWD)	845	1696	-1	2
7e848117da228c93cd|48943cb01bc61fb840|48943cb01bc61fb840|8141951|NZ_JACJNY010000030.1:4751-30140(FWD)	2053	2868	1	3
7e848117da228c93cd|48943cb01bc61fb840|48943cb01bc61fb840|8141951|NZ_JACJNY010000030.1:4751-30140(FWD)	3197	4468	1	4
7e848117da228c93cd|48943cb01bc61fb840|48943cb01bc61fb840|8141951|NZ_JACJNY010000030.1:4751-30140(FWD)	4541	5254	1	5
7e848117da228c93cd|48943cb01bc61fb840|48943cb01bc61fb840|8141951|NZ_JACJNY010000030.1:4751-30140(FWD)	5396	6532	1	6
