Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	7c8d22120719f2db6d|3e596f3f4ae184042c|3e596f3f4ae184042c|1284031|NZ_OBDY01000016.1:150917-176693(REV)_23	348	284	0.0021	12.3	23150	24193	7c8d22120719f2db6d|3e596f3f4ae184042c|3e596f3f4ae184042c|1284031|NZ_OBDY01000016.1:150917-176693(REV)	23	0.16954022988505746	0.20422535211267606	1
Cas3_0_CAS-I-D	7c8d22120719f2db6d|25373cc14071f090b3|25373cc14071f090b3|1631981|NZ_PVMZ01000011.1:71048-96812(REV)_2	834	626	0.003	10.4	1352	3853	7c8d22120719f2db6d|25373cc14071f090b3|25373cc14071f090b3|1631981|NZ_PVMZ01000011.1:71048-96812(REV)	2	0.10671462829736211	0.14376996805111822	-1
Cas3_0_CAS-I-D	7c8d22120719f2db6d|3e596f3f4ae184042c|3e596f3f4ae184042c|1284031|NZ_OBDY01000016.1:150917-176693(REV)_3	730	626	0.0029	10.4	2199	4388	7c8d22120719f2db6d|3e596f3f4ae184042c|3e596f3f4ae184042c|1284031|NZ_OBDY01000016.1:150917-176693(REV)	3	0.1232876712328767	0.14536741214057508	-1
Cas3_0_CAS-I-D	7c8d22120719f2db6d|7c7b1e4863cbf67be0|7c7b1e4863cbf67be0|8119681|NZ_BMQZ01000011.1:277980-302468(FWD)_4	697	626	0.0021	10.9	2521	4611	7c8d22120719f2db6d|7c7b1e4863cbf67be0|7c7b1e4863cbf67be0|8119681|NZ_BMQZ01000011.1:277980-302468(FWD)	4	0.12769010043041606	0.14376996805111822	-1
Cas3_0_CAS-I-D	7c8d22120719f2db6d|7c8d22120719f2db6d|7c8d22120719f2db6d|79291|NC_022657.1:4307349-4333155(FWD)_1	204	626	0.002	10.9	1	612	7c8d22120719f2db6d|7c8d22120719f2db6d|7c8d22120719f2db6d|79291|NC_022657.1:4307349-4333155(FWD)	1	0.29411764705882354	0.09744408945686901	-1
Cas3_0_CAS-I-D	7c8d22120719f2db6d|7d0808b76a9332a166|7d0808b76a9332a166|191191|KL571522.1:0-18620(FWD)_1	731	626	0.002	11.0	144	2336	7c8d22120719f2db6d|7d0808b76a9332a166|7d0808b76a9332a166|191191|KL571522.1:0-18620(FWD)	1	0.12311901504787962	0.14536741214057508	-1
Cas3_0_CAS-I-D	7c8d22120719f2db6d|963b070b8ced7d3abc|963b070b8ced7d3abc|7887661|NZ_JACHNB010000001.1:4876759-4902529(FWD)_3	742	626	0.0012	11.7	2177	4402	7c8d22120719f2db6d|963b070b8ced7d3abc|963b070b8ced7d3abc|7887661|NZ_JACHNB010000001.1:4876759-4902529(FWD)	3	0.12129380053908356	0.14536741214057508	-1
Cas3_0_CAS-I-D	7c8d22120719f2db6d|a4feb64ffd566059b5|a4feb64ffd566059b5|2352121|NZ_SNWR01000002.1:175979-201746(FWD)_4	699	626	0.002	11.0	2484	4580	7c8d22120719f2db6d|a4feb64ffd566059b5|a4feb64ffd566059b5|2352121|NZ_SNWR01000002.1:175979-201746(FWD)	4	0.1459227467811159	0.16293929712460065	-1
Cas3_0_CAS-I-D	7c8d22120719f2db6d|a6c67142d3ef83e39d|a6c67142d3ef83e39d|191191|KL571522.1:0-18620(FWD)_1	731	626	0.002	11.0	144	2336	7c8d22120719f2db6d|a6c67142d3ef83e39d|a6c67142d3ef83e39d|191191|KL571522.1:0-18620(FWD)	1	0.12311901504787962	0.14536741214057508	-1
Cas3_0_CAS-I-D	7c8d22120719f2db6d|ce874610f3457ecda5|ce874610f3457ecda5|7887741|NZ_JACHNH010000001.1:3911541-3937341(FWD)_3	663	626	0.0055	9.5	2464	4452	7c8d22120719f2db6d|ce874610f3457ecda5|ce874610f3457ecda5|7887741|NZ_JACHNH010000001.1:3911541-3937341(FWD)	3	0.10407239819004525	0.11182108626198083	-1
Cas3_0_CAS-I-D	7c8d22120719f2db6d|ef744628319e2cbad7|ef744628319e2cbad7|670798|NC_021191.1:5113188-5138970(FWD)_20	610	626	0.0046	9.8	16628	18457	7c8d22120719f2db6d|ef744628319e2cbad7|ef744628319e2cbad7|670798|NC_021191.1:5113188-5138970(FWD)	20	0.14590163934426228	0.14217252396166133	1
Cas3_0_ID	7c8d22120719f2db6d|ed9a37d0c97ef50511|ed9a37d0c97ef50511|8119671|NZ_BMQY01000004.1:65931-91728(FWD)_5	609	357	0.0023	11.7	2056	3882	7c8d22120719f2db6d|ed9a37d0c97ef50511|ed9a37d0c97ef50511|8119671|NZ_BMQY01000004.1:65931-91728(FWD)	5	0.19540229885057472	0.3277310924369748	-1
Cas3_1_CAS-I-D	7c8d22120719f2db6d|3e596f3f4ae184042c|3e596f3f4ae184042c|1284031|NZ_OBDY01000016.1:150917-176693(REV)_3	730	353	0.0012	12.6	2199	4388	7c8d22120719f2db6d|3e596f3f4ae184042c|3e596f3f4ae184042c|1284031|NZ_OBDY01000016.1:150917-176693(REV)	3	0.16301369863013698	0.3314447592067989	-1
