Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
6c3b2ade31d3833745|c4f0da1a5f6ea738ba|c4f0da1a5f6ea738ba|7004721|DUSP01000124.1:0-21604(FWD)	6c3b2ade31d3833745|c4f0da1a5f6ea738ba|c4f0da1a5f6ea738ba|7004721|DUSP01000124.1:0-21604(FWD)@1	14509	14829	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[16]	['1.70e-10']	[0.822]	[0.814]	NA	NA
6c3b2ade31d3833745|6d7bd366529699c6c0|b10d446b8d0d2187ec|2344771|SLTJ01000032.1:17739-43413(FWD)	6c3b2ade31d3833745|6d7bd366529699c6c0|b10d446b8d0d2187ec|2344771|SLTJ01000032.1:17739-43413(FWD)@1	17026	17532	False	0%	NA	III-A	1.0	['AbiEii_1_CAS-III-A']	[17]	['9.60e-04']	[0.669]	[0.331]	NA	NA
6c3b2ade31d3833745|07c8cdeef9a3f24f9b|07c8cdeef9a3f24f9b|1695511|NZ_BFFN01000003.1:71245-96604(FWD)	6c3b2ade31d3833745|07c8cdeef9a3f24f9b|07c8cdeef9a3f24f9b|1695511|NZ_BFFN01000003.1:71245-96604(FWD)@1	24182	24733	False	29%	0%	I-A	2.0	['Cas3HD_0_CAS-I']	[23]	['5.40e-04']	[0.359]	[0.409]	1	NA
6c3b2ade31d3833745|977664ac82c3bd58cf|c66981a2926dfeb82f|500538|NZ_CAOS01000003.1:384179-409844(REV)	6c3b2ade31d3833745|977664ac82c3bd58cf|c66981a2926dfeb82f|500538|NZ_CAOS01000003.1:384179-409844(REV)@2	24309	25664	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[22]	['1.90e-85']	[0.622]	[0.943]	NA	NA
6c3b2ade31d3833745|24bdb1cee2e7ac7b35|24bdb1cee2e7ac7b35|500538|NZ_CAOS01000010.1:17483-42767(FWD)	6c3b2ade31d3833745|24bdb1cee2e7ac7b35|24bdb1cee2e7ac7b35|500538|NZ_CAOS01000010.1:17483-42767(FWD)@1	16734	17144	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[20]	['7.90e-05']	[0.526]	[0.466]	NA	NA
6c3b2ade31d3833745|9b0220da1490adaa89|9b0220da1490adaa89|1695511|NZ_BFFN01000013.1:0-16083(REV)	6c3b2ade31d3833745|9b0220da1490adaa89|9b0220da1490adaa89|1695511|NZ_BFFN01000013.1:0-16083(REV)@1	11751	12083	False	0%	NA	III-B	1.0	['CorA_1_CAS-III-B']	[14]	['6.10e-03']	[0.901]	[0.544]	NA	NA
6c3b2ade31d3833745|08c6b0aa961191d0b1|08c6b0aa961191d0b1|93301|NZ_KI912183.1:220025-245339(FWD)	6c3b2ade31d3833745|08c6b0aa961191d0b1|08c6b0aa961191d0b1|93301|NZ_KI912183.1:220025-245339(FWD)@1	18454	20619	False	20%	NA	IV-D	4.0	['RecD_0_IVD']	[20]	['5.60e-07']	[0.413]	[0.388]	1	NA
6c3b2ade31d3833745|57a73638ce7c24ebcf|57a73638ce7c24ebcf|6259801|DTIY01000043.1:59029-84544(REV)	6c3b2ade31d3833745|57a73638ce7c24ebcf|57a73638ce7c24ebcf|6259801|DTIY01000043.1:59029-84544(REV)@2	22030	22827	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[24]	['2.60e-04']	[0.383]	[0.352]	NA	NA
6c3b2ade31d3833745|03b0fcf713d3ea6086|03b0fcf713d3ea6086|2007711|NZ_RBWE01000001.1:2120108-2145620(REV)	6c3b2ade31d3833745|03b0fcf713d3ea6086|03b0fcf713d3ea6086|2007711|NZ_RBWE01000001.1:2120108-2145620(REV)@1	6432	7193	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[7]	['1.30e-05']	[0.461]	[0.394]	NA	NA
6c3b2ade31d3833745|5a5f5a8ae211c9012e|b80bd45adbe1c97773|1695511|NZ_BFFN01000002.1:136330-161986(REV)	6c3b2ade31d3833745|5a5f5a8ae211c9012e|b80bd45adbe1c97773|1695511|NZ_BFFN01000002.1:136330-161986(REV)@1	11164	11460	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[10]	['9.50e-23']	[0.727]	[0.686]	NA	NA
6c3b2ade31d3833745|0202e6d44f5bb4700f|0202e6d44f5bb4700f|285038|NC_015573.1:1503008-1528541(REV)	6c3b2ade31d3833745|0202e6d44f5bb4700f|0202e6d44f5bb4700f|285038|NC_015573.1:1503008-1528541(REV)@1	10624	11229	False	0%	33%	I-A	2.0	['Cas2_4_CAS-I-II-III-IV-V-VI']	[12]	['6.00e-04']	[0.351]	[0.427]	NA	-1
6c3b2ade31d3833745|5a5f5a8ae211c9012e|ebf4449e49d75c532d|1695511|NZ_BFFN01000002.1:142790-168446(FWD)	6c3b2ade31d3833745|5a5f5a8ae211c9012e|ebf4449e49d75c532d|1695511|NZ_BFFN01000002.1:142790-168446(FWD)@2	23778	24623	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[26]	['4.60e-07']	[0.493]	[0.486]	NA	NA
