Contig	Start	End	Strand	Pos
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	3	1280	-1	1
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	1462	1734	1	2
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	1823	2644	1	3
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	2737	4107	-1	4
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	4703	4939	-1	5
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	5295	5723	1	6
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	5680	6555	-1	7
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	6576	7019	-1	8
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	7344	8345	-1	9
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	8411	9370	-1	10
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	9367	10422	-1	11
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	10428	11471	-1	12
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	11471	12412	-1	13
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	12500	12835	1	14
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	12912	14573	-1	15
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	14781	16415	-1	16
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	16428	17135	-1	17
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	17324	19744	-1	18
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	19828	20631	-1	19
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	20643	21278	-1	20
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	21292	21933	-1	21
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	22641	23519	1	22
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	23634	24737	1	23
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	25190	25333	-1	24
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	3	1382	-1	1
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	1604	2833	-1	2
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	2949	3737	-1	3
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	3963	5006	1	4
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	5822	7126	-1	5
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	7280	7726	-1	6
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	8311	9261	-1	7
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	9295	10362	-1	8
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	10369	11409	-1	9
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	11409	12308	-1	10
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	12500	12832	1	11
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	12857	14521	-1	12
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	15142	16626	1	13
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	16640	17314	1	14
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	17307	18746	1	15
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	18869	19603	1	16
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	19561	19893	-1	17
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	20081	20446	-1	18
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	20436	22364	-1	19
27177e034d397f4d56|eec19ca2f7f891e07e|eec19ca2f7f891e07e|2327021|NZ_BJCC01000034.1:64307-89639(FWD)	22447	23862	-1	20
