Contig	Start	End	Strand	Pos
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	1	1164	1	1
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	1259	2434	1	2
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	2751	3119	-1	3
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	3182	4561	-1	4
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	4676	5938	1	5
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	5965	8592	-1	6
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	8820	9848	1	7
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	9996	10199	1	8
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	10513	10686	-1	9
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	10896	11846	-1	10
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	12500	12931	1	11
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	12928	13260	1	12
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	13483	14358	1	13
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	14579	15187	-1	14
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	15243	16538	1	15
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	16563	16934	1	16
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	17034	17285	1	17
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	17345	18025	1	18
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	18071	18472	1	19
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	18504	19604	-1	20
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	19704	19892	-1	21
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	20147	20362	1	22
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	20524	22449	1	23
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	22632	23282	1	24
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	23392	23844	1	25
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	23982	24344	-1	26
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	24345	24731	-1	27
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	24798	25115	-1	28
4e45823b6b83464d6e|fb381e9b4184149dab|fb381e9b4184149dab|536688|NZ_AOIM01000037.1:194729-220160(FWD)	25105	25431	-1	29
4e45823b6b83464d6e|d6cb7048e8afd1ad43|d94369cf097a4b7db0|605781|NZ_LN831303.1:49110-74490(REV)	2	139	1	1
4e45823b6b83464d6e|d6cb7048e8afd1ad43|d94369cf097a4b7db0|605781|NZ_LN831303.1:49110-74490(REV)	203	304	1	2
4e45823b6b83464d6e|d6cb7048e8afd1ad43|d94369cf097a4b7db0|605781|NZ_LN831303.1:49110-74490(REV)	488	982	-1	3
4e45823b6b83464d6e|d6cb7048e8afd1ad43|d94369cf097a4b7db0|605781|NZ_LN831303.1:49110-74490(REV)	1331	1675	1	4
4e45823b6b83464d6e|d6cb7048e8afd1ad43|d94369cf097a4b7db0|605781|NZ_LN831303.1:49110-74490(REV)	1756	2211	-1	5
4e45823b6b83464d6e|d6cb7048e8afd1ad43|d94369cf097a4b7db0|605781|NZ_LN831303.1:49110-74490(REV)	2353	3348	-1	6
4e45823b6b83464d6e|d6cb7048e8afd1ad43|d94369cf097a4b7db0|605781|NZ_LN831303.1:49110-74490(REV)	3523	4176	1	7
