Contig	Start	End	Strand	Pos
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	2	1972	1	1
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	1974	2966	-1	2
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	3089	4009	1	3
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	4116	6362	1	4
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	6362	7921	1	5
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	7936	8700	1	6
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	8708	9829	1	7
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	9830	10354	-1	8
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	10422	11582	-1	9
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	11613	12461	-1	10
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	12500	13288	1	11
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	13292	14185	1	12
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	14207	15274	-1	13
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	15271	15897	-1	14
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	16036	16533	1	15
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	16535	17686	-1	16
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	17780	18256	-1	17
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	18486	19841	1	18
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	19852	20802	-1	19
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	20960	22213	-1	20
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	22319	23434	-1	21
ad17062fc0b1953724|600d8661ec3c9d6a1a|600d8661ec3c9d6a1a|2005401|NZ_RAWK01000001.1:51179-76967(FWD)	23450	25363	-1	22
