Contig	Start	End	Strand	Pos
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	2	439	1	1
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	638	2038	1	2
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	2035	3135	1	3
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	3298	5157	-1	4
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	5591	6304	-1	5
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	6526	7905	1	6
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	8104	8250	1	7
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	8414	9073	1	8
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	9192	10478	-1	9
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	10809	11981	1	10
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	11944	12210	-1	11
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	12501	13625	1	12
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	13665	14783	1	13
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	14863	15300	-1	14
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	15496	15936	1	15
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	16180	17826	1	16
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	18362	19129	1	17
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	19213	19815	1	18
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	20170	20544	-1	19
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	20800	22161	-1	20
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	22225	22992	-1	21
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	22989	23651	-1	22
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	23771	25270	1	23
3b91e97121e56aa047|ca009fa53721289e12|04cf2583d1e3761e2c|1653991|NZ_KZ679049.1:57033-83157(REV)	25655	26122	-1	24
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	2	1036	1	1
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	1033	2916	-1	2
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	3346	3828	-1	3
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	4236	5192	1	4
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	5246	6772	1	5
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	6918	8282	1	6
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	8467	8607	1	7
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	8680	9333	1	8
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	9348	10616	-1	9
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	10982	12166	1	10
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	12117	12362	-1	11
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	12500	13600	1	12
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	13618	14715	1	13
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	14722	15156	-1	14
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	15391	15831	1	15
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	15921	17537	1	16
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	18117	18911	1	17
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	19021	19578	1	18
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	19760	20134	-1	19
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	20413	21765	-1	20
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	21821	22597	-1	21
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	22594	23319	-1	22
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	23384	24892	1	23
3b91e97121e56aa047|954725eb9aa5e09bfe|954725eb9aa5e09bfe|8119811|NZ_BMRM01000025.1:37299-63399(FWD)	25306	26100	-1	24
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	2	115	1	1
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	112	1188	1	2
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	1237	3108	-1	3
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	3542	4186	-1	4
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	4435	5781	1	5
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	5858	6058	-1	6
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	6169	7650	-1	7
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	7892	8053	1	8
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	8290	8877	1	9
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	8998	10281	-1	10
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	10679	11854	1	11
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	12500	13627	1	12
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	13668	14759	1	13
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	14763	15206	-1	14
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	15406	15846	1	15
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	15919	17562	1	16
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	18052	18891	1	17
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	18977	19567	1	18
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	19753	20127	-1	19
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	20384	21763	-1	20
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	21812	22579	-1	21
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	22576	23304	-1	22
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	23404	24903	1	23
3b91e97121e56aa047|96c2e6508556fff0ed|3498e35ed7a1faaa5c|8120411|NZ_BMTR01000019.1:70237-96364(FWD)	24981	26126	-1	24
3b91e97121e56aa047|ad02e18bee8070fb29|c45b92d76a9f004ac2|8120401|NZ_BMTQ01000017.1:105940-132043(FWD)	1	522	1	1
