recid,phash,qhash
NZ_MBAK01000074.1,bcc4faa57e5f01c35b41,ff8883c4188503e5d7f9
NZ_MBAK01000106.1,f2165c4330b8c4956fbc,34a7c2e66b7fdea24f48
NZ_MBAK01000106.1,f2165c4330b8c4956fbc,bfaefc2b81fad51fc3d0
NZ_MBAK01000106.1,f2165c4330b8c4956fbc,b96821700b410acfa7d2
NZ_MBAK01000106.1,f2165c4330b8c4956fbc,89814496d3076ca112b5
NZ_MBAK01000166.1,256ae798639094ec9682,a323ea5244dc22f2ad6f
NZ_MBAK01000166.1,256ae798639094ec9682,443f39a76cd6a046202f
NZ_MBAK01000166.1,256ae798639094ec9682,814b3ce5a1c3aa4051b1
NZ_MBAK01000166.1,256ae798639094ec9682,5044cf9ca55d634a0fdd
NZ_MBAK01000166.1,256ae798639094ec9682,d5a38b193017c4707a2d
NZ_MBAK01000166.1,256ae798639094ec9682,f266d287d490057552e1
NZ_MBAK01000166.1,256ae798639094ec9682,17d432652d0f6e3745e2
