Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|00b9e8816e8c7ec754|00b9e8816e8c7ec754|5197381|NZ_WEGH01000001.1:294827-325625(FWD)_23	262	284	9e-07	24.2	29161	29946	c7a1b8f01c5b7c48a2|00b9e8816e8c7ec754|00b9e8816e8c7ec754|5197381|NZ_WEGH01000001.1:294827-325625(FWD)	23	0.5954198473282443	0.545774647887324	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|00b9e8816e8c7ec754|00b9e8816e8c7ec754|5197381|NZ_WEGH01000001.1:294827-325625(FWD)_24	270	284	5.1e-07	25.1	29936	30745	c7a1b8f01c5b7c48a2|00b9e8816e8c7ec754|00b9e8816e8c7ec754|5197381|NZ_WEGH01000001.1:294827-325625(FWD)	24	0.26296296296296295	0.23591549295774647	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|13bc2b9f99cc46be9f|13bc2b9f99cc46be9f|3218371|NZ_VCKW01000147.1:4414-22252(REV)_11	273	284	9.7e-06	20.8	16862	17680	c7a1b8f01c5b7c48a2|13bc2b9f99cc46be9f|13bc2b9f99cc46be9f|3218371|NZ_VCKW01000147.1:4414-22252(REV)	11	0.5311355311355311	0.5176056338028169	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|1536b273d638c43ed4|5aba9f4aa174f55aaf|4421391|NZ_VSFF01000011.1:283079-313940(REV)_23	253	284	2.2e-05	19.7	28951	29709	c7a1b8f01c5b7c48a2|1536b273d638c43ed4|5aba9f4aa174f55aaf|4421391|NZ_VSFF01000011.1:283079-313940(REV)	23	0.4743083003952569	0.4225352112676056	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|1536b273d638c43ed4|5aba9f4aa174f55aaf|4421391|NZ_VSFF01000011.1:283079-313940(REV)_24	276	284	1e-05	20.8	29699	30526	c7a1b8f01c5b7c48a2|1536b273d638c43ed4|5aba9f4aa174f55aaf|4421391|NZ_VSFF01000011.1:283079-313940(REV)	24	0.2572463768115942	0.25	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|2853d66e289717fdfe|2853d66e289717fdfe|637451|NZ_BCQT01000017.1:58846-89710(FWD)_20	273	284	1e-05	20.8	29298	30116	c7a1b8f01c5b7c48a2|2853d66e289717fdfe|2853d66e289717fdfe|637451|NZ_BCQT01000017.1:58846-89710(FWD)	20	0.4468864468864469	0.426056338028169	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|2853d66e289717fdfe|2853d66e289717fdfe|637451|NZ_BCQT01000017.1:58846-89710(FWD)_21	253	284	9.1e-06	21.0	30106	30864	c7a1b8f01c5b7c48a2|2853d66e289717fdfe|2853d66e289717fdfe|637451|NZ_BCQT01000017.1:58846-89710(FWD)	21	0.25691699604743085	0.2147887323943662	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|3f1fb41ad74d4b8299|3f1fb41ad74d4b8299|7888551|NZ_JACHMQ010000001.1:873755-904619(REV)_21	297	284	6e-07	24.8	27136	28026	c7a1b8f01c5b7c48a2|3f1fb41ad74d4b8299|3f1fb41ad74d4b8299|7888551|NZ_JACHMQ010000001.1:873755-904619(REV)	21	0.2828282828282828	0.2887323943661972	1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|3f1fb41ad74d4b8299|c2a52df704be4b9595|1154621|NZ_FZNP01000005.1:78269-109124(FWD)_22	300	284	4.6e-07	25.2	28139	29038	c7a1b8f01c5b7c48a2|3f1fb41ad74d4b8299|c2a52df704be4b9595|1154621|NZ_FZNP01000005.1:78269-109124(FWD)	22	0.29	0.29225352112676056	1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|3f1fb41ad74d4b8299|c885184b055d86527c|7343361|NZ_JACCBA010000001.1:1354686-1385544(FWD)_20	296	284	2.4e-07	26.1	27174	28061	c7a1b8f01c5b7c48a2|3f1fb41ad74d4b8299|c885184b055d86527c|7343361|NZ_JACCBA010000001.1:1354686-1385544(FWD)	20	0.2939189189189189	0.2992957746478873	1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|3f1fb41ad74d4b8299|e87834a3473fb9439a|7343141|NZ_JACCBT010000001.1:3275651-3306500(REV)_21	297	284	4e-07	25.4	27285	28175	c7a1b8f01c5b7c48a2|3f1fb41ad74d4b8299|e87834a3473fb9439a|7343141|NZ_JACCBT010000001.1:3275651-3306500(REV)	21	0.28619528619528617	0.29225352112676056	1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|532ae79758dd7beea4|532ae79758dd7beea4|192271|NZ_JOFJ01000001.1:96800-127601(FWD)_22	258	284	1.2e-06	23.8	28673	29446	c7a1b8f01c5b7c48a2|532ae79758dd7beea4|532ae79758dd7beea4|192271|NZ_JOFJ01000001.1:96800-127601(FWD)	22	0.5503875968992248	0.5140845070422535	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|532ae79758dd7beea4|532ae79758dd7beea4|192271|NZ_JOFJ01000001.1:96800-127601(FWD)_23	268	284	1.4e-05	20.4	29436	30239	c7a1b8f01c5b7c48a2|532ae79758dd7beea4|532ae79758dd7beea4|192271|NZ_JOFJ01000001.1:96800-127601(FWD)	23	0.2126865671641791	0.19718309859154928	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|5ce70b433de6d32fcb|5ce70b433de6d32fcb|1072151|NZ_KZ084325.1:71732-102290(FWD)_23	314	284	4.2e-06	22.1	29244	30185	c7a1b8f01c5b7c48a2|5ce70b433de6d32fcb|5ce70b433de6d32fcb|1072151|NZ_KZ084325.1:71732-102290(FWD)	23	0.2484076433121019	0.2676056338028169	1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|5ce70b433de6d32fcb|5ce70b433de6d32fcb|1072151|NZ_KZ084325.1:71732-102290(FWD)_24	125	284	3.5e-05	19.0	30182	30556	c7a1b8f01c5b7c48a2|5ce70b433de6d32fcb|5ce70b433de6d32fcb|1072151|NZ_KZ084325.1:71732-102290(FWD)	24	0.384	0.15845070422535212	1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|5ce70b433de6d32fcb|5ce70b433de6d32fcb|1072151|NZ_KZ084325.1:71732-102290(FWD)_4	292	284	7.4e-08	27.8	3548	4423	c7a1b8f01c5b7c48a2|5ce70b433de6d32fcb|5ce70b433de6d32fcb|1072151|NZ_KZ084325.1:71732-102290(FWD)	4	0.20205479452054795	0.2007042253521127	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|60873f29e1b25f1057|60873f29e1b25f1057|8147261|NZ_JABMCA010000040.1:70705-88527(REV)_10	289	284	0.00012	17.3	16284	17150	c7a1b8f01c5b7c48a2|60873f29e1b25f1057|60873f29e1b25f1057|8147261|NZ_JABMCA010000040.1:70705-88527(REV)	10	0.4117647058823529	0.4084507042253521	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|60873f29e1b25f1057|60873f29e1b25f1057|8147261|NZ_JABMCA010000040.1:70705-88527(REV)_11	227	284	8e-07	24.4	17140	17820	c7a1b8f01c5b7c48a2|60873f29e1b25f1057|60873f29e1b25f1057|8147261|NZ_JABMCA010000040.1:70705-88527(REV)	11	0.3920704845814978	0.31690140845070425	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|7c04856559d45d2d73|7c04856559d45d2d73|5410381|NZ_WING01000001.1:6713621-6743012(REV)_23	287	284	7.4e-06	21.2	28278	29138	c7a1b8f01c5b7c48a2|7c04856559d45d2d73|7c04856559d45d2d73|5410381|NZ_WING01000001.1:6713621-6743012(REV)	23	0.43902439024390244	0.44366197183098594	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|9e0a8026a3f01dbfdd|9e0a8026a3f01dbfdd|862581|NZ_FNCN01000001.1:198520-229327(FWD)_18	73	284	4.5e-05	18.7	21834	22052	c7a1b8f01c5b7c48a2|9e0a8026a3f01dbfdd|9e0a8026a3f01dbfdd|862581|NZ_FNCN01000001.1:198520-229327(FWD)	18	0.2876712328767123	0.07394366197183098	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|a0b65b772662e09dc5|6efbb51672ad25d152|5433731|NZ_WUTW01000001.1:1838853-1869681(REV)_21	247	284	7.1e-06	21.3	28564	29304	c7a1b8f01c5b7c48a2|a0b65b772662e09dc5|6efbb51672ad25d152|5433731|NZ_WUTW01000001.1:1838853-1869681(REV)	21	0.6761133603238867	0.602112676056338	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|a0b65b772662e09dc5|6efbb51672ad25d152|5433731|NZ_WUTW01000001.1:1838853-1869681(REV)_22	261	284	3.8e-06	22.2	29294	30076	c7a1b8f01c5b7c48a2|a0b65b772662e09dc5|6efbb51672ad25d152|5433731|NZ_WUTW01000001.1:1838853-1869681(REV)	22	0.2222222222222222	0.2007042253521127	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|a0b65b772662e09dc5|a0b65b772662e09dc5|1550371|NZ_MTBP01000002.1:257349-288186(FWD)_21	247	284	5.2e-06	21.7	28843	29583	c7a1b8f01c5b7c48a2|a0b65b772662e09dc5|a0b65b772662e09dc5|1550371|NZ_MTBP01000002.1:257349-288186(FWD)	21	0.659919028340081	0.5880281690140845	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|a0b65b772662e09dc5|a0b65b772662e09dc5|1550371|NZ_MTBP01000002.1:257349-288186(FWD)_22	262	284	4.1e-06	22.1	29573	30358	c7a1b8f01c5b7c48a2|a0b65b772662e09dc5|a0b65b772662e09dc5|1550371|NZ_MTBP01000002.1:257349-288186(FWD)	22	0.21755725190839695	0.19718309859154928	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|b7c12bf1158f3b7fda|b7c12bf1158f3b7fda|4539521|NZ_BDDE01000010.1:444204-475068(FWD)_21	268	284	2.2e-05	19.7	29843	30646	c7a1b8f01c5b7c48a2|b7c12bf1158f3b7fda|b7c12bf1158f3b7fda|4539521|NZ_BDDE01000010.1:444204-475068(FWD)	21	0.4664179104477612	0.4295774647887324	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|ebc89f643473c4af47|592562b5603c7a1dcc|881741|NZ_FOVH01000001.1:883397-914249(REV)_22	253	284	7.5e-07	24.5	29085	29843	c7a1b8f01c5b7c48a2|ebc89f643473c4af47|592562b5603c7a1dcc|881741|NZ_FOVH01000001.1:883397-914249(REV)	22	0.5770750988142292	0.5211267605633803	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|ebc89f643473c4af47|592562b5603c7a1dcc|881741|NZ_FOVH01000001.1:883397-914249(REV)_23	264	284	1e-05	20.8	29833	30624	c7a1b8f01c5b7c48a2|ebc89f643473c4af47|592562b5603c7a1dcc|881741|NZ_FOVH01000001.1:883397-914249(REV)	23	0.2689393939393939	0.25	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|f08628a136448a2f56|f08628a136448a2f56|7200081|NZ_CP053892.1:9270861-9301764(REV)_23	292	284	0.00012	17.3	29730	30605	c7a1b8f01c5b7c48a2|f08628a136448a2f56|f08628a136448a2f56|7200081|NZ_CP053892.1:9270861-9301764(REV)	23	0.4178082191780822	0.41901408450704225	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|ff0b300c80371d1846|ff0b300c80371d1846|637441|NZ_BCQS01000005.1:72068-102899(FWD)_20	258	284	2.1e-06	23.0	28870	29643	c7a1b8f01c5b7c48a2|ff0b300c80371d1846|ff0b300c80371d1846|637441|NZ_BCQS01000005.1:72068-102899(FWD)	20	0.5658914728682171	0.5211267605633803	-1
AbiEii_0_CAS-III	c7a1b8f01c5b7c48a2|ff0b300c80371d1846|ff0b300c80371d1846|637441|NZ_BCQS01000005.1:72068-102899(FWD)_21	264	284	5.7e-06	21.6	29633	30424	c7a1b8f01c5b7c48a2|ff0b300c80371d1846|ff0b300c80371d1846|637441|NZ_BCQS01000005.1:72068-102899(FWD)	21	0.23484848484848486	0.2147887323943662	-1
AbiEii_1_CAS-III-A	c7a1b8f01c5b7c48a2|00b9e8816e8c7ec754|00b9e8816e8c7ec754|5197381|NZ_WEGH01000001.1:294827-325625(FWD)_23	262	335	0.0015	13.2	29161	29946	c7a1b8f01c5b7c48a2|00b9e8816e8c7ec754|00b9e8816e8c7ec754|5197381|NZ_WEGH01000001.1:294827-325625(FWD)	23	0.32061068702290074	0.2537313432835821	-1
