Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
2OG_1_CAS-I-II-III-IV-V-VI	031933be88d0f6dd71|031933be88d0f6dd71|03d848240f8267316e|2337451|NZ_SJJZ01000001.1:704191-729706(REV)_23	255	94	2.7e-06	22.7	22103	22867	031933be88d0f6dd71|031933be88d0f6dd71|03d848240f8267316e|2337451|NZ_SJJZ01000001.1:704191-729706(REV)	23	0.5098039215686274	0.9361702127659575	1
2OG_1_CAS-I-II-III-IV-V-VI	031933be88d0f6dd71|151a8c2bbb8092e7e9|151a8c2bbb8092e7e9|6463241|NZ_JAASRO010000001.1:2643671-2669189(FWD)_20	252	94	2.9e-06	22.6	21822	22577	031933be88d0f6dd71|151a8c2bbb8092e7e9|151a8c2bbb8092e7e9|6463241|NZ_JAASRO010000001.1:2643671-2669189(FWD)	20	0.5158730158730159	0.9361702127659575	1
2OG_1_CAS-I-II-III-IV-V-VI	031933be88d0f6dd71|8129c5c2d883bba1a3|8129c5c2d883bba1a3|7887721|NZ_JACHNF010000001.1:7090030-7115569(FWD)_20	248	94	2.1e-06	23.1	22093	22836	031933be88d0f6dd71|8129c5c2d883bba1a3|8129c5c2d883bba1a3|7887721|NZ_JACHNF010000001.1:7090030-7115569(FWD)	20	0.4637096774193548	0.9361702127659575	1
2OG_1_CAS-I-II-III-IV-V-VI	031933be88d0f6dd71|8ca21b18e42f58f43b|8ca21b18e42f58f43b|7148791|NZ_JABJRC010000008.1:198699-224232(REV)_23	207	94	0.00027	16.3	24913	25533	031933be88d0f6dd71|8ca21b18e42f58f43b|8ca21b18e42f58f43b|7148791|NZ_JABJRC010000008.1:198699-224232(REV)	23	0.5458937198067633	0.7127659574468085	1
2OG_1_CAS-I-II-III-IV-V-VI	031933be88d0f6dd71|93000a4f8387b3ae5f|93000a4f8387b3ae5f|2345281|NZ_SMKR01000015.1:14589-40116(FWD)_22	251	94	8e-06	21.2	22919	23671	031933be88d0f6dd71|93000a4f8387b3ae5f|93000a4f8387b3ae5f|2345281|NZ_SMKR01000015.1:14589-40116(FWD)	22	0.5059760956175299	0.9361702127659575	1
2OG_1_CAS-I-II-III-IV-V-VI	031933be88d0f6dd71|f0e1a244f8b2e40bef|f0e1a244f8b2e40bef|2345581|NZ_SMKX01000102.1:9512-32281(REV)_23	181	94	0.00075	14.9	22226	22768	031933be88d0f6dd71|f0e1a244f8b2e40bef|f0e1a244f8b2e40bef|2345581|NZ_SMKX01000102.1:9512-32281(REV)	23	0.27624309392265195	0.5	1
AbiEii_0_CAS-III	031933be88d0f6dd71|031933be88d0f6dd71|031933be88d0f6dd71|2337491|NZ_SJKA01000004.1:497699-523241(REV)_19	527	284	0.00018	15.8	19212	20792	031933be88d0f6dd71|031933be88d0f6dd71|031933be88d0f6dd71|2337491|NZ_SJKA01000004.1:497699-523241(REV)	19	0.24857685009487665	0.28169014084507044	1
AbiEii_0_CAS-III	031933be88d0f6dd71|031933be88d0f6dd71|03d848240f8267316e|2337451|NZ_SJJZ01000001.1:704191-729706(REV)_21	511	284	0.0011	13.3	19494	21026	031933be88d0f6dd71|031933be88d0f6dd71|03d848240f8267316e|2337451|NZ_SJJZ01000001.1:704191-729706(REV)	21	0.24853228962818003	0.2746478873239437	1
AbiEii_0_CAS-III	031933be88d0f6dd71|031933be88d0f6dd71|1847a4e5e458157bfc|2281341|NZ_SGXJ01000002.1:683837-709328(REV)_20	512	284	4.7e-05	17.7	19272	20807	031933be88d0f6dd71|031933be88d0f6dd71|1847a4e5e458157bfc|2281341|NZ_SGXJ01000002.1:683837-709328(REV)	20	0.25	0.28169014084507044	1
AbiEii_0_CAS-III	031933be88d0f6dd71|151a8c2bbb8092e7e9|151a8c2bbb8092e7e9|6463241|NZ_JAASRO010000001.1:2643671-2669189(FWD)_18	514	284	0.00057	14.1	19230	20771	031933be88d0f6dd71|151a8c2bbb8092e7e9|151a8c2bbb8092e7e9|6463241|NZ_JAASRO010000001.1:2643671-2669189(FWD)	18	0.24319066147859922	0.2605633802816901	1
AbiEii_0_CAS-III	031933be88d0f6dd71|2afb1f9b5a124d34dd|2afb1f9b5a124d34dd|2353981|NZ_SODU01000003.1:716728-742243(REV)_22	516	284	0.00017	15.9	21350	22897	031933be88d0f6dd71|2afb1f9b5a124d34dd|2afb1f9b5a124d34dd|2353981|NZ_SODU01000003.1:716728-742243(REV)	22	0.26744186046511625	0.31690140845070425	1
AbiEii_0_CAS-III	031933be88d0f6dd71|38be5d5bf8e0999816|38be5d5bf8e0999816|2281461|NZ_SHKR01000011.1:717466-742999(REV)_18	507	284	8.3e-05	16.9	19243	20763	031933be88d0f6dd71|38be5d5bf8e0999816|38be5d5bf8e0999816|2281461|NZ_SHKR01000011.1:717466-742999(REV)	18	0.2465483234714004	0.25704225352112675	1
AbiEii_0_CAS-III	031933be88d0f6dd71|38be5d5bf8e0999816|dbf17d3bf7f58cecf1|2796381|NZ_SZPZ01000006.1:534986-560519(FWD)_20	507	284	0.0011	13.2	19223	20743	031933be88d0f6dd71|38be5d5bf8e0999816|dbf17d3bf7f58cecf1|2796381|NZ_SZPZ01000006.1:534986-560519(FWD)	20	0.2445759368836292	0.25704225352112675	1
