recid,phash,qhash
GUT_GENOME138446_23,caa7982c1f45def117e0,a6ba94e5b1d132c577e6
GUT_GENOME138446_23,caa7982c1f45def117e0,35d68dd560269768f558
GUT_GENOME138446_23,caa7982c1f45def117e0,f59bc2ea2bedc28f913f
GUT_GENOME138446_23,caa7982c1f45def117e0,06a8b2a24bc7ab246f58
GUT_GENOME138446_23,caa7982c1f45def117e0,de5f7960f30e6f0256de
GUT_GENOME138446_23,caa7982c1f45def117e0,6b7bdfb4e1ca23279637
GUT_GENOME138446_39,1e609210dd40557cd50d,ab4ecf4beafb91ff88f1
GUT_GENOME138446_39,1e609210dd40557cd50d,54807f18336e0ab8ea79
GUT_GENOME138446_39,1e609210dd40557cd50d,fffa40592f4c30f03cca
GUT_GENOME138446_39,1e609210dd40557cd50d,f6c1e3baada37f12cef3
GUT_GENOME138446_39,1e609210dd40557cd50d,d756a3ac48d7882ab379
GUT_GENOME138446_39,1e609210dd40557cd50d,4c1413ced3ec6b8899d1
