recid,hash,chash,start,end
AAMHQY010000001.1,d33063da6f6a3448359a,2011abf38cf3c2a19d76,92,547
AAMHQY010000001.1,85fca6b1597ed0a316d6,2011abf38cf3c2a19d76,586,867
AAMHQY010000001.1,2dd6d3e113687ba6a5ef,2011abf38cf3c2a19d76,1048,1173
AAMHQY010000001.1,0c10514bcce4fd56db7c,2011abf38cf3c2a19d76,1964,3055
AAMHQY010000001.1,00656498a6b609ca797c,2011abf38cf3c2a19d76,3172,3756
AAMHQY010000001.1,57aeb014e2892f481492,2011abf38cf3c2a19d76,4032,4310
AAMHQY010000001.1,52644783cbc3c5a60cba,2011abf38cf3c2a19d76,4355,6013
AAMHQY010000001.1,50bbdbacc6340cc33435,2011abf38cf3c2a19d76,6165,7112
AAMHQY010000001.1,3f5d56ad25a563d7ccad,2011abf38cf3c2a19d76,7378,8229
AAMHQY010000001.1,e879c8b914ca014923c8,2011abf38cf3c2a19d76,8226,8849
AAMHQY010000001.1,61f19dfa6f7d9547a148,2011abf38cf3c2a19d76,9163,10419
AAMHQY010000001.1,b5349fbac1ef9d605c8c,2011abf38cf3c2a19d76,10460,11542
AAMHQY010000001.1,a220dbf2aa773d057f8a,2011abf38cf3c2a19d76,11542,12375
AAMHQY010000001.1,406796af38b9740ca460,2011abf38cf3c2a19d76,12372,12761
AAMHQY010000001.1,83fe158cb5fe20429d4a,2011abf38cf3c2a19d76,12765,13574
AAMHQY010000001.1,75b4fb0b37619c43d651,2011abf38cf3c2a19d76,13612,14466
AAMHQY010000001.1,daf9be815fe7d2303fe7,2011abf38cf3c2a19d76,14520,15620
AAMHQY010000001.1,f784050e6948768fa825,2011abf38cf3c2a19d76,15887,16117
AAMHQY010000001.1,c7a807c1bc8812f1a16c,2011abf38cf3c2a19d76,16197,16550
AAMHQY010000001.1,d8254f19163b17d16547,2011abf38cf3c2a19d76,16727,18151
AAMHQY010000001.1,ce1b1c20835d795e3a12,2011abf38cf3c2a19d76,18152,18802
AAMHQY010000001.1,b82d61298154617d93b0,2011abf38cf3c2a19d76,18795,20591
AAMHQY010000001.1,eba4c7bde43c017e9ee1,2011abf38cf3c2a19d76,20932,22329
AAMHQY010000001.1,5748074bec4b8bf8e43d,2011abf38cf3c2a19d76,22715,26458
AAMHQY010000001.1,42b2a90b4b0ca7cd4b07,2011abf38cf3c2a19d76,26455,27990
AAMHQY010000001.1,aa4f4b4ade6e6262de1f,2011abf38cf3c2a19d76,27987,28697
AAMHQY010000001.1,38e9ac00f67959f2d7ba,2011abf38cf3c2a19d76,28697,29374
AAMHQY010000001.1,b7e9f95599aa2e836553,2011abf38cf3c2a19d76,29616,31145
AAMHQY010000001.1,7275e037bb4a06841812,2011abf38cf3c2a19d76,31211,31537
AAMHQY010000001.1,555a2d4511854e70a844,2011abf38cf3c2a19d76,32149,32991
AAMHQY010000001.1,8084fbf1c378bb0be30c,2011abf38cf3c2a19d76,33042,33500
AAMHQY010000001.1,80a34e56bfb4a72adc94,2011abf38cf3c2a19d76,33620,34516
AAMHQY010000001.1,1c0cb761ac6e23485b51,2011abf38cf3c2a19d76,34607,35620
AAMHQY010000001.1,7b8bf1788f85f1b2cfe7,2011abf38cf3c2a19d76,35823,36731
AAMHQY010000001.1,aa1557392cf055434112,2011abf38cf3c2a19d76,36862,37275
AAMHQY010000001.1,e77ef25ce2bacded4e46,2011abf38cf3c2a19d76,37938,38555
AAMHQY010000001.1,dc4baf16dca04965841e,2011abf38cf3c2a19d76,38752,41430
AAMHQY010000001.1,0c8a4064b470e9e12f9e,2011abf38cf3c2a19d76,41907,42554
AAMHQY010000001.1,a24fc6b6385dacdae00b,2011abf38cf3c2a19d76,43318,44949
AAMHQY010000001.1,909e953034169959d8f4,2011abf38cf3c2a19d76,45071,45991
AAMHQY010000001.1,00fc87d310c37e3e794b,2011abf38cf3c2a19d76,46006,46914
AAMHQY010000001.1,f0ab543c9f56fc268423,2011abf38cf3c2a19d76,46926,47933
AAMHQY010000001.1,7258235d151f68c06bce,2011abf38cf3c2a19d76,47930,48934
AAMHQY010000001.1,d2fcfa99c10543afcb2a,2011abf38cf3c2a19d76,48982,49818
AAMHQY010000001.1,f7d9558c35e29bcb6e5b,2011abf38cf3c2a19d76,49866,50195
AAMHQY010000001.1,fc0ec4cf9da57c22bbb1,2011abf38cf3c2a19d76,50229,51689
AAMHQY010000001.1,c1ee402aad7584140c98,2011abf38cf3c2a19d76,51832,52005
AAMHQY010000001.1,5b461d976d091e28a5c8,2011abf38cf3c2a19d76,52049,52345
AAMHQY010000001.1,bb632ac6d5e91e6234ac,2011abf38cf3c2a19d76,52569,53297
AAMHQY010000001.1,cc9183f9502f62f81048,2011abf38cf3c2a19d76,53356,53757
AAMHQY010000001.1,5383501f616d7156b20b,2011abf38cf3c2a19d76,53918,54457
AAMHQY010000001.1,2a6445c1d40c807d160d,2011abf38cf3c2a19d76,54514,55257
AAMHQY010000001.1,040a37d1726eb76cb9f5,2011abf38cf3c2a19d76,55283,55687
AAMHQY010000001.1,576e4c24ad15033b0cd4,2011abf38cf3c2a19d76,56025,56663
AAMHQY010000001.1,9d76818894fb66fc6225,2011abf38cf3c2a19d76,56745,57623
AAMHQY010000001.1,470b2e9a48df5066e6a2,2011abf38cf3c2a19d76,57643,58149
AAMHQY010000001.1,41e4f307728372acece8,2011abf38cf3c2a19d76,58223,58726
AAMHQY010000001.1,f6db589085477e6751b2,2011abf38cf3c2a19d76,58816,58998
AAMHQY010000001.1,cf58d575e0748e05deb1,2011abf38cf3c2a19d76,59478,60284
AAMHQY010000001.1,8ec7a0cdb78481d3d9ee,2011abf38cf3c2a19d76,60284,61477
AAMHQY010000001.1,f5bb82b8a1ef46eb7986,2011abf38cf3c2a19d76,61487,62845
AAMHQY010000001.1,9b3ee41e5acd4a5b907c,2011abf38cf3c2a19d76,62849,64444
AAMHQY010000001.1,fc1bc91673a67272d932,2011abf38cf3c2a19d76,64444,66006
AAMHQY010000001.1,33bb9c96933685525c8c,2011abf38cf3c2a19d76,66279,67148
AAMHQY010000001.1,02f7662a257c8ab6ce78,2011abf38cf3c2a19d76,67156,67776
