Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
0b921ace501a0fe980|b0c0ffca159ac44886|b0c0ffca159ac44886|2896961|NZ_SGUC01000003.1:0-19801(REV)	0b921ace501a0fe980|b0c0ffca159ac44886|b0c0ffca159ac44886|2896961|NZ_SGUC01000003.1:0-19801(REV)@1	14499	14888	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[14]	['6.90e-03']	[0.623]	[0.703]	NA	NA
0b921ace501a0fe980|56a2455dfe752f3de4|56a2455dfe752f3de4|341801|NZ_CP008874.1:972144-997287(FWD)	0b921ace501a0fe980|56a2455dfe752f3de4|56a2455dfe752f3de4|341801|NZ_CP008874.1:972144-997287(FWD)@1	14698	18744	False	25%	NA	V-K	1.0	['Csa3_1_CAS-I-II-III-IV-V-VI', 'TnsC_0_V-K']	[14, 18]	['1.70e-04', '6.00e-07']	[0.375, 0.513]	[0.466, 0.481]	-1	NA
0b921ace501a0fe980|bfb63bcf84e163b783|bfb63bcf84e163b783|2027161|NZ_RCDI01000001.1:676774-701917(FWD)	0b921ace501a0fe980|bfb63bcf84e163b783|bfb63bcf84e163b783|2027161|NZ_RCDI01000001.1:676774-701917(FWD)@1	1057	1554	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[2]	['1.70e-12']	[0.512]	[0.712]	NA	NA
0b921ace501a0fe980|0b921ace501a0fe980|0b921ace501a0fe980|58561|NZ_KE356561.1:3541866-3567012(REV)	0b921ace501a0fe980|0b921ace501a0fe980|0b921ace501a0fe980|58561|NZ_KE356561.1:3541866-3567012(REV)@1	20378	21232	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[25]	['1.50e-04']	[0.379]	[0.72]	NA	NA
0b921ace501a0fe980|312ead9921799ff865|312ead9921799ff865|537408|NZ_AOLQ01000002.1:23981-49124(FWD)	0b921ace501a0fe980|312ead9921799ff865|312ead9921799ff865|537408|NZ_AOLQ01000002.1:23981-49124(FWD)@1	8170	8835	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[6]	['1.40e-25']	[0.928]	[0.945]	NA	NA
0b921ace501a0fe980|cda39b290e2d841472|0af3852455497f3546|537128|NZ_AOJO01000003.1:45379-70522(FWD)	0b921ace501a0fe980|cda39b290e2d841472|0af3852455497f3546|537128|NZ_AOJO01000003.1:45379-70522(FWD)@1	19246	20172	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[25]	['2.40e-12']	[0.437]	[0.326]	NA	NA
0b921ace501a0fe980|312ead9921799ff865|312ead9921799ff865|537408|NZ_AOLQ01000002.1:23981-49124(FWD)	0b921ace501a0fe980|312ead9921799ff865|312ead9921799ff865|537408|NZ_AOLQ01000002.1:23981-49124(FWD)@2	19880	20293	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[19]	['2.00e-04']	[0.377]	[0.398]	NA	NA
0b921ace501a0fe980|cda39b290e2d841472|3f64e8e5b82ca94e7e|7294801|NZ_CP054590.1:2555-27698(FWD)	0b921ace501a0fe980|cda39b290e2d841472|3f64e8e5b82ca94e7e|7294801|NZ_CP054590.1:2555-27698(FWD)@2	20821	21546	False	0%	0%	I-A	0.0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[24]	['1.90e-06']	[0.541]	[0.756]	NA	NA
0b921ace501a0fe980|2b99333199c01f8ba6|2b99333199c01f8ba6|536568|NZ_AOID01000060.1:41449-66592(REV)	0b921ace501a0fe980|2b99333199c01f8ba6|2b99333199c01f8ba6|536568|NZ_AOID01000060.1:41449-66592(REV)@1	17316	17657	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[23]	['1.80e-04']	[0.491]	[0.407]	NA	NA
0b921ace501a0fe980|312ead9921799ff865|c9ff9bafc2af86d14f|868221|NZ_FNPC01000006.1:157009-182152(FWD)	0b921ace501a0fe980|312ead9921799ff865|c9ff9bafc2af86d14f|868221|NZ_FNPC01000006.1:157009-182152(FWD)@1	21111	21947	False	0%	NA	III-B	1.0	['htpX_0_CAS-III-B']	[23]	['3.50e-19']	[0.627]	[0.513]	NA	NA
