recid,phash,qhash
GUT_GENOME084945_21,65ac825101dd4045db96,7935e14d87a255970465
GUT_GENOME084945_21,64ca329d0b6fd0c20a2d,65ac825101dd4045db96
GUT_GENOME084945_3,d42347526d02f2057df7,3f5c4c85486f8903d62e
GUT_GENOME084945_45,77a007af5f0ed4ac5a68,bf331d89788a4df3fe0c
GUT_GENOME084945_45,0ab03a5656ba3648bf04,77a007af5f0ed4ac5a68
GUT_GENOME084945_51,05c6a067042f723ce8a0,bf3360d614956f38fd8b
GUT_GENOME084945_51,e2d1fb8409794364206a,05c6a067042f723ce8a0
GUT_GENOME084945_79,a7d81c880fffa1908949,82b1cd430123d62d5641
GUT_GENOME084945_79,7e4da461fa2d3faf4376,a7d81c880fffa1908949
GUT_GENOME084945_82,b12b6729d789e56481cc,f69a93d9b754f84017be
