Contig	Start	End	Strand	Pos
32de67ee40e11f3f2f|7e11ce0fa6490895c9|2103d68f3ac8ea214a|7184451|NZ_SRRZ01000003.1:85610-106045(REV)	317	1759	-1	1
32de67ee40e11f3f2f|7e11ce0fa6490895c9|2103d68f3ac8ea214a|7184451|NZ_SRRZ01000003.1:85610-106045(REV)	2004	4217	-1	2
32de67ee40e11f3f2f|7e11ce0fa6490895c9|2103d68f3ac8ea214a|7184451|NZ_SRRZ01000003.1:85610-106045(REV)	4997	5710	-1	3
32de67ee40e11f3f2f|7e11ce0fa6490895c9|2103d68f3ac8ea214a|7184451|NZ_SRRZ01000003.1:85610-106045(REV)	5832	6491	1	4
32de67ee40e11f3f2f|7e11ce0fa6490895c9|2103d68f3ac8ea214a|7184451|NZ_SRRZ01000003.1:85610-106045(REV)	6650	7936	1	5
32de67ee40e11f3f2f|7e11ce0fa6490895c9|2103d68f3ac8ea214a|7184451|NZ_SRRZ01000003.1:85610-106045(REV)	8066	8458	-1	6
32de67ee40e11f3f2f|7e11ce0fa6490895c9|2103d68f3ac8ea214a|7184451|NZ_SRRZ01000003.1:85610-106045(REV)	8731	8928	1	7
32de67ee40e11f3f2f|7e11ce0fa6490895c9|2103d68f3ac8ea214a|7184451|NZ_SRRZ01000003.1:85610-106045(REV)	9174	9422	-1	8
32de67ee40e11f3f2f|7e11ce0fa6490895c9|2103d68f3ac8ea214a|7184451|NZ_SRRZ01000003.1:85610-106045(REV)	9585	9929	-1	9
32de67ee40e11f3f2f|7e11ce0fa6490895c9|2103d68f3ac8ea214a|7184451|NZ_SRRZ01000003.1:85610-106045(REV)	10249	11739	1	10
32de67ee40e11f3f2f|7e11ce0fa6490895c9|2103d68f3ac8ea214a|7184451|NZ_SRRZ01000003.1:85610-106045(REV)	12194	13738	-1	11
32de67ee40e11f3f2f|7e11ce0fa6490895c9|2103d68f3ac8ea214a|7184451|NZ_SRRZ01000003.1:85610-106045(REV)	13738	19665	-1	12
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	1	1626	-1	1
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	1974	2234	-1	2
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	2537	2977	1	3
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	3004	4263	1	4
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	4314	4787	1	5
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	5106	6224	1	6
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	6224	9199	1	7
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	10059	10772	-1	8
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	10894	11553	1	9
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	11670	12026	-1	10
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	12500	13786	1	11
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	13773	14246	1	12
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	14380	14577	1	13
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	14625	14969	-1	14
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	15353	16816	1	15
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	17204	17914	-1	16
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	18458	19450	-1	17
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	19741	20370	-1	18
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	20513	21181	-1	19
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	21540	22376	-1	20
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	22732	23580	1	21
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	24076	24813	-1	22
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	24847	26007	-1	23
32de67ee40e11f3f2f|32de67ee40e11f3f2f|1e024e5bf6d07def1f|7248551|JAAFKD010000004.1:13447-39733(FWD)	26004	26285	-1	24
32de67ee40e11f3f2f|47af8db9e0957dde43|47af8db9e0957dde43|6600451|JAAUPI010000139.1:0-14987(FWD)	396	1244	1	1
32de67ee40e11f3f2f|47af8db9e0957dde43|47af8db9e0957dde43|6600451|JAAUPI010000139.1:0-14987(FWD)	1397	2158	-1	2
32de67ee40e11f3f2f|47af8db9e0957dde43|47af8db9e0957dde43|6600451|JAAUPI010000139.1:0-14987(FWD)	2366	3040	1	3
32de67ee40e11f3f2f|47af8db9e0957dde43|47af8db9e0957dde43|6600451|JAAUPI010000139.1:0-14987(FWD)	3103	4299	1	4
32de67ee40e11f3f2f|47af8db9e0957dde43|47af8db9e0957dde43|6600451|JAAUPI010000139.1:0-14987(FWD)	4393	4956	-1	5
32de67ee40e11f3f2f|47af8db9e0957dde43|47af8db9e0957dde43|6600451|JAAUPI010000139.1:0-14987(FWD)	5204	6724	-1	6
32de67ee40e11f3f2f|47af8db9e0957dde43|47af8db9e0957dde43|6600451|JAAUPI010000139.1:0-14987(FWD)	7142	9010	1	7
32de67ee40e11f3f2f|47af8db9e0957dde43|47af8db9e0957dde43|6600451|JAAUPI010000139.1:0-14987(FWD)	9266	10552	1	8
32de67ee40e11f3f2f|47af8db9e0957dde43|47af8db9e0957dde43|6600451|JAAUPI010000139.1:0-14987(FWD)	10645	11877	1	9
32de67ee40e11f3f2f|47af8db9e0957dde43|47af8db9e0957dde43|6600451|JAAUPI010000139.1:0-14987(FWD)	12033	12230	1	10
32de67ee40e11f3f2f|47af8db9e0957dde43|47af8db9e0957dde43|6600451|JAAUPI010000139.1:0-14987(FWD)	12420	12764	-1	11
32de67ee40e11f3f2f|47af8db9e0957dde43|47af8db9e0957dde43|6600451|JAAUPI010000139.1:0-14987(FWD)	13068	14558	1	12
32de67ee40e11f3f2f|47af8db9e0957dde43|47af8db9e0957dde43|6600451|JAAUPI010000139.1:0-14987(FWD)	14847	14987	-1	13
32de67ee40e11f3f2f|241e7d013e05bff56e|241e7d013e05bff56e|2316551|RDYN01000121.1:0-23469(REV)	708	1370	-1	1
32de67ee40e11f3f2f|241e7d013e05bff56e|241e7d013e05bff56e|2316551|RDYN01000121.1:0-23469(REV)	1405	2013	1	2
32de67ee40e11f3f2f|241e7d013e05bff56e|241e7d013e05bff56e|2316551|RDYN01000121.1:0-23469(REV)	2729	3172	1	3
32de67ee40e11f3f2f|241e7d013e05bff56e|241e7d013e05bff56e|2316551|RDYN01000121.1:0-23469(REV)	3497	4762	1	4
32de67ee40e11f3f2f|241e7d013e05bff56e|241e7d013e05bff56e|2316551|RDYN01000121.1:0-23469(REV)	4853	6889	1	5
32de67ee40e11f3f2f|241e7d013e05bff56e|241e7d013e05bff56e|2316551|RDYN01000121.1:0-23469(REV)	6889	9870	1	6
32de67ee40e11f3f2f|241e7d013e05bff56e|241e7d013e05bff56e|2316551|RDYN01000121.1:0-23469(REV)	10306	11022	-1	7
32de67ee40e11f3f2f|241e7d013e05bff56e|241e7d013e05bff56e|2316551|RDYN01000121.1:0-23469(REV)	11526	12185	1	8
32de67ee40e11f3f2f|241e7d013e05bff56e|241e7d013e05bff56e|2316551|RDYN01000121.1:0-23469(REV)	12480	13787	1	9
32de67ee40e11f3f2f|241e7d013e05bff56e|241e7d013e05bff56e|2316551|RDYN01000121.1:0-23469(REV)	14449	14793	-1	10
32de67ee40e11f3f2f|241e7d013e05bff56e|241e7d013e05bff56e|2316551|RDYN01000121.1:0-23469(REV)	15102	16505	1	11
32de67ee40e11f3f2f|241e7d013e05bff56e|241e7d013e05bff56e|2316551|RDYN01000121.1:0-23469(REV)	16679	17491	-1	12
32de67ee40e11f3f2f|241e7d013e05bff56e|241e7d013e05bff56e|2316551|RDYN01000121.1:0-23469(REV)	17701	18735	-1	13
32de67ee40e11f3f2f|241e7d013e05bff56e|241e7d013e05bff56e|2316551|RDYN01000121.1:0-23469(REV)	19001	19630	-1	14
32de67ee40e11f3f2f|241e7d013e05bff56e|241e7d013e05bff56e|2316551|RDYN01000121.1:0-23469(REV)	19929	20597	-1	15
32de67ee40e11f3f2f|241e7d013e05bff56e|241e7d013e05bff56e|2316551|RDYN01000121.1:0-23469(REV)	21023	21868	-1	16
32de67ee40e11f3f2f|241e7d013e05bff56e|241e7d013e05bff56e|2316551|RDYN01000121.1:0-23469(REV)	22369	23076	1	17
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	196	336	-1	1
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	453	2144	-1	2
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	3095	3346	-1	3
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	3349	4848	1	4
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	5148	5834	-1	5
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	5916	6560	1	6
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	6606	6824	1	7
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	6775	8100	-1	8
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	8327	10540	-1	9
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	10875	11591	-1	10
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	11723	12382	1	11
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	12500	13783	1	12
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	13904	15118	1	13
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	15272	15469	1	14
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	15495	15839	-1	15
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	15901	16611	-1	16
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	16891	17928	-1	17
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	17951	18580	-1	18
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	18625	19314	-1	19
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	19314	20066	-1	20
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	20260	21225	1	21
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	21456	22835	1	22
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	22950	23732	1	23
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	24013	24342	-1	24
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	24609	25085	-1	25
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	25246	25869	-1	26
32de67ee40e11f3f2f|7b2d4ce8c9e2329d1b|7b2d4ce8c9e2329d1b|1421681|NZ_NXIB02000006.1:3111-29394(FWD)	25873	26283	-1	27
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	3	329	1	1
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	603	1082	-1	2
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	1327	1695	-1	3
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	1682	2029	-1	4
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	2290	2532	-1	5
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	2760	4769	-1	6
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	5118	6251	-1	7
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	6504	7022	1	8
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	7354	8352	1	9
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	8431	9204	1	10
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	9432	10295	1	11
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	10441	11268	1	12
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	11454	12125	1	13
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	12500	13786	1	14
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	13864	14289	-1	15
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	14386	15600	1	16
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	15768	15968	1	17
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	16480	16893	-1	18
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	17067	17207	1	19
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	17236	18801	1	20
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	18899	19609	-1	21
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	19791	20828	-1	22
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	20849	21478	-1	23
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	21523	22191	-1	24
32de67ee40e11f3f2f|50bb0d1a9c8ea2e639|50bb0d1a9c8ea2e639|2316231|RDXH01000001.1:13097-39383(FWD)	22330	23082	-1	25
