p100,p90,p30
b014c9d05395952794,b014c9d05395952794,72f9e7e8f03534e72b
071029eede5d79c594,071029eede5d79c594,071029eede5d79c594
48bbf14e8ea5befc63,48bbf14e8ea5befc63,1f13d56a2e714fc5c8
b3c57e71acc978437a,48bbf14e8ea5befc63,1f13d56a2e714fc5c8
f18d2c9dfc7dcde505,48bbf14e8ea5befc63,1f13d56a2e714fc5c8
296dfc9453ce69ee59,48bbf14e8ea5befc63,1f13d56a2e714fc5c8
9e0472466b638a9386,48bbf14e8ea5befc63,1f13d56a2e714fc5c8
cb3c8d505cf5691e6b,48bbf14e8ea5befc63,1f13d56a2e714fc5c8
e63308c319859ef40e,48bbf14e8ea5befc63,1f13d56a2e714fc5c8
6039d6534db7bfcd46,48bbf14e8ea5befc63,1f13d56a2e714fc5c8
d232ad030eb0cc449a,48bbf14e8ea5befc63,1f13d56a2e714fc5c8
125cb3314bf58e772f,48bbf14e8ea5befc63,1f13d56a2e714fc5c8
98790fc9ea012e246a,48bbf14e8ea5befc63,1f13d56a2e714fc5c8
a1622c95562e35bad4,48bbf14e8ea5befc63,1f13d56a2e714fc5c8
003203680daaadd463,48bbf14e8ea5befc63,1f13d56a2e714fc5c8
d52ea788d8efb05889,d52ea788d8efb05889,d52ea788d8efb05889
451fdf85d407d13c62,451fdf85d407d13c62,451fdf85d407d13c62
37474a367634738366,451fdf85d407d13c62,451fdf85d407d13c62
138a3a0dad714f39b4,451fdf85d407d13c62,451fdf85d407d13c62
7bc8096ad7b6a51e0e,7bc8096ad7b6a51e0e,7bc8096ad7b6a51e0e
40f59111833ceead0e,7bc8096ad7b6a51e0e,7bc8096ad7b6a51e0e
565605fa260c290afb,565605fa260c290afb,565605fa260c290afb
e36c20fc2f9ad9a50a,e36c20fc2f9ad9a50a,e36c20fc2f9ad9a50a
a40b4d2ebfeacf0723,a40b4d2ebfeacf0723,9fd9f70ce949bfd60a
47042071668e49b704,47042071668e49b704,47042071668e49b704
a19fc75896e499ed69,a19fc75896e499ed69,a19fc75896e499ed69
6dd9e801decb792cad,6dd9e801decb792cad,6dd9e801decb792cad
8b87c7746b26f8814f,8b87c7746b26f8814f,8b87c7746b26f8814f
6e778cc9d1dd5438d6,6e778cc9d1dd5438d6,6e778cc9d1dd5438d6
7264919201f0e61aa2,7264919201f0e61aa2,7264919201f0e61aa2
fa5e4cfb3c746c30e6,fa5e4cfb3c746c30e6,fa5e4cfb3c746c30e6
