Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	7205dff302ff900300|149353d29eaa6fc570|149353d29eaa6fc570|833071|MGVE01000018.1:5630-32327(FWD)_25	48	284	0.002	12.3	26552	26695	7205dff302ff900300|149353d29eaa6fc570|149353d29eaa6fc570|833071|MGVE01000018.1:5630-32327(FWD)	25	0.6666666666666666	0.10211267605633803	1
AbiEii_0_CAS-III	7205dff302ff900300|149353d29eaa6fc570|149353d29eaa6fc570|833071|MGVE01000018.1:5630-32327(FWD)_3	653	284	0.00097	13.3	2171	4129	7205dff302ff900300|149353d29eaa6fc570|149353d29eaa6fc570|833071|MGVE01000018.1:5630-32327(FWD)	3	0.21592649310872894	0.49295774647887325	1
AbiEii_0_CAS-III	7205dff302ff900300|17d81b33487932bcde|17d81b33487932bcde|EARTH_3300005529_32|3300005529.a:Ga0070741_10000008:261017-287822(REV)_2	606	284	0.00094	13.3	1458	3275	7205dff302ff900300|17d81b33487932bcde|17d81b33487932bcde|EARTH_3300005529_32|3300005529.a:Ga0070741_10000008:261017-287822(REV)	2	0.10561056105610561	0.22183098591549297	1
AbiEii_0_CAS-III	7205dff302ff900300|7205dff302ff900300|7205dff302ff900300|9214191|JAEUHJ010000172.1:27608-54452(REV)_2	261	284	0.00084	13.5	1565	2347	7205dff302ff900300|7205dff302ff900300|7205dff302ff900300|9214191|JAEUHJ010000172.1:27608-54452(REV)	2	0.07662835249042145	0.07042253521126761	1
AbiEii_0_CAS-III	7205dff302ff900300|91e57b31ad27b8f440|91e57b31ad27b8f440|6943371|JAAYDL010000118.1:0-15340(REV)_3	417	284	0.00011	16.3	2402	3652	7205dff302ff900300|91e57b31ad27b8f440|91e57b31ad27b8f440|6943371|JAAYDL010000118.1:0-15340(REV)	3	0.08872901678657075	0.12323943661971831	-1
AbiEii_0_CAS-III	7205dff302ff900300|af2696eca2ad50ea35|af2696eca2ad50ea35|1220141|DDQZ01000046.1:95338-116726(REV)_11	262	284	0.00035	14.7	11005	11790	7205dff302ff900300|af2696eca2ad50ea35|af2696eca2ad50ea35|1220141|DDQZ01000046.1:95338-116726(REV)	11	0.29770992366412213	0.2676056338028169	1
AbiEii_0_CAS-III	7205dff302ff900300|af2696eca2ad50ea35|af2696eca2ad50ea35|1220141|DDQZ01000046.1:95338-116726(REV)_17	255	284	0.00039	14.6	17926	18690	7205dff302ff900300|af2696eca2ad50ea35|af2696eca2ad50ea35|1220141|DDQZ01000046.1:95338-116726(REV)	17	0.23529411764705882	0.2147887323943662	-1
AbiEii_1_CAS-III-A	7205dff302ff900300|c049d69fedb1076310|c049d69fedb1076310|9164511|JADJPM010000004.1:2774868-2801688(FWD)_10	1431	335	0.015	8.9	7208	11500	7205dff302ff900300|c049d69fedb1076310|c049d69fedb1076310|9164511|JADJPM010000004.1:2774868-2801688(FWD)	10	0.09294199860237597	0.33134328358208953	1
Cas12b1_0_CAS-V-B	7205dff302ff900300|149353d29eaa6fc570|149353d29eaa6fc570|833071|MGVE01000018.1:5630-32327(FWD)_10	1365	1125	1.5e-186	616.9	8409	12503	7205dff302ff900300|149353d29eaa6fc570|149353d29eaa6fc570|833071|MGVE01000018.1:5630-32327(FWD)	10	0.8241758241758241	0.9102222222222223	1
Cas12b1_0_CAS-V-B	7205dff302ff900300|17d81b33487932bcde|17d81b33487932bcde|EARTH_3300005529_32|3300005529.a:Ga0070741_10000008:261017-287822(REV)_8	1428	1125	4.1e-147	486.3	8210	12493	7205dff302ff900300|17d81b33487932bcde|17d81b33487932bcde|EARTH_3300005529_32|3300005529.a:Ga0070741_10000008:261017-287822(REV)	8	0.65406162464986	0.7786666666666666	1
Cas12b1_0_CAS-V-B	7205dff302ff900300|214a03d5ede9126482|214a03d5ede9126482|6943651|JAAYCL010000013.1:31588-46395(FWD)_9	1426	1125	4.5e-137	453.1	8200	12477	7205dff302ff900300|214a03d5ede9126482|214a03d5ede9126482|6943651|JAAYCL010000013.1:31588-46395(FWD)	9	0.6718092566619915	0.7804444444444445	1
Cas12b1_0_CAS-V-B	7205dff302ff900300|25a84f0f169dd7b3a9|25a84f0f169dd7b3a9|1290841|DLMG01000182.1:0-8044(FWD)_4	1426	1125	3.4e-141	466.7	1293	5570	7205dff302ff900300|25a84f0f169dd7b3a9|25a84f0f169dd7b3a9|1290841|DLMG01000182.1:0-8044(FWD)	4	0.7994389901823282	0.9351111111111111	1
Cas12b1_0_CAS-V-B	7205dff302ff900300|25a84f0f169dd7b3a9|48b908d6cb2b66107b|EARTH_3300025409_9|3300025409.a:Ga0208321_1000009:189792-216594(FWD)_11	1426	1125	2.8e-144	476.9	8216	12493	7205dff302ff900300|25a84f0f169dd7b3a9|48b908d6cb2b66107b|EARTH_3300025409_9|3300025409.a:Ga0208321_1000009:189792-216594(FWD)	11	0.7791023842917251	0.8995555555555556	1
Cas12b1_0_CAS-V-B	7205dff302ff900300|294bd739f9f9d09cb9|294bd739f9f9d09cb9|1724781|PLTP01000092.1:0-10578(FWD)_5	1587	1125	2e-85	282.1	3478	8238	7205dff302ff900300|294bd739f9f9d09cb9|294bd739f9f9d09cb9|1724781|PLTP01000092.1:0-10578(FWD)	5	0.43163201008191554	0.5706666666666667	1
Cas12b1_0_CAS-V-B	7205dff302ff900300|32cdfc7a35363ab3e3|32cdfc7a35363ab3e3|EARTH_3300026516_14|3300026516.a:Ga0209573_1000319:28668-55458(FWD)_8	1454	1125	1.2e-114	378.8	7523	11884	7205dff302ff900300|32cdfc7a35363ab3e3|32cdfc7a35363ab3e3|EARTH_3300026516_14|3300026516.a:Ga0209573_1000319:28668-55458(FWD)	8	0.5983493810178817	0.7182222222222222	1
Cas12b1_0_CAS-V-B	7205dff302ff900300|49171fcf208358b96f|49171fcf208358b96f|EARTH_3300018018_28|3300018018.a:Ga0187886_1002393:0-15169(REV)_3	53	1125	3.2e-10	33.0	1776	1934	7205dff302ff900300|49171fcf208358b96f|49171fcf208358b96f|EARTH_3300018018_28|3300018018.a:Ga0187886_1002393:0-15169(REV)	3	0.5849056603773585	0.027555555555555555	1
Cas12b1_0_CAS-V-B	7205dff302ff900300|49171fcf208358b96f|49171fcf208358b96f|EARTH_3300018018_28|3300018018.a:Ga0187886_1002393:0-15169(REV)_4	1426	1125	3.2e-79	261.5	1953	6230	7205dff302ff900300|49171fcf208358b96f|49171fcf208358b96f|EARTH_3300018018_28|3300018018.a:Ga0187886_1002393:0-15169(REV)	4	0.5140252454417953	0.6364444444444445	1
Cas12b1_0_CAS-V-B	7205dff302ff900300|4f0141d1c2cde98b72|4f0141d1c2cde98b72|7802151|CAIQQM010000018.1:99755-115906(FWD)_11	1416	1125	5.1e-117	386.7	8247	12494	7205dff302ff900300|4f0141d1c2cde98b72|4f0141d1c2cde98b72|7802151|CAIQQM010000018.1:99755-115906(FWD)	11	0.7005649717514124	0.7991111111111111	1
Cas12b1_0_CAS-V-B	7205dff302ff900300|5f55dcbcc5bfd16b7c|5f55dcbcc5bfd16b7c|7791131|CAIXVN010000558.1:0-2989(REV)_1	380	1125	6.099999999999999e-69	227.5	2	1141	7205dff302ff900300|5f55dcbcc5bfd16b7c|5f55dcbcc5bfd16b7c|7791131|CAIXVN010000558.1:0-2989(REV)	1	0.7947368421052632	0.23377777777777778	1
Cas12b1_0_CAS-V-B	7205dff302ff900300|709e4b7ccc72ee2af1|709e4b7ccc72ee2af1|1724861|PLTX01000084.1:0-8835(REV)_3	1585	1125	4e-87	287.7	1002	5756	7205dff302ff900300|709e4b7ccc72ee2af1|709e4b7ccc72ee2af1|1724861|PLTX01000084.1:0-8835(REV)	3	0.4037854889589905	0.5306666666666666	1
Cas12b1_0_CAS-V-B	7205dff302ff900300|7205dff302ff900300|7205dff302ff900300|9214191|JAEUHJ010000172.1:27608-54452(REV)_7	1726	1125	3.3e-94	311.1	5810	10987	7205dff302ff900300|7205dff302ff900300|7205dff302ff900300|9214191|JAEUHJ010000172.1:27608-54452(REV)	7	0.522595596755504	0.744	1
Cas12b1_0_CAS-V-B	7205dff302ff900300|898630df325b56b257|898630df325b56b257|8337981|JABTUN010000002.1:191331-218154(FWD)_7	61	1125	0.0011	11.4	7128	7310	7205dff302ff900300|898630df325b56b257|898630df325b56b257|8337981|JABTUN010000002.1:191331-218154(FWD)	7	0.3442622950819672	0.018666666666666668	1
Cas12b1_0_CAS-V-B	7205dff302ff900300|898630df325b56b257|898630df325b56b257|8337981|JABTUN010000002.1:191331-218154(FWD)_8	1605	1125	4.2e-77	254.5	7344	12158	7205dff302ff900300|898630df325b56b257|898630df325b56b257|8337981|JABTUN010000002.1:191331-218154(FWD)	8	0.4124610591900312	0.5155555555555555	1
Cas12b1_0_CAS-V-B	7205dff302ff900300|8d3774bff611cc9bb2|8d3774bff611cc9bb2|EARTH_3300005529_89|3300005529.a:Ga0070741_10030910:0-7482(REV)_2	1567	1125	2.2e-80	265.3	696	5396	7205dff302ff900300|8d3774bff611cc9bb2|8d3774bff611cc9bb2|EARTH_3300005529_89|3300005529.a:Ga0070741_10030910:0-7482(REV)	2	0.406509253350351	0.5404444444444444	1
Cas12b1_0_CAS-V-B	7205dff302ff900300|90550fdec598b3f625|90550fdec598b3f625|EARTH_3300027706_37|3300027706.a:Ga0209581_1000448:58798-85612(REV)_6	1401	1125	3e-143	473.5	8295	12497	7205dff302ff900300|90550fdec598b3f625|90550fdec598b3f625|EARTH_3300027706_37|3300027706.a:Ga0209581_1000448:58798-85612(REV)	6	0.6809421841541756	0.7928888888888889	1
