Contig	Start	End	Strand	Pos
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	1	1521	1	1
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	2279	3856	1	2
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	3859	4797	1	3
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	4849	5979	1	4
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	6143	6346	-1	5
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	6644	7366	1	6
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	7692	8474	1	7
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	8674	9306	-1	8
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	9336	10598	-1	9
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	11582	11992	-1	10
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	12164	12481	1	11
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	12501	13304	1	12
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	13306	14403	1	13
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	15792	16574	-1	14
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	16670	16936	-1	15
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	17101	17595	-1	16
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	17698	18150	-1	17
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	18565	18819	-1	18
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	19254	19352	-1	19
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	19472	20125	-1	20
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	20136	20468	-1	21
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	20590	20700	-1	22
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	20726	22027	-1	23
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	22633	22779	1	24
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	22749	24797	-1	25
aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV)	25034	25801	1	26
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	1	585	1	1
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	572	967	1	2
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	935	2923	-1	3
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	2993	3829	-1	4
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	3813	5042	-1	5
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	5738	5872	-1	6
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	6051	7322	1	7
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	7513	7926	-1	8
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	8003	10051	-1	9
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	10208	11656	-1	10
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	11810	12064	-1	11
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	12500	13270	1	12
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	13287	14369	1	13
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	14947	15741	1	14
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	15830	18406	1	15
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	18408	19088	-1	16
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	19081	20346	-1	17
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	21107	22090	-1	18
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	22092	22418	-1	19
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	22426	22635	-1	20
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	23477	23962	1	21
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	24038	24487	1	22
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	25071	25598	1	23
aa6af7e9289c3558d3|053e55efbf254f1c04|053e55efbf254f1c04|951491|NZ_CP016359.1:665257-691027(FWD)	25611	25769	1	24
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	482	1462	1	1
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	1678	1845	1	2
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	1887	2225	1	3
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	2227	2517	1	4
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	2918	3340	1	5
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	3553	3669	-1	6
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	3711	4859	1	7
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	5924	6271	-1	8
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	6404	7303	-1	9
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	7314	11507	-1	10
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	11750	11998	-1	11
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	12172	12285	1	12
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	12501	13286	1	13
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	13289	14386	1	14
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	14763	15041	1	15
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	15045	15233	1	16
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	15557	16114	-1	17
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	16437	16718	1	18
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	16929	17927	1	19
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	18102	18548	-1	20
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	18502	18606	-1	21
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	18560	19417	-1	22
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	19429	19746	-1	23
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	19867	20721	-1	24
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	20927	21301	-1	25
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	21531	21812	-1	26
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	22314	23102	1	27
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	23207	24142	1	28
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	24612	25286	1	29
aa6af7e9289c3558d3|cede6d698b9dd182f4|2cfac8e92fdc5683fc|380558|NZ_JH651379.1:395751-421536(REV)	25386	25784	-1	30
aa6af7e9289c3558d3|cede6d698b9dd182f4|cede6d698b9dd182f4|380558|NZ_JH651379.1:3864728-3890513(FWD)	3	524	1	1
aa6af7e9289c3558d3|cede6d698b9dd182f4|cede6d698b9dd182f4|380558|NZ_JH651379.1:3864728-3890513(FWD)	529	1161	1	2
aa6af7e9289c3558d3|cede6d698b9dd182f4|cede6d698b9dd182f4|380558|NZ_JH651379.1:3864728-3890513(FWD)	1276	2742	-1	3
aa6af7e9289c3558d3|cede6d698b9dd182f4|cede6d698b9dd182f4|380558|NZ_JH651379.1:3864728-3890513(FWD)	3039	4541	-1	4
aa6af7e9289c3558d3|cede6d698b9dd182f4|cede6d698b9dd182f4|380558|NZ_JH651379.1:3864728-3890513(FWD)	4669	5274	1	5
aa6af7e9289c3558d3|cede6d698b9dd182f4|cede6d698b9dd182f4|380558|NZ_JH651379.1:3864728-3890513(FWD)	5360	6553	-1	6
aa6af7e9289c3558d3|cede6d698b9dd182f4|cede6d698b9dd182f4|380558|NZ_JH651379.1:3864728-3890513(FWD)	6938	8053	-1	7
