Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
2OG_0_CAS-I-II-III-IV-V-VI	7e848117da228c93cd|89838eaf02bc2fbf36|89838eaf02bc2fbf36|EARTH_3300027786_3|3300027786.a:Ga0209812_10000110:32508-57987(REV)_4	293	205	6.9e-06	19.7	3796	4674	7e848117da228c93cd|89838eaf02bc2fbf36|89838eaf02bc2fbf36|EARTH_3300027786_3|3300027786.a:Ga0209812_10000110:32508-57987(REV)	4	0.2935153583617747	0.375609756097561	-1
2OG_0_CAS-I-II-III-IV-V-VI	7e848117da228c93cd|89838eaf02bc2fbf36|89838eaf02bc2fbf36|EARTH_3300027786_3|3300027786.a:Ga0209812_10000110:32508-57987(REV)_5	322	205	0.00011	15.7	4857	5822	7e848117da228c93cd|89838eaf02bc2fbf36|89838eaf02bc2fbf36|EARTH_3300027786_3|3300027786.a:Ga0209812_10000110:32508-57987(REV)	5	0.17701863354037267	0.23414634146341465	-1
2OG_1_CAS-I-II-III-IV-V-VI	7e848117da228c93cd|89838eaf02bc2fbf36|89838eaf02bc2fbf36|EARTH_3300027786_3|3300027786.a:Ga0209812_10000110:32508-57987(REV)_4	293	94	3e-20	67.2	3796	4674	7e848117da228c93cd|89838eaf02bc2fbf36|89838eaf02bc2fbf36|EARTH_3300027786_3|3300027786.a:Ga0209812_10000110:32508-57987(REV)	4	0.36177474402730375	0.9893617021276596	-1
2OG_1_CAS-I-II-III-IV-V-VI	7e848117da228c93cd|89838eaf02bc2fbf36|89838eaf02bc2fbf36|EARTH_3300027786_3|3300027786.a:Ga0209812_10000110:32508-57987(REV)_5	322	94	2.2e-19	64.5	4857	5822	7e848117da228c93cd|89838eaf02bc2fbf36|89838eaf02bc2fbf36|EARTH_3300027786_3|3300027786.a:Ga0209812_10000110:32508-57987(REV)	5	0.38819875776397517	0.9893617021276596	-1
AbiEii_0_CAS-III	7e848117da228c93cd|89838eaf02bc2fbf36|89838eaf02bc2fbf36|EARTH_3300027786_3|3300027786.a:Ga0209812_10000110:32508-57987(REV)_18	642	284	4.7e-06	20.7	19021	20946	7e848117da228c93cd|89838eaf02bc2fbf36|89838eaf02bc2fbf36|EARTH_3300027786_3|3300027786.a:Ga0209812_10000110:32508-57987(REV)	18	0.2102803738317757	0.3028169014084507	1
Cas12c_0_CAS-V-C	7e848117da228c93cd|48943cb01bc61fb840|48943cb01bc61fb840|8141951|NZ_JACJNY010000030.1:4751-30140(FWD)_6	379	1272	0.48	2.2	5396	6532	7e848117da228c93cd|48943cb01bc61fb840|48943cb01bc61fb840|8141951|NZ_JACJNY010000030.1:4751-30140(FWD)	6	0.10554089709762533	0.031446540880503145	1
Cas12f1_0_CAS-V-F	7e848117da228c93cd|bad4ba764660b3482e|bad4ba764660b3482e|6600171|JAAUPF010000056.1:100-25561(REV)_11	393	512	1.9e-10	34.5	8206	9384	7e848117da228c93cd|bad4ba764660b3482e|bad4ba764660b3482e|6600171|JAAUPF010000056.1:100-25561(REV)	11	0.5343511450381679	0.431640625	1
Cas12f1_1_CAS-V-F	7e848117da228c93cd|48943cb01bc61fb840|48943cb01bc61fb840|8141951|NZ_JACJNY010000030.1:4751-30140(FWD)_6	379	557	1.5e-13	44.6	5396	6532	7e848117da228c93cd|48943cb01bc61fb840|48943cb01bc61fb840|8141951|NZ_JACJNY010000030.1:4751-30140(FWD)	6	0.5435356200527705	0.40574506283662476	1
Cas12f1_1_CAS-V-F	7e848117da228c93cd|72e45114f56fcb3fda|f177e9f3c294348672|8141851|NZ_JACJNV010000108.1:33974-59363(REV)_16	374	557	2.6e-11	37.2	15540	16661	7e848117da228c93cd|72e45114f56fcb3fda|f177e9f3c294348672|8141851|NZ_JACJNV010000108.1:33974-59363(REV)	16	0.6737967914438503	0.4757630161579892	1
Cas12f1_1_CAS-V-F	7e848117da228c93cd|7e848117da228c93cd|149964b422b051a2f9|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:6377-31799(REV)_16	118	557	0.0026	10.8	15876	16229	7e848117da228c93cd|7e848117da228c93cd|149964b422b051a2f9|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:6377-31799(REV)	16	0.559322033898305	0.12208258527827648	1
