recid,crhash,chash,start,end
GUT_GENOME244208_105,3543eaf91be56450593f,d0b69edc1a42afa14d3a,5442,5553
GUT_GENOME244208_138,cd6040ac817f6ca56f8e,7c1d69fd09aaf5ba80c2,4970,5062
GUT_GENOME244208_151,ef5996e131b3fe417ac0,13d8d73886baf363fd9e,3364,3525
GUT_GENOME244208_153,e501516d95e47785aa99,4b4f340b72c83f735ef5,4385,4498
GUT_GENOME244208_158,aa13d325e90bb274157c,7d1f3aa9b53970c1d890,4185,4294
GUT_GENOME244208_177,ca6bf1c13f2ab03d06ce,e2a01eca6d5feec7075c,64,146
GUT_GENOME244208_18,1100087da401c362cef0,122cc84661195409506c,12043,12143
GUT_GENOME244208_186,a5f86df1551f35aa4a17,2edeb5f9011473ae5062,858,925
GUT_GENOME244208_19,a7935a9daf1075b81573,b0332e6de7200b1b89b9,9,183
GUT_GENOME244208_19,ec8bc3d51aef928c0eae,b0332e6de7200b1b89b9,4554,4655
GUT_GENOME244208_196,7262c995e826cea72ffb,7c4fb6ab3593d8eabe40,2660,2782
GUT_GENOME244208_21,3029f6dc41703423ae8f,3fa604086c6826d7b72d,3958,4110
GUT_GENOME244208_22,f52ce2ab4da9bf6cbdfa,3675db5f2247264b5346,61,2030
GUT_GENOME244208_50,1171d41e1ed68d8ec363,a4cf09a286368ec1e6f7,8587,8698
GUT_GENOME244208_56,4d91eaa1b7a0ca0a8c97,4cb3f83795c1fd49002a,8,1746
GUT_GENOME244208_79,41598cbb5a49ea54702b,ca8e33afbdc8ca74be80,28,121
GUT_GENOME244208_82,08a84434dfa294eabfb4,c19921aae84abb1988d3,29,142
GUT_GENOME244208_91,54b11bd74f5b4ca037f1,63788795d8f1bd39d99c,5904,6078
