Contig	Start	End	Strand	Pos
d2246f26c16fb9eec9|5f69f71fba8023f32f|5f69f71fba8023f32f|624448|NZ_ANBC01000427.1:0-15558(REV)	2	640	-1	1
d2246f26c16fb9eec9|5f69f71fba8023f32f|5f69f71fba8023f32f|624448|NZ_ANBC01000427.1:0-15558(REV)	698	1045	1	2
d2246f26c16fb9eec9|5f69f71fba8023f32f|5f69f71fba8023f32f|624448|NZ_ANBC01000427.1:0-15558(REV)	1068	2030	-1	3
d2246f26c16fb9eec9|5f69f71fba8023f32f|5f69f71fba8023f32f|624448|NZ_ANBC01000427.1:0-15558(REV)	2097	2921	-1	4
d2246f26c16fb9eec9|5f69f71fba8023f32f|5f69f71fba8023f32f|624448|NZ_ANBC01000427.1:0-15558(REV)	3012	3971	1	5
d2246f26c16fb9eec9|5f69f71fba8023f32f|5f69f71fba8023f32f|624448|NZ_ANBC01000427.1:0-15558(REV)	4002	4337	-1	6
d2246f26c16fb9eec9|5f69f71fba8023f32f|5f69f71fba8023f32f|624448|NZ_ANBC01000427.1:0-15558(REV)	4950	5555	-1	7
d2246f26c16fb9eec9|5f69f71fba8023f32f|5f69f71fba8023f32f|624448|NZ_ANBC01000427.1:0-15558(REV)	5625	6098	-1	8
d2246f26c16fb9eec9|5f69f71fba8023f32f|5f69f71fba8023f32f|624448|NZ_ANBC01000427.1:0-15558(REV)	6150	6758	1	9
d2246f26c16fb9eec9|5f69f71fba8023f32f|5f69f71fba8023f32f|624448|NZ_ANBC01000427.1:0-15558(REV)	6739	7197	-1	10
d2246f26c16fb9eec9|5f69f71fba8023f32f|5f69f71fba8023f32f|624448|NZ_ANBC01000427.1:0-15558(REV)	7312	7938	-1	11
d2246f26c16fb9eec9|5f69f71fba8023f32f|5f69f71fba8023f32f|624448|NZ_ANBC01000427.1:0-15558(REV)	7975	9021	-1	12
d2246f26c16fb9eec9|5f69f71fba8023f32f|5f69f71fba8023f32f|624448|NZ_ANBC01000427.1:0-15558(REV)	9330	10340	1	13
d2246f26c16fb9eec9|5f69f71fba8023f32f|5f69f71fba8023f32f|624448|NZ_ANBC01000427.1:0-15558(REV)	10430	11254	1	14
d2246f26c16fb9eec9|5f69f71fba8023f32f|5f69f71fba8023f32f|624448|NZ_ANBC01000427.1:0-15558(REV)	11372	11947	1	15
