Contig	Start	End	Strand	Pos
c15257c28ad9a20cdd|acf8eb1c1c0389b322|acf8eb1c1c0389b322|862901|NZ_FNJR01000008.1:128907-154485(REV)	3	2081	-1	1
c15257c28ad9a20cdd|acf8eb1c1c0389b322|acf8eb1c1c0389b322|862901|NZ_FNJR01000008.1:128907-154485(REV)	2158	7374	-1	2
c15257c28ad9a20cdd|acf8eb1c1c0389b322|acf8eb1c1c0389b322|862901|NZ_FNJR01000008.1:128907-154485(REV)	7762	8259	1	3
c15257c28ad9a20cdd|acf8eb1c1c0389b322|acf8eb1c1c0389b322|862901|NZ_FNJR01000008.1:128907-154485(REV)	8663	10627	1	4
c15257c28ad9a20cdd|acf8eb1c1c0389b322|acf8eb1c1c0389b322|862901|NZ_FNJR01000008.1:128907-154485(REV)	10776	11534	-1	5
c15257c28ad9a20cdd|acf8eb1c1c0389b322|acf8eb1c1c0389b322|862901|NZ_FNJR01000008.1:128907-154485(REV)	11685	11861	1	6
c15257c28ad9a20cdd|acf8eb1c1c0389b322|acf8eb1c1c0389b322|862901|NZ_FNJR01000008.1:128907-154485(REV)	12074	12472	1	7
c15257c28ad9a20cdd|acf8eb1c1c0389b322|acf8eb1c1c0389b322|862901|NZ_FNJR01000008.1:128907-154485(REV)	12510	13079	1	8
c15257c28ad9a20cdd|acf8eb1c1c0389b322|acf8eb1c1c0389b322|862901|NZ_FNJR01000008.1:128907-154485(REV)	13076	14455	1	9
c15257c28ad9a20cdd|acf8eb1c1c0389b322|acf8eb1c1c0389b322|862901|NZ_FNJR01000008.1:128907-154485(REV)	15452	17089	1	10
c15257c28ad9a20cdd|acf8eb1c1c0389b322|acf8eb1c1c0389b322|862901|NZ_FNJR01000008.1:128907-154485(REV)	17762	18439	-1	11
c15257c28ad9a20cdd|acf8eb1c1c0389b322|acf8eb1c1c0389b322|862901|NZ_FNJR01000008.1:128907-154485(REV)	18667	19911	-1	12
c15257c28ad9a20cdd|acf8eb1c1c0389b322|acf8eb1c1c0389b322|862901|NZ_FNJR01000008.1:128907-154485(REV)	20409	21605	1	13
c15257c28ad9a20cdd|acf8eb1c1c0389b322|acf8eb1c1c0389b322|862901|NZ_FNJR01000008.1:128907-154485(REV)	21708	22850	-1	14
c15257c28ad9a20cdd|acf8eb1c1c0389b322|acf8eb1c1c0389b322|862901|NZ_FNJR01000008.1:128907-154485(REV)	23179	24345	1	15
c15257c28ad9a20cdd|acf8eb1c1c0389b322|acf8eb1c1c0389b322|862901|NZ_FNJR01000008.1:128907-154485(REV)	24566	25576	1	16
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	3	74	-1	1
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	273	1031	1	2
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	1112	1819	-1	3
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	1924	2145	-1	4
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	2301	3155	1	5
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	3170	4123	1	6
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	4170	4664	-1	7
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	4746	5129	-1	8
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	5358	5981	-1	9
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	6110	6265	1	10
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	6310	7590	1	11
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	7732	8184	1	12
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	8186	9196	1	13
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	9277	10083	-1	14
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	10214	11431	1	15
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	11420	12130	-1	16
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	12500	13093	1	17
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	13575	14186	1	18
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	14451	14957	-1	19
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	15287	16870	1	20
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	16867	17664	1	21
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	17672	18196	-1	22
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	18248	19270	1	23
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	19489	19728	1	24
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	19780	20904	1	25
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	20892	21170	-1	26
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	21766	22626	1	27
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	22623	22865	1	28
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	23628	23858	1	29
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	24097	25020	-1	30
c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	25017	25592	-1	31
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	1	1440	1	1
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	1592	2995	1	2
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	2985	3143	-1	3
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	3130	3420	-1	4
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	3588	4091	-1	5
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	4156	5640	1	6
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	5597	6394	-1	7
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	6800	7687	1	8
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	7955	8377	-1	9
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	8860	9018	-1	10
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	9183	9731	-1	11
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	9731	11227	-1	12
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	11280	11747	-1	13
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	11799	12695	-1	14
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	13394	14599	-1	15
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	14921	15154	-1	16
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	15458	16123	-1	17
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	16541	18436	1	18
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	18488	19345	1	19
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	19550	22114	1	20
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	22132	23070	-1	21
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	23285	24040	1	22
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	24265	24822	-1	23
c15257c28ad9a20cdd|243c3b216813790239|243c3b216813790239|395238|NZ_CM001489.1:1842676-1868188(REV)	24910	25512	1	24
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	2	136	-1	1
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	145	2565	-1	2
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	2581	3249	-1	3
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	3246	3845	-1	4
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	3861	4340	-1	5
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	4337	4798	-1	6
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	4795	5373	-1	7
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	5436	8780	-1	8
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	9199	9969	1	9
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	9966	10355	1	10
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	10352	10765	-1	11
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	10798	11097	-1	12
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	11106	11411	-1	13
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	11700	12299	-1	14
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	12500	13084	1	15
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	13077	14537	1	16
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	14808	15116	-1	17
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	15140	15493	-1	18
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	15490	15906	-1	19
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	15899	16249	-1	20
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	16249	16485	-1	21
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	16537	16788	1	22
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	16751	16942	-1	23
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	17282	17641	1	24
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	17680	18507	1	25
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	18902	19315	-1	26
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	19661	20602	-1	27
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	20786	21709	-1	28
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	21713	22096	-1	29
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	22093	22494	-1	30
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	22491	22742	-1	31
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	22971	23201	1	32
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	23173	23439	1	33
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	24434	24760	-1	34
