Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	729ad68f76fcc9ad44|1cffae066d711fc90f|1cffae066d711fc90f|2317061|REAP01000166.1:0-15282(FWD)_1	284	284	0.0012	13.3	351	1202	729ad68f76fcc9ad44|1cffae066d711fc90f|1cffae066d711fc90f|2317061|REAP01000166.1:0-15282(FWD)	1	0.24647887323943662	0.24647887323943662	-1
AbiEii_0_CAS-III	729ad68f76fcc9ad44|4eb54df82a07a71952|4eb54df82a07a71952|777491|MBRE01000043.1:13067-39725(REV)_23	246	284	0.00045	14.7	23704	24441	729ad68f76fcc9ad44|4eb54df82a07a71952|4eb54df82a07a71952|777491|MBRE01000043.1:13067-39725(REV)	23	0.32113821138211385	0.2746478873239437	1
AbiEii_0_CAS-III	729ad68f76fcc9ad44|729ad68f76fcc9ad44|729ad68f76fcc9ad44|5501391|NZ_WVIC01000016.1:1090-27661(REV)_3	263	284	1.1e-05	20.0	2067	2855	729ad68f76fcc9ad44|729ad68f76fcc9ad44|729ad68f76fcc9ad44|5501391|NZ_WVIC01000016.1:1090-27661(REV)	3	0.7300380228136882	0.6901408450704225	-1
AbiEii_1_CAS-III-A	729ad68f76fcc9ad44|1cffae066d711fc90f|1cffae066d711fc90f|2317061|REAP01000166.1:0-15282(FWD)_1	284	335	0.00051	14.1	351	1202	729ad68f76fcc9ad44|1cffae066d711fc90f|1cffae066d711fc90f|2317061|REAP01000166.1:0-15282(FWD)	1	0.29577464788732394	0.25671641791044775	-1
Cas12f1_0_CAS-V-F	729ad68f76fcc9ad44|1a6a0885e25353b7d8|1a6a0885e25353b7d8|7248571|JAAFKG010000062.1:24453-46066(FWD)_7	396	512	0.00018	15.3	9411	10598	729ad68f76fcc9ad44|1a6a0885e25353b7d8|1a6a0885e25353b7d8|7248571|JAAFKG010000062.1:24453-46066(FWD)	7	0.51010101010101	0.431640625	1
Cas12f1_0_CAS-V-F	729ad68f76fcc9ad44|98b33f99242370b60e|98b33f99242370b60e|8405421|NZ_JADEWV010000129.1:1881-18009(REV)_8	439	512	1.1e-08	29.2	9113	10429	729ad68f76fcc9ad44|98b33f99242370b60e|98b33f99242370b60e|8405421|NZ_JADEWV010000129.1:1881-18009(REV)	8	0.5375854214123007	0.42578125	1
Cas12f1_0_CAS-V-F	729ad68f76fcc9ad44|c2620f40446a26b107|c2620f40446a26b107|5850181|JAAHGF010000009.1:167531-193662(REV)_1	174	512	4.5e-05	17.2	214	735	729ad68f76fcc9ad44|c2620f40446a26b107|c2620f40446a26b107|5850181|JAAHGF010000009.1:167531-193662(REV)	1	0.3850574712643678	0.140625	1
Cas12f1_1_CAS-V-F	729ad68f76fcc9ad44|1a6a0885e25353b7d8|1a6a0885e25353b7d8|7248571|JAAFKG010000062.1:24453-46066(FWD)_13	479	557	3.7e-06	20.6	16862	18298	729ad68f76fcc9ad44|1a6a0885e25353b7d8|1a6a0885e25353b7d8|7248571|JAAFKG010000062.1:24453-46066(FWD)	13	0.20250521920668058	0.19748653500897667	1
Cas12f1_1_CAS-V-F	729ad68f76fcc9ad44|1a6a0885e25353b7d8|1a6a0885e25353b7d8|7248571|JAAFKG010000062.1:24453-46066(FWD)_7	396	557	2.8e-11	37.5	9411	10598	729ad68f76fcc9ad44|1a6a0885e25353b7d8|1a6a0885e25353b7d8|7248571|JAAFKG010000062.1:24453-46066(FWD)	7	0.4797979797979798	0.3734290843806104	1
Cas12f1_1_CAS-V-F	729ad68f76fcc9ad44|1cffae066d711fc90f|1cffae066d711fc90f|2317061|REAP01000166.1:0-15282(FWD)_12	349	557	1.7e-15	51.5	14236	15282	729ad68f76fcc9ad44|1cffae066d711fc90f|1cffae066d711fc90f|2317061|REAP01000166.1:0-15282(FWD)	12	0.6160458452722063	0.42010771992818674	1
Cas12f1_1_CAS-V-F	729ad68f76fcc9ad44|52b3e6cd47c7806608|52b3e6cd47c7806608|7248551|JAAFKD010000022.1:88668-111616(REV)_3	396	557	3.5e-12	40.5	5317	6504	729ad68f76fcc9ad44|52b3e6cd47c7806608|52b3e6cd47c7806608|7248551|JAAFKD010000022.1:88668-111616(REV)	3	0.5151515151515151	0.4021543985637343	1
Cas12f1_1_CAS-V-F	729ad68f76fcc9ad44|98b33f99242370b60e|98b33f99242370b60e|8405421|NZ_JADEWV010000129.1:1881-18009(REV)_8	439	557	5.7e-26	86.0	9113	10429	729ad68f76fcc9ad44|98b33f99242370b60e|98b33f99242370b60e|8405421|NZ_JADEWV010000129.1:1881-18009(REV)	8	0.6697038724373576	0.5368043087971275	1
Cas12f1_1_CAS-V-F	729ad68f76fcc9ad44|a2b34d394a483684d1|13c467515f75164e2a|EARTH_3300018914_5|3300018914.a:Ga0193594_1000104:0-21470(FWD)_3	411	557	9.7e-07	22.5	4095	5327	729ad68f76fcc9ad44|a2b34d394a483684d1|13c467515f75164e2a|EARTH_3300018914_5|3300018914.a:Ga0193594_1000104:0-21470(FWD)	3	0.49391727493917276	0.39497307001795334	1
