query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh,PF00389.32,134,d2248a31d0e133ef11|75d87cf75b9b4f9eff|75d87cf75b9b4f9eff|EARTH_3300027848_66|3300027848.a:Ga0209390_10007914:0-13381(REV);8767;10392;+,135.2,2.2e-40,542,0,134,16,325
2-Hacid_dh,PF00389.32,134,d2248a31d0e133ef11|75d87cf75b9b4f9eff|75d87cf75b9b4f9eff|EARTH_3300027848_66|3300027848.a:Ga0209390_10007914:0-13381(REV);8767;10392;+,135.2,2.2e-40,542,79,99,403,423
2-Hacid_dh,PF00389.32,134,d2248a31d0e133ef11|1695b158f693cc6c7a|1695b158f693cc6c7a|7797041|CAIWDD010000069.1:11403-24481(REV);8178;9173;-,101.9,4.4e-30,332,0,134,4,327
2-Hacid_dh_C,PF02826.21,178,d2248a31d0e133ef11|75d87cf75b9b4f9eff|75d87cf75b9b4f9eff|EARTH_3300027848_66|3300027848.a:Ga0209390_10007914:0-13381(REV);8767;10392;+,203.5,3.5e-61,542,0,178,117,293
2-Hacid_dh_C,PF02826.21,178,d2248a31d0e133ef11|1695b158f693cc6c7a|1695b158f693cc6c7a|7797041|CAIWDD010000069.1:11403-24481(REV);8178;9173;-,170.2,5.7e-51,332,0,178,108,295
2-Hacid_dh_C,PF02826.21,178,d2248a31d0e133ef11|bc8807097a78f753db|bc8807097a78f753db|8405541|NZ_JADEWL010000095.1:10072-27272(FWD);10282;11571;-,23.1,8.1e-06,430,27,68,214,255
2-Hacid_dh_C,PF02826.21,178,d2248a31d0e133ef11|bc8807097a78f753db|bc8807097a78f753db|8405541|NZ_JADEWL010000095.1:10072-27272(FWD);10282;11571;-,23.1,8.1e-06,430,40,53,411,424
2-Hacid_dh_C,PF02826.21,178,d2248a31d0e133ef11|0d87d49b403f117f24|0d87d49b403f117f24|41811|NZ_HF985537.1:0-11698(REV);4293;5654;-,19.0,0.00015,454,37,70,1,34
2-Hacid_dh_C,PF02826.21,178,d2248a31d0e133ef11|0d87d49b403f117f24|0d87d49b403f117f24|41811|NZ_HF985537.1:0-11698(REV);4293;5654;-,19.0,0.00015,454,32,74,224,266
2-Hacid_dh_C,PF02826.21,178,d2248a31d0e133ef11|69baa1ab27aa6153ad|69baa1ab27aa6153ad|EARTH_3300012042_10|3300012042.a:Ga0136627_1001102:0-10567(FWD);3062;4531;+,15.8,0.0014,490,35,67,23,55
2-Hacid_dh_C,PF02826.21,178,d2248a31d0e133ef11|69baa1ab27aa6153ad|69baa1ab27aa6153ad|EARTH_3300012042_10|3300012042.a:Ga0136627_1001102:0-10567(FWD);3062;4531;+,15.8,0.0014,490,37,76,202,241
2-Hacid_dh_C,PF02826.21,178,d2248a31d0e133ef11|0e881a486d26dd1fc2|0e881a486d26dd1fc2|1693891|NZ_BDUD01000001.1:5303000-5328308(FWD);9770;10879;-,13.5,0.007,370,35,87,186,240
2-Hacid_dh_C,PF02826.21,178,d2248a31d0e133ef11|7779a0b45bb94e0a56|7779a0b45bb94e0a56|649698|NZ_KB235922.1:552270-577671(FWD);16538;18289;-,13.0,0.01,584,32,87,405,455
2-Hacid_dh_C,PF02826.21,178,d2248a31d0e133ef11|dc85de514eb0c18227|dc85de514eb0c18227|969111|LJDB01000008.1:15721-40067(REV);18260;18967;+,13.0,0.01,236,31,61,14,45
2-Hacid_dh_C,PF02826.21,178,d2248a31d0e133ef11|dc85de514eb0c18227|dc85de514eb0c18227|969111|LJDB01000008.1:15721-40067(REV);18260;18967;+,13.0,0.01,236,91,125,51,86
2-Hacid_dh_C,PF02826.21,178,d2248a31d0e133ef11|8a98d858ed841057a7|8a98d858ed841057a7|7885601|NZ_JACHDO010000001.1:3060401-3085799(FWD);19696;20700;-,12.8,0.012,335,37,73,3,39
2-Hacid_dh_C,PF02826.21,178,d2248a31d0e133ef11|e1db38de06fe740933|e1db38de06fe740933|326301|NZ_LAJC01000012.1:0-14567(FWD);13092;14531;+,12.3,0.017,480,37,74,5,43
2-oxoacid_dh,PF00198.25,233,d2248a31d0e133ef11|4c047b1a5cbf66bb85|4c047b1a5cbf66bb85|42828|NC_011729.1:475554-500952(FWD);9863;11173;+,217.1,4.6e-65,437,4,231,214,434
23S_rRNA_IVP,PF05635.13,106,d2248a31d0e133ef11|ada7921ef5d372d182|ada7921ef5d372d182|5850351|JAAHFP010000021.1:84499-109723(REV);22468;22839;+,102.1,3.8e-30,124,0,106,6,112
2Fe-2S_thioredx,PF01257.21,145,d2248a31d0e133ef11|866ec60bdfdf0d4098|825bb0f287c99d69e2|789921|NZ_FMHU01000002.1:1169549-1194944(FWD);6237;6824;+,124.3,6.9e-37,196,3,142,18,157
2Fe-2S_thioredx,PF01257.21,145,d2248a31d0e133ef11|f2d831a0639280534f|f2d831a0639280534f|7526951|CAIUAY010000070.1:0-4987(REV);1729;2043;-,21.4,3.9e-05,105,64,143,4,89
2OG-FeII_Oxy,PF03171.22,101,d2248a31d0e133ef11|bba23b6ed39226aa30|bba23b6ed39226aa30|5849861|JAAHIH010000003.1:1148608-1174030(REV);17950;18765;-,42.5,1.5e-11,272,17,39,94,123
2OG-FeII_Oxy,PF03171.22,101,d2248a31d0e133ef11|bba23b6ed39226aa30|bba23b6ed39226aa30|5849861|JAAHIH010000003.1:1148608-1174030(REV);17950;18765;-,42.5,1.5e-11,272,4,99,142,236
2_5_RNA_ligase2,PF13563.8,153,d2248a31d0e133ef11|89ba49a64467a1fc46|89ba49a64467a1fc46|816601|NZ_CP017014.1:2030717-2056112(REV);10726;11247;-,41.9,2e-11,174,24,129,35,143
3-dmu-9_3-mt,PF06983.15,116,d2248a31d0e133ef11|a35d50a8430488b31a|a35d50a8430488b31a|1151471|NZ_LT607411.1:4078890-4104309(FWD);5378;5788;+,37.9,4.5e-10,137,3,115,4,129
3-HAO,PF06052.14,151,d2248a31d0e133ef11|dfbbdef63fe34f4f90|dfbbdef63fe34f4f90|6274351|JAABSO010000028.1:43971-57097(FWD);2495;3442;-,13.5,0.0087,316,93,148,129,184
3Beta_HSD,PF01073.21,280,d2248a31d0e133ef11|6fce75393bfc8be1d8|6fce75393bfc8be1d8|2182151|NZ_BIFQ01000002.1:2354371-2379739(REV);15851;16834;+,101.7,7.2e-30,328,1,231,4,217
3Beta_HSD,PF01073.21,280,d2248a31d0e133ef11|c69dfe1a0ecdae0d04|c69dfe1a0ecdae0d04|7886971|NZ_JACHJW010000001.1:6404812-6430207(FWD);17181;18176;-,65.0,1.1e-18,332,0,217,6,222
3Beta_HSD,PF01073.21,280,d2248a31d0e133ef11|ea2dc25882ea1feff3|ea2dc25882ea1feff3|3213311|VBJK01000130.1:0-20532(FWD);16186;17151;-,52.5,7.5e-15,322,0,228,3,224
3Beta_HSD,PF01073.21,280,d2248a31d0e133ef11|0f1b0663d6c71dbd85|eec1972950a97b3ee0|7279621|NZ_WHOS01000072.1:0-25237(FWD);21396;22418;+,48.8,9.9e-14,341,0,184,3,197
3Beta_HSD,PF01073.21,280,d2248a31d0e133ef11|0f1b0663d6c71dbd85|eec1972950a97b3ee0|7279621|NZ_WHOS01000072.1:0-25237(FWD);20428;21408;+,42.6,7.6e-12,327,0,225,7,221
3Beta_HSD,PF01073.21,280,d2248a31d0e133ef11|866ec60bdfdf0d4098|825bb0f287c99d69e2|789921|NZ_FMHU01000002.1:1998523-2023918(FWD);1722;3578;+,39.3,7.9e-11,619,0,120,299,424
3Beta_HSD,PF01073.21,280,d2248a31d0e133ef11|122b04d7758559b288|122b04d7758559b288|1751481|QIAU01000147.1:0-12748(REV);7679;8689;-,36.0,8e-10,337,0,187,8,187
3Beta_HSD,PF01073.21,280,d2248a31d0e133ef11|ada7921ef5d372d182|ada7921ef5d372d182|5850351|JAAHFP010000021.1:84499-109723(REV);8334;11459;-,34.0,3.2e-09,1042,1,209,666,884
3Beta_HSD,PF01073.21,280,d2248a31d0e133ef11|dc2f084b9fd67ccd24|dc2f084b9fd67ccd24|5850351|JAAHFP010000002.1:313439-338834(FWD);5189;5965;+,23.7,4.4e-06,259,0,133,7,149
3Beta_HSD,PF01073.21,280,d2248a31d0e133ef11|0f1b0663d6c71dbd85|eec1972950a97b3ee0|7279621|NZ_WHOS01000072.1:0-25237(FWD);17915;18997;+,19.8,6.9e-05,361,50,154,64,167
3Beta_HSD,PF01073.21,280,d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV);16739;17560;-,15.8,0.0012,274,0,73,2,68
3Beta_HSD,PF01073.21,280,d2248a31d0e133ef11|bba23b6ed39226aa30|5d702c9e2a6548cbff|5849861|JAAHIH010000002.1:732195-757593(FWD);19521;21272;+,11.8,0.019,584,41,148,103,224
3Beta_HSD,PF01073.21,280,d2248a31d0e133ef11|4cfb5a76164ed10ae1|4cfb5a76164ed10ae1|EARTH_3300027863_34|3300027863.a:Ga0207433_10000017:1367-26843(REV);2656;3492;-,10.7,0.041,279,0,68,18,87
3Beta_HSD,PF01073.21,280,d2248a31d0e133ef11|4cfb5a76164ed10ae1|4cfb5a76164ed10ae1|EARTH_3300027863_34|3300027863.a:Ga0207433_10000017:1367-26843(REV);2656;3492;-,10.7,0.041,279,85,97,123,135
3H,PF02829.16,97,d2248a31d0e133ef11|72bf6e01bfc569c693|72bf6e01bfc569c693|7327571|CAAEYV010000069.1:1337-20809(REV);14496;15041;+,116.7,8.6e-35,182,0,97,73,170
3H,PF02829.16,97,d2248a31d0e133ef11|72bf6e01bfc569c693|72bf6e01bfc569c693|GUT_GENOME217399|GUT_GENOME217399_91:1040-22644(REV);16628;17173;+,116.7,8.6e-35,182,0,97,73,170
3H,PF02829.16,97,d2248a31d0e133ef11|72bf6e01bfc569c693|72bf6e01bfc569c693|7317851|CAAEYH010000092.1:17156-40799(REV);18667;19212;+,116.7,8.6e-35,182,0,97,73,170
3H,PF02829.16,97,d2248a31d0e133ef11|ebff777d39e73ce66a|ae77585c97f0cd0dca|2234601|UQIL01000015.1:0-22471(REV);20419;20964;+,116.7,8.8e-35,182,0,97,73,170
3H,PF02829.16,97,d2248a31d0e133ef11|ebff777d39e73ce66a|ae77585c97f0cd0dca|GUT_GENOME097662|GUT_GENOME097662_55:0-13649(FWD);12987;13532;+,116.7,8.8e-35,182,0,97,73,170
3H,PF02829.16,97,d2248a31d0e133ef11|72bf6e01bfc569c693|72bf6e01bfc569c693|GUT_GENOME245976|GUT_GENOME245976_10:30271-52091(REV);16844;17389;+,116.3,1.2e-34,182,0,97,73,170
3H,PF02829.16,97,d2248a31d0e133ef11|72bf6e01bfc569c693|72bf6e01bfc569c693|2235311|UQLC01000002.1:33702-59010(REV);20331;20876;+,116.1,1.3e-34,182,0,97,73,170
3H,PF02829.16,97,d2248a31d0e133ef11|72bf6e01bfc569c693|72bf6e01bfc569c693|GUT_GENOME194232|GUT_GENOME194232_13:25659-46757(FWD);20330;20875;+,116.1,1.3e-34,182,0,97,73,170
3H,PF02829.16,97,d2248a31d0e133ef11|ebff777d39e73ce66a|ae77585c97f0cd0dca|7316391|CAAFQK010000045.1:4677-18288(REV);8634;9179;+,114.8,3.5e-34,182,0,97,73,170
3H,PF02829.16,97,d2248a31d0e133ef11|ebff777d39e73ce66a|ae77585c97f0cd0dca|8582931|NZ_JADNDZ010000097.1:45112-65898(REV);15810;16355;+,114.4,4.4e-34,182,0,97,73,170
3H,PF02829.16,97,d2248a31d0e133ef11|72bf6e01bfc569c693|72bf6e01bfc569c693|2234591|UQIN01000004.1:44382-69690(REV);20335;20880;+,114.4,4.5e-34,182,0,97,73,170
3H,PF02829.16,97,d2248a31d0e133ef11|72bf6e01bfc569c693|72bf6e01bfc569c693|2235671|UQMO01000038.1:956-22313(REV);16381;16926;+,114.4,4.5e-34,182,0,97,73,170
