Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	d2246f26c16fb9eec9|013f4d2dd071449723|013f4d2dd071449723|8120711|NZ_BMUT01000006.1:30449-55790(REV)_13	258	284	3.5e-05	19.6	10658	11431	d2246f26c16fb9eec9|013f4d2dd071449723|013f4d2dd071449723|8120711|NZ_BMUT01000006.1:30449-55790(REV)	13	0.2364341085271318	0.21830985915492956	1
AbiEii_0_CAS-III	d2246f26c16fb9eec9|06576caced8fbf5ba3|06576caced8fbf5ba3|2125451|NZ_BHXA01000044.1:91819-117259(FWD)_7	255	284	1.4e-09	34.0	5425	6189	d2246f26c16fb9eec9|06576caced8fbf5ba3|06576caced8fbf5ba3|2125451|NZ_BHXA01000044.1:91819-117259(FWD)	7	0.4235294117647059	0.3626760563380282	-1
AbiEii_0_CAS-III	d2246f26c16fb9eec9|07d96ba75a551844f4|07d96ba75a551844f4|5346821|NZ_BLAF01000056.1:41233-66811(REV)_1	515	284	0.0013	14.4	1	1545	d2246f26c16fb9eec9|07d96ba75a551844f4|07d96ba75a551844f4|5346821|NZ_BLAF01000056.1:41233-66811(REV)	1	0.12815533980582525	0.24647887323943662	-1
AbiEii_0_CAS-III	d2246f26c16fb9eec9|10f8894770c9ab0817|10f8894770c9ab0817|1509841|NZ_NMYC01000001.1:147438-173034(FWD)_11	271	284	3.4e-05	19.7	11067	11879	d2246f26c16fb9eec9|10f8894770c9ab0817|10f8894770c9ab0817|1509841|NZ_NMYC01000001.1:147438-173034(FWD)	11	0.34686346863468637	0.3204225352112676	-1
AbiEii_0_CAS-III	d2246f26c16fb9eec9|10f8894770c9ab0817|10f8894770c9ab0817|1509841|NZ_NMYC01000001.1:147438-173034(FWD)_19	672	284	0.00057	15.6	19865	21880	d2246f26c16fb9eec9|10f8894770c9ab0817|10f8894770c9ab0817|1509841|NZ_NMYC01000001.1:147438-173034(FWD)	19	0.2619047619047619	0.3380281690140845	1
AbiEii_0_CAS-III	d2246f26c16fb9eec9|24fa5c6be1bce4012a|7dda5df807932511aa|204231|NZ_JGZG01000002.1:108979-134566(REV)_6	599	284	9.8e-05	18.1	5296	7092	d2246f26c16fb9eec9|24fa5c6be1bce4012a|7dda5df807932511aa|204231|NZ_JGZG01000002.1:108979-134566(REV)	6	0.18530884808013356	0.3908450704225352	-1
AbiEii_0_CAS-III	d2246f26c16fb9eec9|2af34d294c31f22abe|2af34d294c31f22abe|204231|NZ_JGZG01000005.1:663-26250(FWD)_8	559	284	1.7e-08	30.5	7041	8717	d2246f26c16fb9eec9|2af34d294c31f22abe|2af34d294c31f22abe|204231|NZ_JGZG01000005.1:663-26250(FWD)	8	0.21288014311270126	0.3274647887323944	-1
AbiEii_0_CAS-III	d2246f26c16fb9eec9|2f0c841c91fbc7f1da|9b78528d184f206bbe|1175331|NZ_MWWR01000016.1:18502-37353(FWD)_2	437	284	1.2e-06	24.4	629	1939	d2246f26c16fb9eec9|2f0c841c91fbc7f1da|9b78528d184f206bbe|1175331|NZ_MWWR01000016.1:18502-37353(FWD)	2	0.20823798627002288	0.3345070422535211	-1
AbiEii_0_CAS-III	d2246f26c16fb9eec9|32a9ff038b55f15755|32a9ff038b55f15755|1063981|NZ_CP020569.1:2410298-2435855(FWD)_23	386	284	0.011	11.5	22561	23718	d2246f26c16fb9eec9|32a9ff038b55f15755|32a9ff038b55f15755|1063981|NZ_CP020569.1:2410298-2435855(FWD)	23	0.17616580310880828	0.24295774647887325	1
AbiEii_0_CAS-III	d2246f26c16fb9eec9|3afd69d7d43bd7f844|9fb170cb5e643a00a8|4347311|NZ_LR698966.1:519621-545208(FWD)_3	266	284	8.3e-07	24.9	1964	2761	d2246f26c16fb9eec9|3afd69d7d43bd7f844|9fb170cb5e643a00a8|4347311|NZ_LR698966.1:519621-545208(FWD)	3	0.4774436090225564	0.4471830985915493	1
AbiEii_0_CAS-III	d2246f26c16fb9eec9|3afd69d7d43bd7f844|9fb170cb5e643a00a8|4347311|NZ_LR698966.1:519621-545208(FWD)_4	235	284	2.4e-05	20.1	2761	3465	d2246f26c16fb9eec9|3afd69d7d43bd7f844|9fb170cb5e643a00a8|4347311|NZ_LR698966.1:519621-545208(FWD)	4	0.548936170212766	0.4507042253521127	1
AbiEii_0_CAS-III	d2246f26c16fb9eec9|59be91583d837b78b8|59be91583d837b78b8|204341|NZ_JGYQ01000015.1:41143-66733(FWD)_1	235	284	6.3e-05	18.8	230	934	d2246f26c16fb9eec9|59be91583d837b78b8|59be91583d837b78b8|204341|NZ_JGYQ01000015.1:41143-66733(FWD)	1	0.5659574468085107	0.45422535211267606	-1
AbiEii_0_CAS-III	d2246f26c16fb9eec9|59be91583d837b78b8|59be91583d837b78b8|204341|NZ_JGYQ01000015.1:41143-66733(FWD)_2	284	284	8.2e-06	21.7	927	1778	d2246f26c16fb9eec9|59be91583d837b78b8|59be91583d837b78b8|204341|NZ_JGYQ01000015.1:41143-66733(FWD)	2	0.38380281690140844	0.3767605633802817	-1
AbiEii_0_CAS-III	d2246f26c16fb9eec9|59be91583d837b78b8|59be91583d837b78b8|204341|NZ_JGYQ01000015.1:41143-66733(FWD)_7	630	284	6.4e-05	18.7	7657	9546	d2246f26c16fb9eec9|59be91583d837b78b8|59be91583d837b78b8|204341|NZ_JGYQ01000015.1:41143-66733(FWD)	7	0.14603174603174604	0.33098591549295775	-1
AbiEii_0_CAS-III	d2246f26c16fb9eec9|688b5c607d22bfb4c6|688b5c607d22bfb4c6|3212071|VBPQ01000013.1:0-16605(REV)_12	255	284	1.7e-09	33.8	7536	8300	d2246f26c16fb9eec9|688b5c607d22bfb4c6|688b5c607d22bfb4c6|3212071|VBPQ01000013.1:0-16605(REV)	12	0.4666666666666667	0.41901408450704225	1
AbiEii_0_CAS-III	d2246f26c16fb9eec9|688b5c607d22bfb4c6|688b5c607d22bfb4c6|3212071|VBPQ01000013.1:0-16605(REV)_14	281	284	0.0021	13.8	9125	9967	d2246f26c16fb9eec9|688b5c607d22bfb4c6|688b5c607d22bfb4c6|3212071|VBPQ01000013.1:0-16605(REV)	14	0.23843416370106763	0.22887323943661972	-1
AbiEii_0_CAS-III	d2246f26c16fb9eec9|7102e43ffd8e84cfdf|49fbdcd8c891b1bd9d|1509841|NZ_NMYC01000001.1:377364-402951(FWD)_23	172	284	8.4e-05	18.4	25070	25585	d2246f26c16fb9eec9|7102e43ffd8e84cfdf|49fbdcd8c891b1bd9d|1509841|NZ_NMYC01000001.1:377364-402951(FWD)	23	0.5174418604651163	0.30633802816901406	1
AbiEii_1_CAS-III-A	d2246f26c16fb9eec9|013f4d2dd071449723|013f4d2dd071449723|8120711|NZ_BMUT01000006.1:30449-55790(REV)_13	258	335	0.0066	11.7	10658	11431	d2246f26c16fb9eec9|013f4d2dd071449723|013f4d2dd071449723|8120711|NZ_BMUT01000006.1:30449-55790(REV)	13	0.09689922480620156	0.07462686567164178	1
AbiEii_1_CAS-III-A	d2246f26c16fb9eec9|06576caced8fbf5ba3|06576caced8fbf5ba3|2125451|NZ_BHXA01000044.1:91819-117259(FWD)_7	255	335	0.0024	13.1	5425	6189	d2246f26c16fb9eec9|06576caced8fbf5ba3|06576caced8fbf5ba3|2125451|NZ_BHXA01000044.1:91819-117259(FWD)	7	0.3176470588235294	0.2507462686567164	-1
AbiEii_1_CAS-III-A	d2246f26c16fb9eec9|10f8894770c9ab0817|10f8894770c9ab0817|1509841|NZ_NMYC01000001.1:147438-173034(FWD)_11	271	335	0.0058	11.9	11067	11879	d2246f26c16fb9eec9|10f8894770c9ab0817|10f8894770c9ab0817|1509841|NZ_NMYC01000001.1:147438-173034(FWD)	11	0.12177121771217712	0.09253731343283582	-1
Cas10_1_CAS-III	d2246f26c16fb9eec9|ad61d78ce6c4a9f187|ad61d78ce6c4a9f187|1700741|NZ_QFFN01000008.1:67400-87623(REV)_17	230	654	0.00064	14.5	17259	17948	d2246f26c16fb9eec9|ad61d78ce6c4a9f187|ad61d78ce6c4a9f187|1700741|NZ_QFFN01000008.1:67400-87623(REV)	17	0.44782608695652176	0.12691131498470948	-1
Cas12b2_0_CAS-V-B	d2246f26c16fb9eec9|2af34d294c31f22abe|2af34d294c31f22abe|204231|NZ_JGZG01000005.1:663-26250(FWD)_14	430	747	0.0026	12.3	13080	14369	d2246f26c16fb9eec9|2af34d294c31f22abe|2af34d294c31f22abe|204231|NZ_JGZG01000005.1:663-26250(FWD)	14	0.19534883720930232	0.11244979919678715	1
Cas12b2_0_CAS-V-B	d2246f26c16fb9eec9|2f0c841c91fbc7f1da|2f0c841c91fbc7f1da|1175331|NZ_MWWR01000019.1:41574-67083(FWD)_9	426	747	0.00066	14.3	13002	14279	d2246f26c16fb9eec9|2f0c841c91fbc7f1da|2f0c841c91fbc7f1da|1175331|NZ_MWWR01000019.1:41574-67083(FWD)	9	0.13849765258215962	0.08165997322623829	1
Cas12b2_0_CAS-V-B	d2246f26c16fb9eec9|3afd69d7d43bd7f844|fa0968ae775e52620a|348771|NZ_AP012324.1:1920804-1946391(REV)_17	435	747	0.012	10.1	13081	14385	d2246f26c16fb9eec9|3afd69d7d43bd7f844|fa0968ae775e52620a|348771|NZ_AP012324.1:1920804-1946391(REV)	17	0.3563218390804598	0.21552878179384202	1
Cas12b2_0_CAS-V-B	d2246f26c16fb9eec9|a1f57075f58c6e01e9|a1f57075f58c6e01e9|8911911|JACQXC010000268.1:0-3863(REV)_2	410	747	0.0039	11.7	583	1812	d2246f26c16fb9eec9|a1f57075f58c6e01e9|a1f57075f58c6e01e9|8911911|JACQXC010000268.1:0-3863(REV)	2	0.45121951219512196	0.22356091030789826	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|05b500865ebbff5011|05b500865ebbff5011|7378921|JACDQQ010002541.1:0-1768(REV)_3	339	512	0.001	14.1	751	1767	d2246f26c16fb9eec9|05b500865ebbff5011|05b500865ebbff5011|7378921|JACDQQ010002541.1:0-1768(REV)	3	0.11504424778761062	0.076171875	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|0f0abb168b5baee53f|0f0abb168b5baee53f|6088701|NZ_JAAKZW010000019.1:0-16781(FWD)_6	484	512	3.3e-09	32.2	4278	5729	d2246f26c16fb9eec9|0f0abb168b5baee53f|0f0abb168b5baee53f|6088701|NZ_JAAKZW010000019.1:0-16781(FWD)	6	0.45454545454545453	0.4375	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|10f8894770c9ab0817|10f8894770c9ab0817|1509841|NZ_NMYC01000001.1:147438-173034(FWD)_13	429	512	2e-08	29.6	13089	14375	d2246f26c16fb9eec9|10f8894770c9ab0817|10f8894770c9ab0817|1509841|NZ_NMYC01000001.1:147438-173034(FWD)	13	0.5011655011655012	0.447265625	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|11dd87d73b82f2315a|11dd87d73b82f2315a|5848861|NZ_WHZW01000012.1:31387-56893(REV)_11	433	512	2.7e-08	29.2	13000	14298	d2246f26c16fb9eec9|11dd87d73b82f2315a|11dd87d73b82f2315a|5848861|NZ_WHZW01000012.1:31387-56893(REV)	11	0.5011547344110855	0.45703125	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|24fa5c6be1bce4012a|24fa5c6be1bce4012a|204231|NZ_JGZG01000014.1:14700-29004(FWD)_16	408	512	1.6e-06	23.3	13080	14303	d2246f26c16fb9eec9|24fa5c6be1bce4012a|24fa5c6be1bce4012a|204231|NZ_JGZG01000014.1:14700-29004(FWD)	16	0.24019607843137256	0.203125	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|24fa5c6be1bce4012a|7dda5df807932511aa|204231|NZ_JGZG01000002.1:108979-134566(REV)_13	411	512	3.7e-05	18.8	13081	14313	d2246f26c16fb9eec9|24fa5c6be1bce4012a|7dda5df807932511aa|204231|NZ_JGZG01000002.1:108979-134566(REV)	13	0.35279805352798055	0.29296875	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|28ee291fbd50dba85d|28ee291fbd50dba85d|4419391|NZ_CABKTR010000009.1:61265-86849(REV)_8	430	512	0.0018	13.3	13078	14367	d2246f26c16fb9eec9|28ee291fbd50dba85d|28ee291fbd50dba85d|4419391|NZ_CABKTR010000009.1:61265-86849(REV)	8	0.22093023255813954	0.197265625	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|2af34d294c31f22abe|2af34d294c31f22abe|204231|NZ_JGZG01000005.1:663-26250(FWD)_14	430	512	9.2e-06	20.8	13080	14369	d2246f26c16fb9eec9|2af34d294c31f22abe|2af34d294c31f22abe|204231|NZ_JGZG01000005.1:663-26250(FWD)	14	0.22325581395348837	0.19921875	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|2e950b3ba4bd0073fd|2e950b3ba4bd0073fd|1509851|NZ_NMWT01000011.1:12776-38282(FWD)_10	434	512	2.9e-08	29.1	12996	14297	d2246f26c16fb9eec9|2e950b3ba4bd0073fd|2e950b3ba4bd0073fd|1509851|NZ_NMWT01000011.1:12776-38282(FWD)	10	0.4631336405529954	0.42578125	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|2e950b3ba4bd0073fd|969b6e1d7101a118ed|1509851|NZ_NMWT01000001.1:195286-220792(FWD)_12	434	512	3.8e-06	22.1	12996	14297	d2246f26c16fb9eec9|2e950b3ba4bd0073fd|969b6e1d7101a118ed|1509851|NZ_NMWT01000001.1:195286-220792(FWD)	12	0.46543778801843316	0.427734375	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|2f0c841c91fbc7f1da|2f0c841c91fbc7f1da|1175331|NZ_MWWR01000019.1:41574-67083(FWD)_9	426	512	0.00031	15.8	13002	14279	d2246f26c16fb9eec9|2f0c841c91fbc7f1da|2f0c841c91fbc7f1da|1175331|NZ_MWWR01000019.1:41574-67083(FWD)	9	0.4765258215962441	0.427734375	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|2f0c841c91fbc7f1da|9b78528d184f206bbe|1175331|NZ_MWWR01000016.1:18502-37353(FWD)_10	437	512	5.5e-06	21.5	13002	14312	d2246f26c16fb9eec9|2f0c841c91fbc7f1da|9b78528d184f206bbe|1175331|NZ_MWWR01000016.1:18502-37353(FWD)	10	0.4668192219679634	0.4296875	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|3afd69d7d43bd7f844|67d9207d51522cfd6a|1189931|NZ_MVOH01000032.1:0-2430(FWD)_3	435	512	4.1e-05	18.7	952	2256	d2246f26c16fb9eec9|3afd69d7d43bd7f844|67d9207d51522cfd6a|1189931|NZ_MVOH01000032.1:0-2430(FWD)	3	0.4114942528735632	0.384765625	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|3afd69d7d43bd7f844|6e2a480442ec86633a|2171331|NZ_QXGI01000001.1:230932-256519(REV)_21	435	512	1.2e-05	20.5	13081	14385	d2246f26c16fb9eec9|3afd69d7d43bd7f844|6e2a480442ec86633a|2171331|NZ_QXGI01000001.1:230932-256519(REV)	21	0.4091954022988506	0.3828125	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|3afd69d7d43bd7f844|9fb170cb5e643a00a8|4347311|NZ_LR698966.1:519621-545208(FWD)_13	435	512	5.5e-07	24.9	13080	14384	d2246f26c16fb9eec9|3afd69d7d43bd7f844|9fb170cb5e643a00a8|4347311|NZ_LR698966.1:519621-545208(FWD)	13	0.35172413793103446	0.318359375	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|3afd69d7d43bd7f844|fa0968ae775e52620a|348771|NZ_AP012324.1:1920804-1946391(REV)_17	435	512	0.00014	17.0	13081	14385	d2246f26c16fb9eec9|3afd69d7d43bd7f844|fa0968ae775e52620a|348771|NZ_AP012324.1:1920804-1946391(REV)	17	0.33793103448275863	0.306640625	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|40394438ee95b512a3|40394438ee95b512a3|264978|NC_015067.1:1147762-1172983(REV)_13	434	512	4.5e-06	21.9	12715	14016	d2246f26c16fb9eec9|40394438ee95b512a3|40394438ee95b512a3|264978|NC_015067.1:1147762-1172983(REV)	13	0.41013824884792627	0.3828125	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|426e14483fbbc27a3a|426e14483fbbc27a3a|1175361|NZ_MWWZ01000008.1:313224-326708(REV)_3	406	512	8.3e-05	17.7	1032	2249	d2246f26c16fb9eec9|426e14483fbbc27a3a|426e14483fbbc27a3a|1175361|NZ_MWWZ01000008.1:313224-326708(REV)	3	0.23399014778325122	0.197265625	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|47620662576286f92b|47620662576286f92b|2171801|NZ_QXGK01000026.1:0-14497(REV)_11	434	512	1.4e-07	26.8	13075	14376	d2246f26c16fb9eec9|47620662576286f92b|47620662576286f92b|2171801|NZ_QXGK01000026.1:0-14497(REV)	11	0.4976958525345622	0.455078125	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|59be91583d837b78b8|59be91583d837b78b8|204341|NZ_JGYQ01000015.1:41143-66733(FWD)_11	427	512	0.00046	15.2	13077	14357	d2246f26c16fb9eec9|59be91583d837b78b8|59be91583d837b78b8|204341|NZ_JGYQ01000015.1:41143-66733(FWD)	11	0.3395784543325527	0.298828125	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|63e00a46628c55ea42|63e00a46628c55ea42|391998|NC_017219.1:1395627-1421046(FWD)_15	441	512	2.1e-08	29.5	12906	14228	d2246f26c16fb9eec9|63e00a46628c55ea42|63e00a46628c55ea42|391998|NC_017219.1:1395627-1421046(FWD)	15	0.4852607709750567	0.4296875	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|65f2c9fa8f9f5781a5|1d326b4822ede263cd|1161641|NZ_NEWD01000004.1:126246-151827(FWD)_14	415	512	2.5e-08	29.3	13131	14375	d2246f26c16fb9eec9|65f2c9fa8f9f5781a5|1d326b4822ede263cd|1161641|NZ_NEWD01000004.1:126246-151827(FWD)	14	0.4963855421686747	0.435546875	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|65f2c9fa8f9f5781a5|65f2c9fa8f9f5781a5|7049781|NZ_JAAIIG010000003.1:235427-261008(REV)_12	433	512	1.6e-08	29.9	13075	14373	d2246f26c16fb9eec9|65f2c9fa8f9f5781a5|65f2c9fa8f9f5781a5|7049781|NZ_JAAIIG010000003.1:235427-261008(REV)	12	0.4896073903002309	0.447265625	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|6eaca8ee75a7dd6560|6eaca8ee75a7dd6560|3677791|NZ_VFQC01000001.1:2256502-2281738(FWD)_15	463	512	0.00019	16.5	12733	14121	d2246f26c16fb9eec9|6eaca8ee75a7dd6560|6eaca8ee75a7dd6560|3677791|NZ_VFQC01000001.1:2256502-2281738(FWD)	15	0.46004319654427644	0.43359375	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|7102e43ffd8e84cfdf|49fbdcd8c891b1bd9d|1509841|NZ_NMYC01000001.1:377364-402951(FWD)_12	427	512	3.8e-05	18.8	13080	14360	d2246f26c16fb9eec9|7102e43ffd8e84cfdf|49fbdcd8c891b1bd9d|1509841|NZ_NMYC01000001.1:377364-402951(FWD)	12	0.16393442622950818	0.146484375	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|7a4258cfedee322189|7a4258cfedee322189|8119951|NZ_BMSA01000018.1:188139-213378(REV)_11	486	512	2.6e-08	29.2	12737	14194	d2246f26c16fb9eec9|7a4258cfedee322189|7a4258cfedee322189|8119951|NZ_BMSA01000018.1:188139-213378(REV)	11	0.46296296296296297	0.44921875	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|a1f57075f58c6e01e9|a1f57075f58c6e01e9|8911911|JACQXC010000268.1:0-3863(REV)_2	410	512	0.0012	13.8	583	1812	d2246f26c16fb9eec9|a1f57075f58c6e01e9|a1f57075f58c6e01e9|8911911|JACQXC010000268.1:0-3863(REV)	2	0.5292682926829269	0.447265625	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|a7daeafc7152f45fad|a7daeafc7152f45fad|562191|NZ_BCFK01000031.1:0-23285(REV)_14	433	512	3.1e-06	22.4	13000	14298	d2246f26c16fb9eec9|a7daeafc7152f45fad|a7daeafc7152f45fad|562191|NZ_BCFK01000031.1:0-23285(REV)	14	0.4665127020785219	0.427734375	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|aa7ac94e5176c0ff57|aa7ac94e5176c0ff57|1161641|NZ_NEWD01000038.1:69256-94837(FWD)_15	434	512	7.4e-08	27.7	13074	14375	d2246f26c16fb9eec9|aa7ac94e5176c0ff57|aa7ac94e5176c0ff57|1161641|NZ_NEWD01000038.1:69256-94837(FWD)	15	0.47235023041474655	0.43359375	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|ad61d78ce6c4a9f187|ad61d78ce6c4a9f187|1700741|NZ_QFFN01000008.1:67400-87623(REV)_9	434	512	5.7e-06	21.5	7717	9018	d2246f26c16fb9eec9|ad61d78ce6c4a9f187|ad61d78ce6c4a9f187|1700741|NZ_QFFN01000008.1:67400-87623(REV)	9	0.4769585253456221	0.4375	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|b4f59e2f4cebdb3dc5|b4f59e2f4cebdb3dc5|204231|NZ_JGZG01000001.1:137634-163221(REV)_9	411	512	2.2e-06	22.9	13081	14313	d2246f26c16fb9eec9|b4f59e2f4cebdb3dc5|b4f59e2f4cebdb3dc5|204231|NZ_JGZG01000001.1:137634-163221(REV)	9	0.3795620437956204	0.298828125	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|d2246f26c16fb9eec9|d2246f26c16fb9eec9|4419391|NZ_CABKTR010000009.1:38532-64221(FWD)_12	422	512	2e-05	19.7	13179	14444	d2246f26c16fb9eec9|d2246f26c16fb9eec9|d2246f26c16fb9eec9|4419391|NZ_CABKTR010000009.1:38532-64221(FWD)	12	0.4881516587677725	0.42578125	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|d997eabab9581f425f|d997eabab9581f425f|5365471|NZ_WNLP01000001.1:540096-565689(FWD)_15	440	512	1.6e-06	23.3	13080	14399	d2246f26c16fb9eec9|d997eabab9581f425f|d997eabab9581f425f|5365471|NZ_WNLP01000001.1:540096-565689(FWD)	15	0.47954545454545455	0.423828125	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|e098098fbedcc9e1f1|a224c95cc610d0531e|391998|NC_017219.1:690438-716025(FWD)_8	435	512	1.4e-06	23.5	13080	14384	d2246f26c16fb9eec9|e098098fbedcc9e1f1|a224c95cc610d0531e|391998|NC_017219.1:690438-716025(FWD)	8	0.3448275862068966	0.30859375	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|e098098fbedcc9e1f1|e098098fbedcc9e1f1|233781|NZ_CP007456.1:2076995-2102582(REV)_12	435	512	0.0002	16.4	13081	14385	d2246f26c16fb9eec9|e098098fbedcc9e1f1|e098098fbedcc9e1f1|233781|NZ_CP007456.1:2076995-2102582(REV)	12	0.35172413793103446	0.318359375	1
Cas12f1_0_CAS-V-F	d2246f26c16fb9eec9|f2c13a06c5e13c4d1c|f2c13a06c5e13c4d1c|2452051|SFGZ01000033.1:0-2344(REV)_3	426	512	1.6e-06	23.4	842	2119	d2246f26c16fb9eec9|f2c13a06c5e13c4d1c|f2c13a06c5e13c4d1c|2452051|SFGZ01000033.1:0-2344(REV)	3	0.47183098591549294	0.427734375	1
Cas12f1_1_CAS-V-F	d2246f26c16fb9eec9|034166057b05fbe7c5|034166057b05fbe7c5|8118641|NZ_BMNK01000019.1:0-14735(FWD)_3	553	557	0.00034	15.4	2228	3886	d2246f26c16fb9eec9|034166057b05fbe7c5|034166057b05fbe7c5|8118641|NZ_BMNK01000019.1:0-14735(FWD)	3	0.14285714285714285	0.1400359066427289	1
Cas12f1_1_CAS-V-F	d2246f26c16fb9eec9|04ff5e098eafcb0785|04ff5e098eafcb0785|2197511|NZ_RJVR01000080.1:6411-31722(FWD)_14	547	557	0.00078	14.3	12804	14444	d2246f26c16fb9eec9|04ff5e098eafcb0785|04ff5e098eafcb0785|2197511|NZ_RJVR01000080.1:6411-31722(FWD)	14	0.14076782449725778	0.13464991023339318	1
Cas12f1_1_CAS-V-F	d2246f26c16fb9eec9|05b500865ebbff5011|05b500865ebbff5011|7378921|JACDQQ010002541.1:0-1768(REV)_3	339	557	2.2e-13	45.8	751	1767	d2246f26c16fb9eec9|05b500865ebbff5011|05b500865ebbff5011|7378921|JACDQQ010002541.1:0-1768(REV)	3	0.6371681415929203	0.41831238779174146	1
Cas12f1_1_CAS-V-F	d2246f26c16fb9eec9|07d96ba75a551844f4|07d96ba75a551844f4|5346821|NZ_BLAF01000056.1:41233-66811(REV)_10	519	557	6.5e-05	17.8	13072	14628	d2246f26c16fb9eec9|07d96ba75a551844f4|07d96ba75a551844f4|5346821|NZ_BLAF01000056.1:41233-66811(REV)	10	0.18497109826589594	0.1687612208258528	1
Cas12f1_1_CAS-V-F	d2246f26c16fb9eec9|0f0abb168b5baee53f|0f0abb168b5baee53f|6088701|NZ_JAAKZW010000019.1:0-16781(FWD)_6	484	557	0.0054	11.5	4278	5729	d2246f26c16fb9eec9|0f0abb168b5baee53f|0f0abb168b5baee53f|6088701|NZ_JAAKZW010000019.1:0-16781(FWD)	6	0.1384297520661157	0.13464991023339318	1
Cas12f1_1_CAS-V-F	d2246f26c16fb9eec9|10f8894770c9ab0817|10f8894770c9ab0817|1509841|NZ_NMYC01000001.1:147438-173034(FWD)_13	429	557	2.1e-10	35.9	13089	14375	d2246f26c16fb9eec9|10f8894770c9ab0817|10f8894770c9ab0817|1509841|NZ_NMYC01000001.1:147438-173034(FWD)	13	0.43356643356643354	0.36624775583482944	1
Cas12f1_1_CAS-V-F	d2246f26c16fb9eec9|11dd87d73b82f2315a|11dd87d73b82f2315a|5848861|NZ_WHZW01000012.1:31387-56893(REV)_11	433	557	3.7e-09	31.8	13000	14298	d2246f26c16fb9eec9|11dd87d73b82f2315a|11dd87d73b82f2315a|5848861|NZ_WHZW01000012.1:31387-56893(REV)	11	0.418013856812933	0.35727109515260325	1
