Contig	Start	End	Strand	Pos
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	800	1219	1	1
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	2365	3183	1	2
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	3096	3530	-1	3
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	3564	3983	-1	4
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	4027	5349	-1	5
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	5374	5529	-1	6
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	5743	6714	1	7
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	6809	8365	1	8
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	8407	9231	-1	9
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	9387	10514	-1	10
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	10641	11573	1	11
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	11700	12452	1	12
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	12501	12788	1	13
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	12981	14147	1	14
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	14179	15441	-1	15
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	15452	16285	-1	16
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	16266	16661	-1	17
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	16658	17167	-1	18
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	17164	19806	-1	19
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	20016	20819	1	20
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	20864	21358	-1	21
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	21584	22450	1	22
e8e35986a4c05b4442|889dcafc829ee43caa|c110c217ea65084f7b|7332181|NZ_CP040752.1:5010678-5035965(REV)	22553	25285	-1	23
e8e35986a4c05b4442|9cf8edaa68aad82477|9cf8edaa68aad82477|3589031|NZ_BJND01000087.1:1431-26688(FWD)	1	1245	1	1
e8e35986a4c05b4442|9cf8edaa68aad82477|9cf8edaa68aad82477|3589031|NZ_BJND01000087.1:1431-26688(FWD)	1252	2058	-1	2
