query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2OG-FeII_Oxy,PF03171.22,101,a0d79afeb20bd32508|ec7de90950e7377588|ec7de90950e7377588|72161|NZ_AXWW01000047.1:52586-74388(FWD);538;1533;+,73.2,2.2e-22,332,3,101,177,275
2OG-FeII_Oxy_3,PF13640.8,96,a0d79afeb20bd32508|a0d79afeb20bd32508|a0d79afeb20bd32508|1564551|NZ_PTIX01000013.1:56848-82618(FWD);22334;22864;-,26.6,9.9e-08,177,2,90,85,167
2_5_RNA_ligase2,PF13563.8,153,a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV);12501;13232;+,26.8,5.1e-08,244,24,97,59,129
2_5_RNA_ligase2,PF13563.8,153,a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV);12501;13232;+,26.8,5.1e-08,244,2,37,154,193
2_5_RNA_ligase2,PF13563.8,153,a0d79afeb20bd32508|945eb9eedf4c4e54c4|945eb9eedf4c4e54c4|EARTH_3300012042_10|3300012042.a:Ga0136627_1000900:0-11623(FWD);309;1067;+,22.1,1.4e-06,253,24,115,66,201
2_5_RNA_ligase2,PF13563.8,153,a0d79afeb20bd32508|3284f9cd54a3af753b|3284f9cd54a3af753b|1761761|QHCE01000064.1:14407-32916(FWD);12500;13198;+,20.8,3.4e-06,233,17,115,47,184
2_5_RNA_ligase2,PF13563.8,153,a0d79afeb20bd32508|ec7de90950e7377588|ec7de90950e7377588|72161|NZ_AXWW01000047.1:52586-74388(FWD);12500;13234;+,14.8,0.00025,245,24,115,50,181
2_5_RNA_ligase2,PF13563.8,153,a0d79afeb20bd32508|251f54d8e7bd37e2b0|251f54d8e7bd37e2b0|983251|NZ_MTQO01000040.1:216573-242307(FWD);12500;13234;+,13.8,0.00051,245,24,115,52,185
2_5_RNA_ligase2,PF13563.8,153,a0d79afeb20bd32508|a32411a572377cb88e|a32411a572377cb88e|878121|NZ_FOGI01000008.1:425503-451273(REV);12501;13271;+,13.7,0.00053,257,24,115,50,181
2_5_RNA_ligase2,PF13563.8,153,a0d79afeb20bd32508|52d33540aac672e7f4|52d33540aac672e7f4|247021|NZ_CDME01000015.1:233056-258805(REV);12501;13250;+,13.3,0.0007,250,24,115,52,185
2_5_RNA_ligase2,PF13563.8,153,a0d79afeb20bd32508|05c51a3a1245475d73|05c51a3a1245475d73|7239381|NZ_JAAATY010000022.1:86176-111895(REV);12501;13220;+,12.5,0.0013,240,88,115,153,182
2_5_RNA_ligase2,PF13563.8,153,a0d79afeb20bd32508|13f585ef25c9bc16a0|13f585ef25c9bc16a0|3677611|NZ_VFPP01000001.1:8897243-8923007(REV);12501;13265;+,12.4,0.0014,255,25,118,55,188
2_5_RNA_ligase2,PF13563.8,153,a0d79afeb20bd32508|2d61e688c2afd3c7fa|2d61e688c2afd3c7fa|496821|NZ_CP012752.1:10494898-10520632(REV);12501;13235;+,12.1,0.0017,245,24,114,52,184
3HCDH_N,PF02737.20,180,a0d79afeb20bd32508|a32411a572377cb88e|a32411a572377cb88e|878121|NZ_FOGI01000008.1:425503-451273(REV);20743;21864;-,14.5,0.00029,374,0,31,3,34
3HCDH_N,PF02737.20,180,a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV);4203;4964;-,13.3,0.00065,254,8,49,19,60
3HCDH_N,PF02737.20,180,a0d79afeb20bd32508|ec7de90950e7377588|ec7de90950e7377588|72161|NZ_AXWW01000047.1:52586-74388(FWD);3988;4749;+,12.2,0.0014,254,5,56,21,72
4HBT,PF03061.24,79,a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV);6745;7194;+,22.3,1.4e-06,150,18,76,72,133
4HBT_3,PF13622.8,250,a0d79afeb20bd32508|945eb9eedf4c4e54c4|945eb9eedf4c4e54c4|EARTH_3300012042_10|3300012042.a:Ga0136627_1000900:0-11623(FWD);2802;3683;-,199.5,1.3e-60,294,4,250,34,285
7tm_7,PF08395.14,371,a0d79afeb20bd32508|ec7de90950e7377588|ec7de90950e7377588|72161|NZ_AXWW01000047.1:52586-74388(FWD);20744;21796;+,13.3,0.00041,351,22,116,7,98
AAA,PF00004.31,132,a0d79afeb20bd32508|52d33540aac672e7f4|52d33540aac672e7f4|247021|NZ_CDME01000015.1:233056-258805(REV);2038;3210;+,20.4,6.2e-06,391,0,113,41,158
AAA,PF00004.31,132,a0d79afeb20bd32508|2d61e688c2afd3c7fa|2d61e688c2afd3c7fa|496821|NZ_CP012752.1:10494898-10520632(REV);610;1782;+,19.9,9.1e-06,391,0,113,41,158
AAA,PF00004.31,132,a0d79afeb20bd32508|13f585ef25c9bc16a0|13f585ef25c9bc16a0|3677611|NZ_VFPP01000001.1:8897243-8923007(REV);13359;19127;+,19.2,1.4e-05,1923,0,108,704,817
AAA,PF00004.31,132,a0d79afeb20bd32508|ec7de90950e7377588|ec7de90950e7377588|72161|NZ_AXWW01000047.1:52586-74388(FWD);13384;19344;+,18.8,2e-05,1987,0,111,768,887
AAA,PF00004.31,132,a0d79afeb20bd32508|05c51a3a1245475d73|05c51a3a1245475d73|7239381|NZ_JAAATY010000022.1:86176-111895(REV);13255;19203;+,18.6,2.2e-05,1983,0,104,767,879
AAA,PF00004.31,132,a0d79afeb20bd32508|a32411a572377cb88e|a32411a572377cb88e|878121|NZ_FOGI01000008.1:425503-451273(REV);13356;19289;+,18.6,2.3e-05,1978,0,105,763,876
AAA,PF00004.31,132,a0d79afeb20bd32508|a0d79afeb20bd32508|a0d79afeb20bd32508|1564551|NZ_PTIX01000013.1:56848-82618(FWD);13327;19206;+,17.3,5.5e-05,1960,0,109,753,867
AAA,PF00004.31,132,a0d79afeb20bd32508|251f54d8e7bd37e2b0|251f54d8e7bd37e2b0|983251|NZ_MTQO01000040.1:216573-242307(FWD);13266;19205;+,15.9,0.00016,1980,0,98,760,870
AAA,PF00004.31,132,a0d79afeb20bd32508|2d61e688c2afd3c7fa|2d61e688c2afd3c7fa|496821|NZ_CP012752.1:10494898-10520632(REV);13270;19209;+,15.7,0.00018,1980,0,98,760,870
AAA,PF00004.31,132,a0d79afeb20bd32508|52d33540aac672e7f4|52d33540aac672e7f4|247021|NZ_CDME01000015.1:233056-258805(REV);13286;19231;+,15.3,0.00023,1982,0,98,762,872
AAA_16,PF13191.8,170,a0d79afeb20bd32508|13f585ef25c9bc16a0|13f585ef25c9bc16a0|3677611|NZ_VFPP01000001.1:8897243-8923007(REV);7983;9956;-,32.6,1.1e-09,658,1,164,374,566
AAA_16,PF13191.8,170,a0d79afeb20bd32508|13f585ef25c9bc16a0|13f585ef25c9bc16a0|3677611|NZ_VFPP01000001.1:8897243-8923007(REV);2815;7986;-,28.1,2.5e-08,1724,115,152,132,173
AAA_16,PF13191.8,170,a0d79afeb20bd32508|13f585ef25c9bc16a0|13f585ef25c9bc16a0|3677611|NZ_VFPP01000001.1:8897243-8923007(REV);2815;7986;-,28.1,2.5e-08,1724,13,159,215,382
AAA_16,PF13191.8,170,a0d79afeb20bd32508|13f585ef25c9bc16a0|13f585ef25c9bc16a0|3677611|NZ_VFPP01000001.1:8897243-8923007(REV);2815;7986;-,28.1,2.5e-08,1724,115,140,1018,1050
AAA_16,PF13191.8,170,a0d79afeb20bd32508|13f585ef25c9bc16a0|13f585ef25c9bc16a0|3677611|NZ_VFPP01000001.1:8897243-8923007(REV);2815;7986;-,28.1,2.5e-08,1724,81,101,1092,1112
AAA_16,PF13191.8,170,a0d79afeb20bd32508|a0d79afeb20bd32508|a0d79afeb20bd32508|1564551|NZ_PTIX01000013.1:56848-82618(FWD);8165;10249;-,17.9,3.5e-05,695,2,51,57,102
AAA_16,PF13191.8,170,a0d79afeb20bd32508|a0d79afeb20bd32508|a0d79afeb20bd32508|1564551|NZ_PTIX01000013.1:56848-82618(FWD);8165;10249;-,17.9,3.5e-05,695,106,135,324,362
AAA_16,PF13191.8,170,a0d79afeb20bd32508|251f54d8e7bd37e2b0|251f54d8e7bd37e2b0|983251|NZ_MTQO01000040.1:216573-242307(FWD);948;1709;+,17.8,3.9e-05,254,20,51,40,72
AAA_16,PF13191.8,170,a0d79afeb20bd32508|2d61e688c2afd3c7fa|2d61e688c2afd3c7fa|496821|NZ_CP012752.1:10494898-10520632(REV);610;1782;+,15.6,0.00018,391,12,46,29,61
AAA_16,PF13191.8,170,a0d79afeb20bd32508|2d61e688c2afd3c7fa|2d61e688c2afd3c7fa|496821|NZ_CP012752.1:10494898-10520632(REV);610;1782;+,15.6,0.00018,391,136,159,111,135
AAA_16,PF13191.8,170,a0d79afeb20bd32508|52d33540aac672e7f4|52d33540aac672e7f4|247021|NZ_CDME01000015.1:233056-258805(REV);2038;3210;+,14.4,0.00041,391,17,45,34,60
AAA_16,PF13191.8,170,a0d79afeb20bd32508|52d33540aac672e7f4|52d33540aac672e7f4|247021|NZ_CDME01000015.1:233056-258805(REV);2038;3210;+,14.4,0.00041,391,136,158,111,134
AAA_16,PF13191.8,170,a0d79afeb20bd32508|ec7de90950e7377588|ec7de90950e7377588|72161|NZ_AXWW01000047.1:52586-74388(FWD);13384;19344;+,13.9,0.00058,1987,4,135,749,878
AAA_16,PF13191.8,170,a0d79afeb20bd32508|13f585ef25c9bc16a0|13f585ef25c9bc16a0|3677611|NZ_VFPP01000001.1:8897243-8923007(REV);13359;19127;+,13.6,0.00076,1923,8,31,239,265
AAA_16,PF13191.8,170,a0d79afeb20bd32508|13f585ef25c9bc16a0|13f585ef25c9bc16a0|3677611|NZ_VFPP01000001.1:8897243-8923007(REV);13359;19127;+,13.6,0.00076,1923,4,88,685,759
AAA_16,PF13191.8,170,a0d79afeb20bd32508|13f585ef25c9bc16a0|13f585ef25c9bc16a0|3677611|NZ_VFPP01000001.1:8897243-8923007(REV);13359;19127;+,13.6,0.00076,1923,66,107,1038,1083
AAA_16,PF13191.8,170,a0d79afeb20bd32508|a0d79afeb20bd32508|a0d79afeb20bd32508|1564551|NZ_PTIX01000013.1:56848-82618(FWD);13327;19206;+,13.1,0.0011,1960,4,138,734,865
AAA_21,PF13304.8,304,a0d79afeb20bd32508|251f54d8e7bd37e2b0|251f54d8e7bd37e2b0|983251|NZ_MTQO01000040.1:216573-242307(FWD);948;1709;+,28.6,1.4e-08,254,0,34,47,78
AAA_21,PF13304.8,304,a0d79afeb20bd32508|251f54d8e7bd37e2b0|251f54d8e7bd37e2b0|983251|NZ_MTQO01000040.1:216573-242307(FWD);948;1709;+,28.6,1.4e-08,254,234,300,151,215
