Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	2a89c5bbdcfcb0cd2a|66d11153b5d8c00d2e|66d11153b5d8c00d2e|2068071|NZ_CP023865.1:2732431-2758198(FWD)_17	270	284	1.6e-08	28.7	16637	17446	2a89c5bbdcfcb0cd2a|66d11153b5d8c00d2e|66d11153b5d8c00d2e|2068071|NZ_CP023865.1:2732431-2758198(FWD)	17	0.29259259259259257	0.2676056338028169	-1
Cas3_0_CAS-I-D	2a89c5bbdcfcb0cd2a|05ee5a124180059d5f|05ee5a124180059d5f|1769821|NZ_QLMJ01000018.1:35165-60917(REV)_2	609	626	0.0019	10.6	706	2532	2a89c5bbdcfcb0cd2a|05ee5a124180059d5f|05ee5a124180059d5f|1769821|NZ_QLMJ01000018.1:35165-60917(REV)	2	0.14614121510673234	0.14376996805111822	-1
Cas3_0_CAS-I-D	2a89c5bbdcfcb0cd2a|088959b02d8641eceb|088959b02d8641eceb|1716311|NZ_QGGR01000014.1:47625-73389(REV)_2	765	626	0.002	10.5	1455	3749	2a89c5bbdcfcb0cd2a|088959b02d8641eceb|088959b02d8641eceb|1716311|NZ_QGGR01000014.1:47625-73389(REV)	2	0.11372549019607843	0.14057507987220447	-1
Cas3_0_CAS-I-D	2a89c5bbdcfcb0cd2a|10056ebb696a0b8c33|10056ebb696a0b8c33|1154431|NZ_FZNR01000007.1:37983-63747(FWD)_4	633	626	0.00015	14.3	2546	4444	2a89c5bbdcfcb0cd2a|10056ebb696a0b8c33|10056ebb696a0b8c33|1154431|NZ_FZNR01000007.1:37983-63747(FWD)	4	0.14218009478672985	0.14536741214057508	-1
Cas3_0_CAS-I-D	2a89c5bbdcfcb0cd2a|33ba25e81458db02a8|33ba25e81458db02a8|883411|NZ_FONV01000007.1:262247-288008(REV)_3	733	626	0.0011	11.4	1451	3649	2a89c5bbdcfcb0cd2a|33ba25e81458db02a8|33ba25e81458db02a8|883411|NZ_FONV01000007.1:262247-288008(REV)	3	0.13233287858117326	0.15495207667731628	-1
Cas3_0_CAS-I-D	2a89c5bbdcfcb0cd2a|5d5eb97cbe353a9fda|5d5eb97cbe353a9fda|2198851|NZ_AP019371.1:8170845-8196597(REV)_2	720	626	0.0011	11.4	1392	3551	2a89c5bbdcfcb0cd2a|5d5eb97cbe353a9fda|5d5eb97cbe353a9fda|2198851|NZ_AP019371.1:8170845-8196597(REV)	2	0.14305555555555555	0.1645367412140575	-1
Cas3_0_CAS-I-D	2a89c5bbdcfcb0cd2a|66d11153b5d8c00d2e|66d11153b5d8c00d2e|2068071|NZ_CP023865.1:2732431-2758198(FWD)_4	628	626	0.0018	10.7	4403	6286	2a89c5bbdcfcb0cd2a|66d11153b5d8c00d2e|66d11153b5d8c00d2e|2068071|NZ_CP023865.1:2732431-2758198(FWD)	4	0.14171974522292993	0.14376996805111822	-1
Cas3_0_CAS-I-D	2a89c5bbdcfcb0cd2a|6876921e23bcb6b1d6|6876921e23bcb6b1d6|316721|NZ_JZKF01000138.1:0-13900(REV)_2	633	626	0.0017	10.8	158	2056	2a89c5bbdcfcb0cd2a|6876921e23bcb6b1d6|6876921e23bcb6b1d6|316721|NZ_JZKF01000138.1:0-13900(REV)	2	0.13902053712480253	0.14217252396166133	-1
Cas3_0_CAS-I-D	2a89c5bbdcfcb0cd2a|8e62ea6aa72b97830f|8e62ea6aa72b97830f|8658651|NZ_JADQTO010000003.1:257421-283182(FWD)_3	675	626	0.0035	9.8	2334	4358	2a89c5bbdcfcb0cd2a|8e62ea6aa72b97830f|8e62ea6aa72b97830f|8658651|NZ_JADQTO010000003.1:257421-283182(FWD)	3	0.15259259259259259	0.1645367412140575	-1
Cas3_0_CAS-I-D	2a89c5bbdcfcb0cd2a|9cac288bbc758d20ea|9cac288bbc758d20ea|408138|NC_017093.1:5377735-5403487(REV)_2	627	626	0.0023	10.3	1007	2887	2a89c5bbdcfcb0cd2a|9cac288bbc758d20ea|9cac288bbc758d20ea|408138|NC_017093.1:5377735-5403487(REV)	2	0.1419457735247209	0.14376996805111822	-1
Cas3_0_CAS-I-D	2a89c5bbdcfcb0cd2a|d4732bdf0a1e884f35|d4732bdf0a1e884f35|1053561|NZ_LT827010.1:2822849-2848595(FWD)_2	776	626	0.00081	11.9	2266	4593	2a89c5bbdcfcb0cd2a|d4732bdf0a1e884f35|d4732bdf0a1e884f35|1053561|NZ_LT827010.1:2822849-2848595(FWD)	2	0.11597938144329897	0.14536741214057508	-1
Cas3_1_CAS-I-D	2a89c5bbdcfcb0cd2a|088959b02d8641eceb|088959b02d8641eceb|1716311|NZ_QGGR01000014.1:47625-73389(REV)_2	765	353	0.0042	10.4	1455	3749	2a89c5bbdcfcb0cd2a|088959b02d8641eceb|088959b02d8641eceb|1716311|NZ_QGGR01000014.1:47625-73389(REV)	2	0.05620915032679739	0.12181303116147309	-1
Csf4_1_IVA1	2a89c5bbdcfcb0cd2a|66d11153b5d8c00d2e|66d11153b5d8c00d2e|2068071|NZ_CP023865.1:2732431-2758198(FWD)_17	270	802	7e-05	15.3	16637	17446	2a89c5bbdcfcb0cd2a|66d11153b5d8c00d2e|66d11153b5d8c00d2e|2068071|NZ_CP023865.1:2732431-2758198(FWD)	17	0.5111111111111111	0.17206982543640897	-1
