Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_1_CAS-III-A	f45a906808c45716e4|0210f985e0ef2ede41|0210f985e0ef2ede41|148681|NZ_JFZT01000047.1:63370-87480(REV)_22	123	335	0.024	9.3	13373	13741	f45a906808c45716e4|0210f985e0ef2ede41|0210f985e0ef2ede41|148681|NZ_JFZT01000047.1:63370-87480(REV)	22	0.6910569105691057	0.23582089552238805	1
AbiEii_1_CAS-III-A	f45a906808c45716e4|539d2117c989441cd9|539d2117c989441cd9|115011|NZ_ASRH01000004.1:77507-103241(FWD)_25	128	335	0.0062	11.3	15001	15384	f45a906808c45716e4|539d2117c989441cd9|539d2117c989441cd9|115011|NZ_ASRH01000004.1:77507-103241(FWD)	25	0.65625	0.23283582089552238	1
AbiEii_1_CAS-III-A	f45a906808c45716e4|7f1ffbfc9e5ccc4acc|7d5f10b601b9429642|6721981|NZ_CP029288.2:1303534-1329268(FWD)_23	129	335	0.0092	10.7	14998	15384	f45a906808c45716e4|7f1ffbfc9e5ccc4acc|7d5f10b601b9429642|6721981|NZ_CP029288.2:1303534-1329268(FWD)	23	0.6666666666666666	0.23880597014925373	1
AbiEii_1_CAS-III-A	f45a906808c45716e4|7f1ffbfc9e5ccc4acc|7f1ffbfc9e5ccc4acc|1084811|NZ_CP020477.1:1550598-1576332(FWD)_23	129	335	0.0041	11.9	14997	15383	f45a906808c45716e4|7f1ffbfc9e5ccc4acc|7f1ffbfc9e5ccc4acc|1084811|NZ_CP020477.1:1550598-1576332(FWD)	23	0.6666666666666666	0.23880597014925373	1
AbiEii_1_CAS-III-A	f45a906808c45716e4|8bdebaf4df9d3ccb8f|8bdebaf4df9d3ccb8f|EARTH_3300005964_14|3300005964.a:Ga0081529_120460:18125-43862(REV)_23	127	335	0.006	11.3	15032	15412	f45a906808c45716e4|8bdebaf4df9d3ccb8f|8bdebaf4df9d3ccb8f|EARTH_3300005964_14|3300005964.a:Ga0081529_120460:18125-43862(REV)	23	0.6535433070866141	0.26865671641791045	1
AbiEii_1_CAS-III-A	f45a906808c45716e4|8c7452391f74e7d04c|37f68c16ef328f2feb|6721971|NZ_CP029287.2:1325941-1351678(REV)_24	129	335	0.0064	11.2	14995	15381	f45a906808c45716e4|8c7452391f74e7d04c|37f68c16ef328f2feb|6721971|NZ_CP029287.2:1325941-1351678(REV)	24	0.6744186046511628	0.2417910447761194	1
AbiEii_1_CAS-III-A	f45a906808c45716e4|8c7452391f74e7d04c|8c7452391f74e7d04c|7280851|NZ_CP049074.1:1006504-1032241(FWD)_23	129	335	0.0049	11.6	14999	15385	f45a906808c45716e4|8c7452391f74e7d04c|8c7452391f74e7d04c|7280851|NZ_CP049074.1:1006504-1032241(FWD)	23	0.6666666666666666	0.23880597014925373	1
AbiEii_1_CAS-III-A	f45a906808c45716e4|97007dff1bea810bea|97007dff1bea810bea|5366641|NZ_CP045483.1:349947-375678(FWD)_23	126	335	0.018	9.8	15021	15398	f45a906808c45716e4|97007dff1bea810bea|97007dff1bea810bea|5366641|NZ_CP045483.1:349947-375678(FWD)	23	0.6349206349206349	0.22686567164179106	1
AbiEii_1_CAS-III-A	f45a906808c45716e4|f45a906808c45716e4|f45a906808c45716e4|37708|NC_009440.1:57118-82864(FWD)_23	129	335	0.006	11.3	15009	15395	f45a906808c45716e4|f45a906808c45716e4|f45a906808c45716e4|37708|NC_009440.1:57118-82864(FWD)	23	0.6744186046511628	0.2417910447761194	1
Cas12f2_1_CAS-V-F	f45a906808c45716e4|12baee9522beeb3702|12baee9522beeb3702|790561|NZ_CP017006.1:443149-468886(FWD)_21	71	422	0.0022	12.7	14083	14295	f45a906808c45716e4|12baee9522beeb3702|12baee9522beeb3702|790561|NZ_CP017006.1:443149-468886(FWD)	21	0.5211267605633803	0.08767772511848342	1
Cas12f2_1_CAS-V-F	f45a906808c45716e4|539d2117c989441cd9|539d2117c989441cd9|115011|NZ_ASRH01000004.1:77507-103241(FWD)_22	73	422	0.0071	11.0	14078	14296	f45a906808c45716e4|539d2117c989441cd9|539d2117c989441cd9|115011|NZ_ASRH01000004.1:77507-103241(FWD)	22	0.5068493150684932	0.08767772511848342	1
Cas12f2_1_CAS-V-F	f45a906808c45716e4|7207834d158b0ab8d4|7207834d158b0ab8d4|6721991|NZ_CP029289.2:1340278-1366012(REV)_20	73	422	0.0031	12.2	14079	14297	f45a906808c45716e4|7207834d158b0ab8d4|7207834d158b0ab8d4|6721991|NZ_CP029289.2:1340278-1366012(REV)	20	0.5068493150684932	0.08767772511848342	1
Cas12f2_1_CAS-V-F	f45a906808c45716e4|7f1ffbfc9e5ccc4acc|7d5f10b601b9429642|6721981|NZ_CP029288.2:1303534-1329268(FWD)_20	73	422	0.00084	14.1	14081	14299	f45a906808c45716e4|7f1ffbfc9e5ccc4acc|7d5f10b601b9429642|6721981|NZ_CP029288.2:1303534-1329268(FWD)	20	0.5205479452054794	0.09004739336492891	1
