query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh,PF00389.32,134,2bce6e5989f64eecdf|8273e7177f4d42ffc6|8273e7177f4d42ffc6|649658|NZ_KB217478.1:2997109-3022492(FWD);2992;4239;-,8.2,0.18,416,22,59,101,138
2-Hacid_dh,PF00389.32,134,2bce6e5989f64eecdf|8273e7177f4d42ffc6|8273e7177f4d42ffc6|649658|NZ_KB217478.1:2997109-3022492(FWD);2992;4239;-,8.2,0.18,416,52,68,222,238
2-Hacid_dh,PF00389.32,134,2bce6e5989f64eecdf|8273e7177f4d42ffc6|8273e7177f4d42ffc6|649658|NZ_KB217478.1:2997109-3022492(FWD);2992;4239;-,8.2,0.18,416,25,66,270,312
2-Hacid_dh,PF00389.32,134,2bce6e5989f64eecdf|8273e7177f4d42ffc6|8273e7177f4d42ffc6|649658|NZ_KB217478.1:2997109-3022492(FWD);2992;4239;-,8.2,0.18,416,50,71,374,396
2-Hacid_dh_C,PF02826.21,178,2bce6e5989f64eecdf|87ddc4ab3812eb7f51|87ddc4ab3812eb7f51|8831111|JAECZB010000092.1:219460-245167(FWD);22972;24261;-,19.2,5.7e-05,430,27,67,214,254
2-Hacid_dh_C,PF02826.21,178,2bce6e5989f64eecdf|87ddc4ab3812eb7f51|87ddc4ab3812eb7f51|8831111|JAECZB010000092.1:219460-245167(FWD);22972;24261;-,19.2,5.7e-05,430,40,51,411,422
23S_rRNA_IVP,PF05635.13,106,2bce6e5989f64eecdf|9dd4c34156bcd5706b|80765009f9c74587d2|49381|NZ_KE650771.1:4967978-4993688(REV);13267;13620;+,82.7,1.9e-24,118,3,105,3,107
23S_rRNA_IVP,PF05635.13,106,2bce6e5989f64eecdf|9dd4c34156bcd5706b|651e898008a4eaafc1|616198|NZ_AJLK01000056.1:0-4380(FWD);2427;2780;+,81.3,5.1e-24,118,3,105,3,107
2_5_RNA_ligase2,PF13563.8,153,2bce6e5989f64eecdf|cf3e820174321f736e|cf3e820174321f736e|1232451|NZ_AP018227.1:3584319-3610050(REV);17724;18389;-,20.0,5.1e-05,222,105,135,44,76
2_5_RNA_ligase2,PF13563.8,153,2bce6e5989f64eecdf|cf3e820174321f736e|cf3e820174321f736e|1232451|NZ_AP018227.1:3584319-3610050(REV);17724;18389;-,20.0,5.1e-05,222,25,142,48,193
3Beta_HSD,PF01073.21,280,2bce6e5989f64eecdf|191bfd6885f87d5299|21d69685fe858fdb97|5358061|NZ_VILB01000002.1:144574-170278(FWD);2826;3773;-,58.5,4.8e-17,316,0,228,4,230
3Beta_HSD,PF01073.21,280,2bce6e5989f64eecdf|e7773432af0e71c1f7|e7773432af0e71c1f7|2195301|AP018269.1:6736248-6761955(REV);2637;3464;+,23.2,2.9e-06,276,0,77,12,84
3Beta_HSD,PF01073.21,280,2bce6e5989f64eecdf|e7773432af0e71c1f7|e7773432af0e71c1f7|2195301|AP018269.1:6736248-6761955(REV);2637;3464;+,23.2,2.9e-06,276,84,132,116,163
3D,PF06725.13,75,2bce6e5989f64eecdf|8880ada6e50975e092|fff8ca0c1b51b30d0d|1110041|NZ_MTAV01000111.1:0-19559(FWD);14373;15635;+,79.8,1.2e-23,421,0,74,333,414
3HCDH_N,PF02737.20,180,2bce6e5989f64eecdf|dd13f6bb31139b60d1|72072a7bfe62edf275|786451|NZ_KV757782.1:3810-29517(REV);2706;3431;-,13.1,0.0064,242,2,67,20,86
3HCDH_N,PF02737.20,180,2bce6e5989f64eecdf|dd13f6bb31139b60d1|72072a7bfe62edf275|786451|NZ_KV757782.1:3810-29517(REV);2706;3431;-,13.1,0.0064,242,49,53,196,200
3HCDH_N,PF02737.20,180,2bce6e5989f64eecdf|71db47efec036a3000|71db47efec036a3000|2318131|AP018280.1:1589805-1615512(FWD);10044;11582;+,13.0,0.0067,513,2,65,53,117
3HCDH_N,PF02737.20,180,2bce6e5989f64eecdf|d2e67cb967c2977a2f|5b8f0e403410b2c574|1152681|NZ_BDUC01000001.1:1301644-1327351(FWD);10143;11687;+,12.7,0.0084,515,3,86,54,138
3HCDH_N,PF02737.20,180,2bce6e5989f64eecdf|84eff93e3cb8dc70bd|84eff93e3cb8dc70bd|739281|NZ_KQ976354.1:2373408-2399115(FWD);10056;11594;+,11.9,0.014,513,3,74,54,126
3HCDH_N,PF02737.20,180,2bce6e5989f64eecdf|191bfd6885f87d5299|21d69685fe858fdb97|5358061|NZ_VILB01000002.1:144574-170278(FWD);2826;3773;-,11.9,0.014,316,3,41,5,44
3HCDH_N,PF02737.20,180,2bce6e5989f64eecdf|191bfd6885f87d5299|21d69685fe858fdb97|5358061|NZ_VILB01000002.1:144574-170278(FWD);2826;3773;-,11.9,0.014,316,68,90,218,241
3HCDH_N,PF02737.20,180,2bce6e5989f64eecdf|191bfd6885f87d5299|21d69685fe858fdb97|5358061|NZ_VILB01000002.1:144574-170278(FWD);2826;3773;-,11.9,0.014,316,23,66,247,291
3HCDH_N,PF02737.20,180,2bce6e5989f64eecdf|2bce6e5989f64eecdf|2bce6e5989f64eecdf|521618|NC_019757.1:1105428-1131237(FWD);10198;11742;+,11.5,0.02,515,3,65,54,117
3HCDH_N,PF02737.20,180,2bce6e5989f64eecdf|d2e67cb967c2977a2f|d2e67cb967c2977a2f|124151|NZ_KK073768.1:373823-399530(FWD);9903;11504;+,11.4,0.021,534,3,86,72,156
4HBT,PF03061.24,79,2bce6e5989f64eecdf|e9c2745a502f4f9f7c|78c0392ce2952e610b|1232401|NZ_AP018207.1:2261042-2286749(FWD);13444;13863;+,35.8,7e-10,140,0,64,19,85
4HBT_2,PF13279.8,123,2bce6e5989f64eecdf|e9c2745a502f4f9f7c|78c0392ce2952e610b|1232401|NZ_AP018207.1:2261042-2286749(FWD);13444;13863;+,43.1,5.1e-12,140,0,108,11,119
5_nucleotid,PF05761.16,461,2bce6e5989f64eecdf|bdc8d46cb09a2a0ff9|fd89f57626adc2a677|1232421|NZ_AP018222.1:5315892-5341599(FWD);18382;18600;+,9.4,0.041,73,341,400,11,69
5_nucleotid_C,PF02872.20,158,2bce6e5989f64eecdf|27513fb9ff4dbd8354|27513fb9ff4dbd8354|1232571|NZ_AP018289.1:145295-170638(REV);22589;24640;-,93.7,1.2e-27,684,2,154,411,609
5_nucleotid_C,PF02872.20,158,2bce6e5989f64eecdf|27513fb9ff4dbd8354|14d9d058cced2f9d3c|8831121|NZ_JAECZC010000010.1:23844-49551(REV);22651;24702;-,93.2,1.7e-27,684,2,154,411,609
