query_id,query_accession, query_len,hit_id,hit_evalue,target_length
2-Hacid_dh,PF00389.32,134,7205dff302ff900300|c049d69fedb1076310|c049d69fedb1076310|9164511|JADJPM010000004.1:2774868-2801688(FWD);692;1648;-,2e-27,319
2-Hacid_dh,PF00389.32,134,7205dff302ff900300|25a84f0f169dd7b3a9|48b908d6cb2b66107b|EARTH_3300025409_9|3300025409.a:Ga0208321_1000009:189792-216594(FWD);19215;19979;+,0.0031,255
2-Hacid_dh_C,PF02826.21,178,7205dff302ff900300|c049d69fedb1076310|c049d69fedb1076310|9164511|JADJPM010000004.1:2774868-2801688(FWD);692;1648;-,7.3e-58,319
2-Hacid_dh_C,PF02826.21,178,7205dff302ff900300|91e57b31ad27b8f440|91e57b31ad27b8f440|6943371|JAAYDL010000118.1:0-15340(REV);869;2272;+,1.3e-06,468
2-ph_phosp,PF04029.16,226,7205dff302ff900300|c049d69fedb1076310|c049d69fedb1076310|9164511|JADJPM010000004.1:2774868-2801688(FWD);21810;22718;-,0.0022,303
23S_rRNA_IVP,PF05635.13,106,7205dff302ff900300|149353d29eaa6fc570|149353d29eaa6fc570|833071|MGVE01000018.1:5630-32327(FWD);7709;8215;+,4.6e-24,169
23S_rRNA_IVP,PF05635.13,106,7205dff302ff900300|c049d69fedb1076310|c049d69fedb1076310|9164511|JADJPM010000004.1:2774868-2801688(FWD);11904;12440;+,1e-21,179
3Beta_HSD,PF01073.21,280,7205dff302ff900300|940b48332f6a9fa2c5|940b48332f6a9fa2c5|835721|MHGQ01000070.1:18360-33698(FWD);6239;7315;+,6.1e-08,359
3HCDH_N,PF02737.20,180,7205dff302ff900300|7205dff302ff900300|7205dff302ff900300|9214191|JAEUHJ010000172.1:27608-54452(REV);20796;21878;-,0.018,361
3HCDH_RFF,PF18321.3,69,7205dff302ff900300|4f0141d1c2cde98b72|4f0141d1c2cde98b72|7802151|CAIQQM010000018.1:99755-115906(FWD);1210;1866;-,9.3e-05,219
5_3_exonuc,PF01367.22,97,7205dff302ff900300|49171fcf208358b96f|49171fcf208358b96f|EARTH_3300018018_28|3300018018.a:Ga0187886_1002393:0-15169(REV);12476;13963;-,0.00013,496
A2L_zn_ribbon,PF08792.12,33,7205dff302ff900300|90550fdec598b3f625|90550fdec598b3f625|EARTH_3300027706_37|3300027706.a:Ga0209581_1000448:58798-85612(REV);25528;26127;-,0.0005,200
AAA,PF00004.31,132,7205dff302ff900300|91e57b31ad27b8f440|91e57b31ad27b8f440|6943371|JAAYDL010000118.1:0-15340(REV);2402;3652;-,2e-18,417
AAA,PF00004.31,132,7205dff302ff900300|25a84f0f169dd7b3a9|48b908d6cb2b66107b|EARTH_3300025409_9|3300025409.a:Ga0208321_1000009:189792-216594(FWD);19961;21325;+,4.7e-07,455
AAA,PF00004.31,132,7205dff302ff900300|17d81b33487932bcde|17d81b33487932bcde|EARTH_3300005529_32|3300005529.a:Ga0070741_10000008:261017-287822(REV);1458;3275;+,0.00041,606
AAA,PF00004.31,132,7205dff302ff900300|7205dff302ff900300|7205dff302ff900300|9214191|JAEUHJ010000172.1:27608-54452(REV);1565;2347;+,0.00076,261
AAA,PF00004.31,132,7205dff302ff900300|b3846b384bbb30d475|b3846b384bbb30d475|8895251|JACPAV010000038.1:0-18703(FWD);11182;12183;-,0.0015,334
AAA_13,PF13166.8,713,7205dff302ff900300|af2696eca2ad50ea35|af2696eca2ad50ea35|1220141|DDQZ01000046.1:95338-116726(REV);11005;11790;+,0.005,262
AAA_14,PF13173.8,130,7205dff302ff900300|91e57b31ad27b8f440|91e57b31ad27b8f440|6943371|JAAYDL010000118.1:0-15340(REV);2402;3652;-,8.6e-06,417
AAA_14,PF13173.8,130,7205dff302ff900300|af2696eca2ad50ea35|af2696eca2ad50ea35|1220141|DDQZ01000046.1:95338-116726(REV);17926;18690;-,0.0021,255
AAA_16,PF13191.8,170,7205dff302ff900300|91e57b31ad27b8f440|91e57b31ad27b8f440|6943371|JAAYDL010000118.1:0-15340(REV);2402;3652;-,8.7e-07,417
AAA_16,PF13191.8,170,7205dff302ff900300|b3846b384bbb30d475|b3846b384bbb30d475|8895251|JACPAV010000038.1:0-18703(FWD);11182;12183;-,2.8e-06,334
AAA_16,PF13191.8,170,7205dff302ff900300|af2696eca2ad50ea35|af2696eca2ad50ea35|1220141|DDQZ01000046.1:95338-116726(REV);17926;18690;-,9.6e-06,255
AAA_16,PF13191.8,170,7205dff302ff900300|af2696eca2ad50ea35|af2696eca2ad50ea35|1220141|DDQZ01000046.1:95338-116726(REV);11005;11790;+,1.5e-05,262
AAA_16,PF13191.8,170,7205dff302ff900300|af2696eca2ad50ea35|af2696eca2ad50ea35|1220141|DDQZ01000046.1:95338-116726(REV);13100;14839;+,7.9e-05,580
AAA_16,PF13191.8,170,7205dff302ff900300|25a84f0f169dd7b3a9|48b908d6cb2b66107b|EARTH_3300025409_9|3300025409.a:Ga0208321_1000009:189792-216594(FWD);19961;21325;+,0.00014,455
AAA_16,PF13191.8,170,7205dff302ff900300|7205dff302ff900300|7205dff302ff900300|9214191|JAEUHJ010000172.1:27608-54452(REV);1565;2347;+,0.00042,261
AAA_16,PF13191.8,170,7205dff302ff900300|90550fdec598b3f625|90550fdec598b3f625|EARTH_3300027706_37|3300027706.a:Ga0209581_1000448:58798-85612(REV);3924;6068;-,0.00047,715
AAA_16,PF13191.8,170,7205dff302ff900300|149353d29eaa6fc570|149353d29eaa6fc570|833071|MGVE01000018.1:5630-32327(FWD);2171;4129;+,0.00049,653
AAA_16,PF13191.8,170,7205dff302ff900300|17d81b33487932bcde|17d81b33487932bcde|EARTH_3300005529_32|3300005529.a:Ga0070741_10000008:261017-287822(REV);1458;3275;+,0.0009,606
AAA_17,PF13207.8,136,7205dff302ff900300|90550fdec598b3f625|90550fdec598b3f625|EARTH_3300027706_37|3300027706.a:Ga0209581_1000448:58798-85612(REV);25528;26127;-,1.4e-09,200
AAA_18,PF13238.8,129,7205dff302ff900300|b3846b384bbb30d475|b3846b384bbb30d475|8895251|JACPAV010000038.1:0-18703(FWD);11182;12183;-,5.5e-07,334
AAA_18,PF13238.8,129,7205dff302ff900300|af2696eca2ad50ea35|af2696eca2ad50ea35|1220141|DDQZ01000046.1:95338-116726(REV);17926;18690;-,3.8e-05,255
AAA_18,PF13238.8,129,7205dff302ff900300|91e57b31ad27b8f440|91e57b31ad27b8f440|6943371|JAAYDL010000118.1:0-15340(REV);2402;3652;-,8.4e-05,417
AAA_18,PF13238.8,129,7205dff302ff900300|17d81b33487932bcde|17d81b33487932bcde|EARTH_3300005529_32|3300005529.a:Ga0070741_10000008:261017-287822(REV);1458;3275;+,0.001,606
AAA_18,PF13238.8,129,7205dff302ff900300|af2696eca2ad50ea35|af2696eca2ad50ea35|1220141|DDQZ01000046.1:95338-116726(REV);11005;11790;+,0.0022,262
AAA_19,PF13245.8,147,7205dff302ff900300|91e57b31ad27b8f440|91e57b31ad27b8f440|6943371|JAAYDL010000118.1:0-15340(REV);2402;3652;-,0.0012,417
AAA_2,PF07724.16,171,7205dff302ff900300|91e57b31ad27b8f440|91e57b31ad27b8f440|6943371|JAAYDL010000118.1:0-15340(REV);2402;3652;-,1.3e-48,417
AAA_2,PF07724.16,171,7205dff302ff900300|25a84f0f169dd7b3a9|48b908d6cb2b66107b|EARTH_3300025409_9|3300025409.a:Ga0208321_1000009:189792-216594(FWD);19961;21325;+,7.5e-06,455
AAA_21,PF13304.8,304,7205dff302ff900300|7205dff302ff900300|7205dff302ff900300|9214191|JAEUHJ010000172.1:27608-54452(REV);1565;2347;+,5.1e-09,261
AAA_21,PF13304.8,304,7205dff302ff900300|af2696eca2ad50ea35|af2696eca2ad50ea35|1220141|DDQZ01000046.1:95338-116726(REV);11005;11790;+,1.5e-07,262
