Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	4a23bcab7c50591a6a|225e4d0c80a2ec7a39|f62b15e503380b2880|307961|NZ_JYBP01000003.1:1576247-1601546(REV)_19	265	284	0.0028	14.8	18407	19201	4a23bcab7c50591a6a|225e4d0c80a2ec7a39|f62b15e503380b2880|307961|NZ_JYBP01000003.1:1576247-1601546(REV)	19	0.4188679245283019	0.3732394366197183	1
AbiEii_0_CAS-III	4a23bcab7c50591a6a|2b820adbb295a2dde0|2b820adbb295a2dde0|4344101|NZ_CABKUJ010000005.1:59018-84413(FWD)_1	489	284	1.9e-05	21.9	1	1467	4a23bcab7c50591a6a|2b820adbb295a2dde0|2b820adbb295a2dde0|4344101|NZ_CABKUJ010000005.1:59018-84413(FWD)	1	0.25153374233128833	0.3767605633802817	1
AbiEii_0_CAS-III	4a23bcab7c50591a6a|2f54340826796a0047|089dcc493542bcfdef|8225151|NZ_JACJNU010000053.1:265611-291006(FWD)_1	175	284	3.9e-06	24.2	1	525	4a23bcab7c50591a6a|2f54340826796a0047|089dcc493542bcfdef|8225151|NZ_JACJNU010000053.1:265611-291006(FWD)	1	0.36	0.21830985915492956	-1
AbiEii_0_CAS-III	4a23bcab7c50591a6a|4a9e9616cf71f83846|4a9e9616cf71f83846|2316331|RDXX01000100.1:0-14276(FWD)_9	284	284	5.9e-09	33.4	10772	11623	4a23bcab7c50591a6a|4a9e9616cf71f83846|4a9e9616cf71f83846|2316331|RDXX01000100.1:0-14276(FWD)	9	0.4823943661971831	0.5633802816901409	-1
AbiEii_0_CAS-III	4a23bcab7c50591a6a|50ab6fdc961c784876|10a79c72cc4d97cd11|357721|NZ_CP009687.1:1217260-1242658(FWD)_8	652	284	5.4e-10	36.8	8346	10301	4a23bcab7c50591a6a|50ab6fdc961c784876|10a79c72cc4d97cd11|357721|NZ_CP009687.1:1217260-1242658(FWD)	8	0.44785276073619634	0.5809859154929577	1
AbiEii_0_CAS-III	4a23bcab7c50591a6a|50ab6fdc961c784876|10a79c72cc4d97cd11|357721|NZ_CP009687.1:2557038-2582436(REV)_11	367	284	8.3e-07	26.4	7541	8641	4a23bcab7c50591a6a|50ab6fdc961c784876|10a79c72cc4d97cd11|357721|NZ_CP009687.1:2557038-2582436(REV)	11	0.4087193460490463	0.5387323943661971	1
AbiEii_0_CAS-III	4a23bcab7c50591a6a|50ab6fdc961c784876|10a79c72cc4d97cd11|357721|NZ_CP009687.1:2760545-2785943(FWD)_10	247	284	2.2e-06	25.0	8425	9165	4a23bcab7c50591a6a|50ab6fdc961c784876|10a79c72cc4d97cd11|357721|NZ_CP009687.1:2760545-2785943(FWD)	10	0.3684210526315789	0.30633802816901406	-1
AbiEii_0_CAS-III	4a23bcab7c50591a6a|50ab6fdc961c784876|10a79c72cc4d97cd11|357721|NZ_CP009687.1:3032303-3057701(REV)_2	260	284	0.009	13.1	411	1190	4a23bcab7c50591a6a|50ab6fdc961c784876|10a79c72cc4d97cd11|357721|NZ_CP009687.1:3032303-3057701(REV)	2	0.34615384615384615	0.3345070422535211	1
AbiEii_0_CAS-III	4a23bcab7c50591a6a|50ab6fdc961c784876|10a79c72cc4d97cd11|357721|NZ_CP009687.1:3466519-3491917(REV)_23	223	284	0.00027	18.1	22588	23256	4a23bcab7c50591a6a|50ab6fdc961c784876|10a79c72cc4d97cd11|357721|NZ_CP009687.1:3466519-3491917(REV)	23	0.40358744394618834	0.2992957746478873	1
AbiEii_0_CAS-III	4a23bcab7c50591a6a|50ab6fdc961c784876|10a79c72cc4d97cd11|357721|NZ_CP009687.1:3466519-3491917(REV)_6	254	284	2.3e-09	34.7	4835	5596	4a23bcab7c50591a6a|50ab6fdc961c784876|10a79c72cc4d97cd11|357721|NZ_CP009687.1:3466519-3491917(REV)	6	0.6062992125984252	0.4788732394366197	1
