Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
2OG_1_CAS-I-II-III-IV-V-VI	99f6125a673bcd700d|e58f4f87bd1046e94b|e58f4f87bd1046e94b|8618631|NZ_LR797830.1:478008-503289(REV)_1	117	94	2.4e-12	43.0	1	351	99f6125a673bcd700d|e58f4f87bd1046e94b|e58f4f87bd1046e94b|8618631|NZ_LR797830.1:478008-503289(REV)	1	0.6581196581196581	0.851063829787234	1
AbiEii_0_CAS-III	99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:567061-592621(REV)_6	710	284	0.0017	13.5	6431	8560	99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:567061-592621(REV)	6	0.05352112676056338	0.06690140845070422	-1
AbiEii_0_CAS-III	99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:646356-671916(FWD)_18	406	284	1.9e-10	36.3	15369	16586	99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:646356-671916(FWD)	18	0.29310344827586204	0.3732394366197183	1
AbiEii_0_CAS-III	99f6125a673bcd700d|85031cb0676fa9e153|85031cb0676fa9e153|634458|NZ_KB901875.1:1910109-1935675(REV)_4	679	284	2.9e-05	19.3	3543	5579	99f6125a673bcd700d|85031cb0676fa9e153|85031cb0676fa9e153|634458|NZ_KB901875.1:1910109-1935675(REV)	4	0.09720176730486009	0.24295774647887325	-1
AbiEii_0_CAS-III	99f6125a673bcd700d|99bd15b1eeac1af837|99bd15b1eeac1af837|634458|NZ_KB901875.1:1742219-1767638(FWD)_22	283	284	0.0033	12.6	19888	20736	99f6125a673bcd700d|99bd15b1eeac1af837|99bd15b1eeac1af837|634458|NZ_KB901875.1:1742219-1767638(FWD)	22	0.10954063604240283	0.1056338028169014	1
AbiEii_0_CAS-III	99f6125a673bcd700d|99bd15b1eeac1af837|99bd15b1eeac1af837|634458|NZ_KB901875.1:1742219-1767638(FWD)_25	239	284	5.4e-06	21.7	22473	23189	99f6125a673bcd700d|99bd15b1eeac1af837|99bd15b1eeac1af837|634458|NZ_KB901875.1:1742219-1767638(FWD)	25	0.5648535564853556	0.4964788732394366	1
AbiEii_0_CAS-III	99f6125a673bcd700d|99bd15b1eeac1af837|99bd15b1eeac1af837|634458|NZ_KB901875.1:1742219-1767638(FWD)_26	157	284	0.00019	16.7	23143	23613	99f6125a673bcd700d|99bd15b1eeac1af837|99bd15b1eeac1af837|634458|NZ_KB901875.1:1742219-1767638(FWD)	26	0.4394904458598726	0.22535211267605634	1
AbiEii_0_CAS-III	99f6125a673bcd700d|af229556658ed479c2|af229556658ed479c2|634458|NZ_KB901875.1:609411-634671(FWD)_13	76	284	1.6e-09	33.3	9109	9336	99f6125a673bcd700d|af229556658ed479c2|af229556658ed479c2|634458|NZ_KB901875.1:609411-634671(FWD)	13	0.618421052631579	0.16549295774647887	1
AbiEii_0_CAS-III	99f6125a673bcd700d|af229556658ed479c2|af229556658ed479c2|634458|NZ_KB901875.1:609411-634671(FWD)_15	300	284	0.00036	15.7	10429	11328	99f6125a673bcd700d|af229556658ed479c2|af229556658ed479c2|634458|NZ_KB901875.1:609411-634671(FWD)	15	0.26	0.22887323943661972	1
AbiEii_0_CAS-III	99f6125a673bcd700d|e58f4f87bd1046e94b|e58f4f87bd1046e94b|8618631|NZ_LR797830.1:478008-503289(REV)_17	265	284	7.6e-07	24.5	15279	16073	99f6125a673bcd700d|e58f4f87bd1046e94b|e58f4f87bd1046e94b|8618631|NZ_LR797830.1:478008-503289(REV)	17	0.2830188679245283	0.2640845070422535	-1
AbiEii_1_CAS-III-A	99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:646356-671916(FWD)_18	406	335	1.3e-05	20.1	15369	16586	99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:646356-671916(FWD)	18	0.2660098522167488	0.33432835820895523	1
AbiEii_1_CAS-III-A	99f6125a673bcd700d|99bd15b1eeac1af837|99bd15b1eeac1af837|634458|NZ_KB901875.1:1742219-1767638(FWD)_25	239	335	0.012	10.3	22473	23189	99f6125a673bcd700d|99bd15b1eeac1af837|99bd15b1eeac1af837|634458|NZ_KB901875.1:1742219-1767638(FWD)	25	0.1087866108786611	0.07761194029850746	1
AbiEii_1_CAS-III-A	99f6125a673bcd700d|99bd15b1eeac1af837|99bd15b1eeac1af837|634458|NZ_KB901875.1:1742219-1767638(FWD)_26	157	335	5.1e-05	18.1	23143	23613	99f6125a673bcd700d|99bd15b1eeac1af837|99bd15b1eeac1af837|634458|NZ_KB901875.1:1742219-1767638(FWD)	26	0.29936305732484075	0.14626865671641792	1
AbiEii_1_CAS-III-A	99f6125a673bcd700d|af229556658ed479c2|af229556658ed479c2|634458|NZ_KB901875.1:609411-634671(FWD)_13	76	335	5.8e-05	17.9	9109	9336	99f6125a673bcd700d|af229556658ed479c2|af229556658ed479c2|634458|NZ_KB901875.1:609411-634671(FWD)	13	0.5131578947368421	0.11641791044776119	1
AbiEii_2_CAS-III-C	99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:646356-671916(FWD)_18	406	440	7e-08	27.7	15369	16586	99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:646356-671916(FWD)	18	0.2832512315270936	0.26590909090909093	1
AbiEii_2_CAS-III-C	99f6125a673bcd700d|99bd15b1eeac1af837|99bd15b1eeac1af837|634458|NZ_KB901875.1:1742219-1767638(FWD)_26	157	440	0.00073	14.4	23143	23613	99f6125a673bcd700d|99bd15b1eeac1af837|99bd15b1eeac1af837|634458|NZ_KB901875.1:1742219-1767638(FWD)	26	0.29936305732484075	0.10681818181818181	1
AbiEii_2_CAS-III-C	99f6125a673bcd700d|af229556658ed479c2|af229556658ed479c2|634458|NZ_KB901875.1:609411-634671(FWD)_13	76	440	1.7e-05	19.7	9109	9336	99f6125a673bcd700d|af229556658ed479c2|af229556658ed479c2|634458|NZ_KB901875.1:609411-634671(FWD)	13	0.7894736842105263	0.1409090909090909	1
