Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	e8a14f064cce46f350|569520a45397be6564|569520a45397be6564|4970821|NZ_CP045096.1:7235818-7261552(REV)_1	141	284	0.011	12.2	2	424	e8a14f064cce46f350|569520a45397be6564|569520a45397be6564|4970821|NZ_CP045096.1:7235818-7261552(REV)	1	0.46808510638297873	0.2147887323943662	1
AbiEii_0_CAS-III	e8a14f064cce46f350|766e8a78aee3bf8641|766e8a78aee3bf8641|880371|NZ_FOUV01000018.1:138929-164759(FWD)_1	156	284	0.013	12.0	2	469	e8a14f064cce46f350|766e8a78aee3bf8641|766e8a78aee3bf8641|880371|NZ_FOUV01000018.1:138929-164759(FWD)	1	0.4230769230769231	0.2147887323943662	1
Cas10_0_CAS-III	e8a14f064cce46f350|569520a45397be6564|569520a45397be6564|4970821|NZ_CP045096.1:7235818-7261552(REV)_24	801	511	0.0046	12.7	22848	25250	e8a14f064cce46f350|569520a45397be6564|569520a45397be6564|4970821|NZ_CP045096.1:7235818-7261552(REV)	24	0.18851435705368288	0.2622309197651663	-1
Cas10_0_CAS-III	e8a14f064cce46f350|be8fb57404271633a1|be8fb57404271633a1|5131741|NZ_CP045643.1:3363262-3389482(FWD)_22	702	511	0.018	10.7	24113	26218	e8a14f064cce46f350|be8fb57404271633a1|be8fb57404271633a1|5131741|NZ_CP045643.1:3363262-3389482(FWD)	22	0.16809116809116809	0.21135029354207435	-1
Cas12e_0_CAS-V-E	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)_11	385	855	0.0064	11.5	10734	11888	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)	11	0.42337662337662335	0.18947368421052632	-1
Cas12f1_0_CAS-V-F	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)_11	385	512	2.1e-11	40.3	10734	11888	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)	11	0.38961038961038963	0.3125	-1
Cas12f1_1_CAS-V-F	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)_11	385	557	1.6999999999999998e-31	106.4	10734	11888	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)	11	0.5142857142857142	0.3895870736086176	-1
Cas12f1_2_CAS-V-F	e8a14f064cce46f350|a3386aa5824aa53bb7|a3386aa5824aa53bb7|2582471|NZ_CP021978.1:5888376-5914572(REV)_12	341	429	1.4e-07	27.7	11038	12060	e8a14f064cce46f350|a3386aa5824aa53bb7|a3386aa5824aa53bb7|2582471|NZ_CP021978.1:5888376-5914572(REV)	12	0.18181818181818182	0.14219114219114218	1
Cas12f1_2_CAS-V-F	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)_11	385	429	5e-43	144.6	10734	11888	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)	11	0.8415584415584415	0.7995337995337995	-1
Cas12f2_0_CAS-V-F	e8a14f064cce46f350|a3386aa5824aa53bb7|a3386aa5824aa53bb7|2582471|NZ_CP021978.1:5888376-5914572(REV)_12	341	517	2e-12	43.4	11038	12060	e8a14f064cce46f350|a3386aa5824aa53bb7|a3386aa5824aa53bb7|2582471|NZ_CP021978.1:5888376-5914572(REV)	12	0.2375366568914956	0.15667311411992263	1
Cas12f2_0_CAS-V-F	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)_11	385	517	2.9e-14	49.5	10734	11888	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)	11	0.4155844155844156	0.3191489361702128	-1
Cas12f2_1_CAS-V-F	e8a14f064cce46f350|18a47f59d2477cc3b5|18a47f59d2477cc3b5|8120021|NZ_BMSE01000017.1:113579-139871(FWD)_11	233	422	1.2e-34	117.1	10373	11071	e8a14f064cce46f350|18a47f59d2477cc3b5|18a47f59d2477cc3b5|8120021|NZ_BMSE01000017.1:113579-139871(FWD)	11	0.871244635193133	0.5308056872037915	1
Cas12f2_1_CAS-V-F	e8a14f064cce46f350|a3386aa5824aa53bb7|a3386aa5824aa53bb7|2582471|NZ_CP021978.1:5888376-5914572(REV)_12	341	422	6e-21	71.9	11038	12060	e8a14f064cce46f350|a3386aa5824aa53bb7|a3386aa5824aa53bb7|2582471|NZ_CP021978.1:5888376-5914572(REV)	12	0.20821114369501467	0.16587677725118483	1
Cas12f2_1_CAS-V-F	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)_11	385	422	1.3999999999999999e-39	133.2	10734	11888	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)	11	0.5454545454545454	0.5379146919431279	-1
Cas12f2_2_CAS-V-F	e8a14f064cce46f350|18a47f59d2477cc3b5|18a47f59d2477cc3b5|8120021|NZ_BMSE01000017.1:113579-139871(FWD)_11	233	493	1.2e-21	73.9	10373	11071	e8a14f064cce46f350|18a47f59d2477cc3b5|18a47f59d2477cc3b5|8120021|NZ_BMSE01000017.1:113579-139871(FWD)	11	0.8583690987124464	0.44421906693711966	1
Cas12f2_2_CAS-V-F	e8a14f064cce46f350|a3386aa5824aa53bb7|a3386aa5824aa53bb7|2582471|NZ_CP021978.1:5888376-5914572(REV)_12	341	493	4.3e-23	78.6	11038	12060	e8a14f064cce46f350|a3386aa5824aa53bb7|a3386aa5824aa53bb7|2582471|NZ_CP021978.1:5888376-5914572(REV)	12	0.3196480938416422	0.2231237322515213	1
Cas12f2_2_CAS-V-F	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)_11	385	493	5.7e-17	58.4	10734	11888	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)	11	0.4883116883116883	0.42190669371196754	-1
Cas12f3_0_CAS-V-F	e8a14f064cce46f350|18a47f59d2477cc3b5|18a47f59d2477cc3b5|8120021|NZ_BMSE01000017.1:113579-139871(FWD)_11	233	496	6.5e-11	38.7	10373	11071	e8a14f064cce46f350|18a47f59d2477cc3b5|18a47f59d2477cc3b5|8120021|NZ_BMSE01000017.1:113579-139871(FWD)	11	0.6652360515021459	0.3024193548387097	1
Cas12f3_0_CAS-V-F	e8a14f064cce46f350|a3386aa5824aa53bb7|a3386aa5824aa53bb7|2582471|NZ_CP021978.1:5888376-5914572(REV)_12	341	496	2.5e-06	23.6	11038	12060	e8a14f064cce46f350|a3386aa5824aa53bb7|a3386aa5824aa53bb7|2582471|NZ_CP021978.1:5888376-5914572(REV)	12	0.18475073313782991	0.10080645161290322	1
Cas12f3_0_CAS-V-F	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)_11	385	496	2.6e-16	56.5	10734	11888	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)	11	0.4987012987012987	0.3689516129032258	-1
Cas12f4_0_CAS-V-F	e8a14f064cce46f350|a3386aa5824aa53bb7|a3386aa5824aa53bb7|2582471|NZ_CP021978.1:5888376-5914572(REV)_12	341	577	3e-07	26.2	11038	12060	e8a14f064cce46f350|a3386aa5824aa53bb7|a3386aa5824aa53bb7|2582471|NZ_CP021978.1:5888376-5914572(REV)	12	0.18181818181818182	0.10745233968804159	1
Cas12f4_0_CAS-V-F	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)_11	385	577	1.4e-07	27.3	10734	11888	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)	11	0.5142857142857142	0.3119584055459272	-1
Cas12g_0_CAS-V-G	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)_11	385	771	0.00012	17.3	10734	11888	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)	11	0.3948051948051948	0.20233463035019456	-1
Cas12j_0_V-J	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)_11	385	758	2.5e-09	32.6	10734	11888	e8a14f064cce46f350|c023ca88937c7c2081|c023ca88937c7c2081|2224951|NZ_QBDT01000001.1:2278001-2304026(FWD)	11	0.3922077922077922	0.20580474934036938	-1
Cas7_2_CAS-I-B	e8a14f064cce46f350|b43c799ff495a9a033|571f56c465c7527a85|5451481|NZ_WOXS01000002.1:5548319-5574491(REV)_8	486	295	0.021	11.0	8039	9496	e8a14f064cce46f350|b43c799ff495a9a033|571f56c465c7527a85|5451481|NZ_WOXS01000002.1:5548319-5574491(REV)	8	0.07407407407407407	0.12203389830508475	1
Cas9_0_II	e8a14f064cce46f350|12445258897d542093|599eb412cf03dcc5fa|640518|NZ_BARF01000037.1:0-14639(FWD)_7	183	830	1.1e-05	20.9	6131	6679	e8a14f064cce46f350|12445258897d542093|599eb412cf03dcc5fa|640518|NZ_BARF01000037.1:0-14639(FWD)	7	0.40437158469945356	0.0891566265060241	-1
CasR_0_CAS-I-II-III-IV-V-VI	e8a14f064cce46f350|01eddc460dd69ee84f|01eddc460dd69ee84f|191301|KL574194.1:0-25483(REV)_23	216	198	2.6e-06	24.1	21086	21733	e8a14f064cce46f350|01eddc460dd69ee84f|01eddc460dd69ee84f|191301|KL574194.1:0-25483(REV)	23	0.2361111111111111	0.25757575757575757	-1
CasR_0_CAS-I-II-III-IV-V-VI	e8a14f064cce46f350|0b954b835bd65218ec|0b954b835bd65218ec|1096041|NZ_MRYD01000004.1:1935-28041(REV)_23	164	198	1.6e-06	24.8	24270	24761	e8a14f064cce46f350|0b954b835bd65218ec|0b954b835bd65218ec|1096041|NZ_MRYD01000004.1:1935-28041(REV)	23	0.3353658536585366	0.2777777777777778	1
CasR_0_CAS-I-II-III-IV-V-VI	e8a14f064cce46f350|0b954b835bd65218ec|693ff0112010eb8202|214371|NZ_CP009438.1:5157820-5183875(REV)_23	164	198	1.6e-06	24.8	24433	24924	e8a14f064cce46f350|0b954b835bd65218ec|693ff0112010eb8202|214371|NZ_CP009438.1:5157820-5183875(REV)	23	0.3353658536585366	0.2777777777777778	1
CasR_0_CAS-I-II-III-IV-V-VI	e8a14f064cce46f350|0e9632c6b90db652e1|0e9632c6b90db652e1|2114311|NZ_RKQI01000005.1:1318331-1344476(FWD)_22	164	198	2.1e-06	24.4	20834	21325	e8a14f064cce46f350|0e9632c6b90db652e1|0e9632c6b90db652e1|2114311|NZ_RKQI01000005.1:1318331-1344476(FWD)	22	0.3048780487804878	0.25252525252525254	-1
CasR_0_CAS-I-II-III-IV-V-VI	e8a14f064cce46f350|12445258897d542093|12445258897d542093|191471|NZ_JNXE01000013.1:159596-185720(REV)_22	197	198	1.2e-06	25.3	20419	21009	e8a14f064cce46f350|12445258897d542093|12445258897d542093|191471|NZ_JNXE01000013.1:159596-185720(REV)	22	0.25888324873096447	0.25757575757575757	-1
CasR_0_CAS-I-II-III-IV-V-VI	e8a14f064cce46f350|126555f9a5897a994e|2413c8cd16d5e1d7bf|869271|NZ_FNTD01000004.1:5282772-5308797(REV)_22	182	198	1.1e-05	22.1	20545	21090	e8a14f064cce46f350|126555f9a5897a994e|2413c8cd16d5e1d7bf|869271|NZ_FNTD01000004.1:5282772-5308797(REV)	22	0.2802197802197802	0.25757575757575757	-1
