Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	6bf6c4c7da68779d7a|116b969fb96f1ea855|116b969fb96f1ea855|4468671|NZ_VTAV01000006.1:104421-130236(FWD)_14	220	284	1.9e-06	23.1	18254	18913	6bf6c4c7da68779d7a|116b969fb96f1ea855|116b969fb96f1ea855|4468671|NZ_VTAV01000006.1:104421-130236(FWD)	14	0.5	0.4014084507042254	1
AbiEii_0_CAS-III	6bf6c4c7da68779d7a|116b969fb96f1ea855|5e5e5929c9cc142e04|6088031|NZ_JAAKGS010000007.1:182929-208744(REV)_12	220	284	2e-06	23.0	18342	19001	6bf6c4c7da68779d7a|116b969fb96f1ea855|5e5e5929c9cc142e04|6088031|NZ_JAAKGS010000007.1:182929-208744(REV)	12	0.45	0.34507042253521125	1
AbiEii_0_CAS-III	6bf6c4c7da68779d7a|67975483abd38d808e|67975483abd38d808e|1622601|NZ_PVBS01000003.1:176686-202258(REV)_16	220	284	1.6e-06	23.3	18431	19090	6bf6c4c7da68779d7a|67975483abd38d808e|67975483abd38d808e|1622601|NZ_PVBS01000003.1:176686-202258(REV)	16	0.4772727272727273	0.36619718309859156	1
AbiEii_0_CAS-III	6bf6c4c7da68779d7a|a4e8b47903e3186e9e|a4e8b47903e3186e9e|6598101|NZ_JAAUVN010000007.1:266549-292358(FWD)_20	561	284	2e-06	22.9	18520	20202	6bf6c4c7da68779d7a|a4e8b47903e3186e9e|a4e8b47903e3186e9e|6598101|NZ_JAAUVN010000007.1:266549-292358(FWD)	20	0.27629233511586454	0.323943661971831	1
AbiEii_0_CAS-III	6bf6c4c7da68779d7a|c18a3f3190b6fda7d3|5354e087feda95d152|2277231|NZ_SGIT01000005.1:68640-94452(FWD)_15	220	284	3.3e-06	22.2	19867	20526	6bf6c4c7da68779d7a|c18a3f3190b6fda7d3|5354e087feda95d152|2277231|NZ_SGIT01000005.1:68640-94452(FWD)	15	0.45	0.34507042253521125	1
AbiEii_0_CAS-III	6bf6c4c7da68779d7a|c18a3f3190b6fda7d3|91a55800eb8e14b462|8151911|NZ_JACOIK010000010.1:160949-186761(REV)_14	220	284	1.8e-06	23.1	19971	20630	6bf6c4c7da68779d7a|c18a3f3190b6fda7d3|91a55800eb8e14b462|8151911|NZ_JACOIK010000010.1:160949-186761(REV)	14	0.4590909090909091	0.352112676056338	1
AbiEii_0_CAS-III	6bf6c4c7da68779d7a|c18a3f3190b6fda7d3|c18a3f3190b6fda7d3|8140331|NZ_JACNYL010000005.1:73675-99487(FWD)_11	220	284	1.2e-06	23.8	18293	18952	6bf6c4c7da68779d7a|c18a3f3190b6fda7d3|c18a3f3190b6fda7d3|8140331|NZ_JACNYL010000005.1:73675-99487(FWD)	11	0.4772727272727273	0.36619718309859156	1
AbiEii_0_CAS-III	6bf6c4c7da68779d7a|cf1183adcd3348274f|4532b45c4e7edc67c0|885241|NZ_FOZZ01000001.1:166628-192440(REV)_21	611	284	0.00017	16.7	22023	23855	6bf6c4c7da68779d7a|cf1183adcd3348274f|4532b45c4e7edc67c0|885241|NZ_FOZZ01000001.1:166628-192440(REV)	21	0.09656301145662848	0.2007042253521127	1
AbiEii_1_CAS-III-A	6bf6c4c7da68779d7a|cf1183adcd3348274f|4532b45c4e7edc67c0|885241|NZ_FOZZ01000001.1:166628-192440(REV)_21	611	335	0.00049	14.7	22023	23855	6bf6c4c7da68779d7a|cf1183adcd3348274f|4532b45c4e7edc67c0|885241|NZ_FOZZ01000001.1:166628-192440(REV)	21	0.11292962356792144	0.2	1
Cas10_0_CAS-III	6bf6c4c7da68779d7a|a51f04d14abfce9600|a51f04d14abfce9600|2704241|NZ_SUKA01000006.1:231698-257516(REV)_10	520	511	0.17	6.0	15091	16650	6bf6c4c7da68779d7a|a51f04d14abfce9600|a51f04d14abfce9600|2704241|NZ_SUKA01000006.1:231698-257516(REV)	10	0.32884615384615384	0.3111545988258317	-1
Cas12f1_0_CAS-V-F	6bf6c4c7da68779d7a|05bea63ebceaf8a404|05bea63ebceaf8a404|8693681|NZ_MU158693.1:380214-406029(REV)_14	365	512	6.5e-10	33.8	13329	14423	6bf6c4c7da68779d7a|05bea63ebceaf8a404|05bea63ebceaf8a404|8693681|NZ_MU158693.1:380214-406029(REV)	14	0.8575342465753425	0.62109375	1
Cas12f1_0_CAS-V-F	6bf6c4c7da68779d7a|05bea63ebceaf8a404|3899cf24f8f3cbc04d|3558131|NZ_SRZY01000030.1:73172-98987(REV)_17	365	512	6.3e-10	33.9	13329	14423	6bf6c4c7da68779d7a|05bea63ebceaf8a404|3899cf24f8f3cbc04d|3558131|NZ_SRZY01000030.1:73172-98987(REV)	17	0.8547945205479452	0.619140625	1
Cas12f1_0_CAS-V-F	6bf6c4c7da68779d7a|05bea63ebceaf8a404|ac74770fb6b96fa37b|2704241|NZ_SUKA01000008.1:140727-166542(REV)_14	365	512	2.2e-09	32.1	13329	14423	6bf6c4c7da68779d7a|05bea63ebceaf8a404|ac74770fb6b96fa37b|2704241|NZ_SUKA01000008.1:140727-166542(REV)	14	0.8684931506849315	0.62890625	1
Cas12f1_0_CAS-V-F	6bf6c4c7da68779d7a|05bea63ebceaf8a404|c70c7acafcda55aa94|2704121|NZ_SUME01000009.1:114870-140685(REV)_16	365	512	2.1e-09	32.2	13330	14424	6bf6c4c7da68779d7a|05bea63ebceaf8a404|c70c7acafcda55aa94|2704121|NZ_SUME01000009.1:114870-140685(REV)	16	0.8657534246575342	0.626953125	1
Cas12f1_0_CAS-V-F	6bf6c4c7da68779d7a|0a82fbdc906bc9674a|0a82fbdc906bc9674a|EARTH_3300011768_1|3300011768.a:Ga0122281_100008:233556-259368(REV)_10	365	512	1e-11	39.7	13329	14423	6bf6c4c7da68779d7a|0a82fbdc906bc9674a|0a82fbdc906bc9674a|EARTH_3300011768_1|3300011768.a:Ga0122281_100008:233556-259368(REV)	10	0.863013698630137	0.625	1
Cas12f1_0_CAS-V-F	6bf6c4c7da68779d7a|0a82fbdc906bc9674a|df109b18102a9675a9|EARTH_2029527003_1|2029527003.a:APTF_contig48863:0-15728(FWD)_5	365	512	1.5e-11	39.2	3244	4338	6bf6c4c7da68779d7a|0a82fbdc906bc9674a|df109b18102a9675a9|EARTH_2029527003_1|2029527003.a:APTF_contig48863:0-15728(FWD)	5	0.8	0.57421875	1
Cas12f1_0_CAS-V-F	6bf6c4c7da68779d7a|15809b3d0d9249c965|15809b3d0d9249c965|EARTH_3300012803_6|3300012803.a:Ga0160465_100012:312589-330009(REV)_7	365	512	4e-09	31.2	4937	6031	6bf6c4c7da68779d7a|15809b3d0d9249c965|15809b3d0d9249c965|EARTH_3300012803_6|3300012803.a:Ga0160465_100012:312589-330009(REV)	7	0.7808219178082192	0.560546875	1
Cas12f1_0_CAS-V-F	6bf6c4c7da68779d7a|1615410be6afad344f|1615410be6afad344f|732851|NZ_LK931720.1:2951707-2977519(FWD)_13	365	512	5.6e-11	37.3	13329	14423	6bf6c4c7da68779d7a|1615410be6afad344f|1615410be6afad344f|732851|NZ_LK931720.1:2951707-2977519(FWD)	13	0.8931506849315068	0.646484375	1
