query_id,query_accession,query_len,hit_id,hit_evalue,target_length,qstart,qend,tstart,tend
23S_rRNA_IVP,PF05635.13,106,23422406293d40c201|f07dfb444178c50ada|f07dfb444178c50ada|6081471|NZ_JAAJTJ010000013.1:33392-59195(FWD);1120;1485;-,2.9e-31,122,0,105,1,107
2HCT,PF03390.17,416,23422406293d40c201|5c93673f9c32ea2a84|5c93673f9c32ea2a84|2317811|SEDG01000096.1:0-10281(FWD);5551;6060;+,0.063,170,260,345,18,109
2HCT,PF03390.17,416,23422406293d40c201|5c93673f9c32ea2a84|5c93673f9c32ea2a84|2317811|SEDG01000096.1:0-10281(FWD);5551;6060;+,0.063,170,8,41,123,159
3Beta_HSD,PF01073.21,280,23422406293d40c201|cf4318876b10439ad0|cf4318876b10439ad0|1421251|NZ_CP024091.1:4149250-4175056(FWD);2817;3581;-,4e-07,255,0,104,9,122
3HCDH_N,PF02737.20,180,23422406293d40c201|7198ad15b830e32764|7198ad15b830e32764|2353051|NZ_SOAB01000003.1:336109-362005(REV);21857;25369;-,0.00065,1171,18,120,422,523
3HCDH_N,PF02737.20,180,23422406293d40c201|7198ad15b830e32764|7198ad15b830e32764|2353051|NZ_SOAB01000003.1:336109-362005(REV);21857;25369;-,0.00065,1171,0,46,846,892
3HCDH_N,PF02737.20,180,23422406293d40c201|cf4318876b10439ad0|cf4318876b10439ad0|1421251|NZ_CP024091.1:4149250-4175056(FWD);2817;3581;-,0.0028,255,5,45,12,53
A2M,PF00207.24,92,23422406293d40c201|23422406293d40c201|23422406293d40c201|94521|NZ_AWRU01000015.1:100843-126805(FWD);3826;9924;+,2.4e-15,2033,0,90,1291,1380
A2M,PF00207.24,92,23422406293d40c201|23422406293d40c201|23422406293d40c201|94521|NZ_AWRU01000015.1:100843-126805(FWD);3826;9924;+,2.4e-15,2033,68,85,1892,1909
A2M,PF00207.24,92,23422406293d40c201|cf4318876b10439ad0|58fa241bdd5cc7a92b|1421251|NZ_CP024091.1:1472617-1498423(REV);4081;10194;+,7.3e-15,2038,0,90,1297,1386
A2M_BRD,PF07703.16,138,23422406293d40c201|cf4318876b10439ad0|58fa241bdd5cc7a92b|1421251|NZ_CP024091.1:1472617-1498423(REV);4081;10194;+,0.0001,2038,0,122,581,719
A2M_BRD,PF07703.16,138,23422406293d40c201|cf4318876b10439ad0|58fa241bdd5cc7a92b|1421251|NZ_CP024091.1:1472617-1498423(REV);4081;10194;+,0.0001,2038,9,136,970,1106
AAA,PF00004.31,132,23422406293d40c201|8d860da7a384165fa9|8d860da7a384165fa9|2327671|NZ_SIXF01000035.1:44760-60097(FWD);3407;4765;+,4.8e-06,453,0,111,167,286
AAA,PF00004.31,132,23422406293d40c201|1e1ee59ab82095b68f|1e1ee59ab82095b68f|1679501|NZ_QBKL01000012.1:0-13577(REV);3393;4751;+,6.6e-06,453,43,65,40,61
AAA,PF00004.31,132,23422406293d40c201|1e1ee59ab82095b68f|1e1ee59ab82095b68f|1679501|NZ_QBKL01000012.1:0-13577(REV);3393;4751;+,6.6e-06,453,0,111,167,286
AAA,PF00004.31,132,23422406293d40c201|e13d9391c94594e53d|e13d9391c94594e53d|240131|NZ_JSYN01000033.1:38732-60835(REV);10957;12315;-,1.1e-05,453,0,111,167,286
AAA,PF00004.31,132,23422406293d40c201|5fce865c14e48d1efe|5fce865c14e48d1efe|864031|NZ_FMZH01000002.1:0-22526(FWD);11378;12736;-,1.2e-05,453,0,111,167,286
AAA,PF00004.31,132,23422406293d40c201|0399b16286938b9695|0399b16286938b9695|1679501|NZ_QBKL01000016.1:712888-726461(FWD);3282;4718;-,1.6e-05,479,1,123,26,161
AAA,PF00004.31,132,23422406293d40c201|0399b16286938b9695|0399b16286938b9695|1679501|NZ_QBKL01000016.1:712888-726461(FWD);3282;4718;-,1.6e-05,479,59,98,232,270
AAA,PF00004.31,132,23422406293d40c201|bccb73238301db794d|bccb73238301db794d|94521|NZ_AWRU01000032.1:321273-346977(FWD);2085;4436;-,2e-05,784,1,107,195,288
AAA,PF00004.31,132,23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD);2950;4146;-,2.8e-05,399,2,69,35,99
AAA,PF00004.31,132,23422406293d40c201|3d48c320f59ff5f941|3d48c320f59ff5f941|EARTH_3300012844_2|3300012844.a:Ga0160475_100240:0-25335(REV);17399;18580;+,4.9e-05,394,1,68,22,93
AAA,PF00004.31,132,23422406293d40c201|3d48c320f59ff5f941|3d48c320f59ff5f941|EARTH_3300012844_2|3300012844.a:Ga0160475_100240:0-25335(REV);17399;18580;+,4.9e-05,394,58,91,289,322
AAA,PF00004.31,132,23422406293d40c201|a22706df0ea1901e43|a22706df0ea1901e43|1834481|NZ_QPKV01000006.1:225715-251467(FWD);15128;16486;+,0.0036,453,1,74,221,342
AAA_10,PF12846.9,362,23422406293d40c201|08a3d9247c0021b109|08a3d9247c0021b109|882241|NZ_FOJM01000019.1:71370-97200(FWD);5227;7689;-,2.9e-10,821,1,123,412,525
AAA_10,PF12846.9,362,23422406293d40c201|08a3d9247c0021b109|08a3d9247c0021b109|882241|NZ_FOJM01000019.1:71370-97200(FWD);5227;7689;-,2.9e-10,821,221,288,632,699
AAA_10,PF12846.9,362,23422406293d40c201|bccb73238301db794d|bccb73238301db794d|94521|NZ_AWRU01000032.1:321273-346977(FWD);18193;20655;+,2.6e-08,821,0,56,410,464
AAA_10,PF12846.9,362,23422406293d40c201|bccb73238301db794d|bccb73238301db794d|94521|NZ_AWRU01000032.1:321273-346977(FWD);18193;20655;+,2.6e-08,821,208,288,618,698
AAA_11,PF13086.8,261,23422406293d40c201|f07dfb444178c50ada|f07dfb444178c50ada|6081471|NZ_JAAJTJ010000013.1:33392-59195(FWD);23441;25660;-,0.0031,740,2,41,9,48
AAA_11,PF13086.8,261,23422406293d40c201|f07dfb444178c50ada|f07dfb444178c50ada|6081471|NZ_JAAJTJ010000013.1:33392-59195(FWD);23441;25660;-,0.0031,740,216,258,117,170
AAA_11,PF13086.8,261,23422406293d40c201|f07dfb444178c50ada|f07dfb444178c50ada|6081471|NZ_JAAJTJ010000013.1:33392-59195(FWD);23441;25660;-,0.0031,740,149,184,533,585
AAA_13,PF13166.8,713,23422406293d40c201|e13d9391c94594e53d|e13d9391c94594e53d|240131|NZ_JSYN01000033.1:38732-60835(REV);20714;22009;+,0.086,432,308,469,16,178
AAA_13,PF13166.8,713,23422406293d40c201|e13d9391c94594e53d|e13d9391c94594e53d|240131|NZ_JSYN01000033.1:38732-60835(REV);20714;22009;+,0.086,432,86,204,192,315
AAA_14,PF13173.8,130,23422406293d40c201|3d48c320f59ff5f941|3d48c320f59ff5f941|EARTH_3300012844_2|3300012844.a:Ga0160475_100240:0-25335(REV);17399;18580;+,3.1e-32,394,1,130,18,149
AAA_14,PF13173.8,130,23422406293d40c201|3d48c320f59ff5f941|3d48c320f59ff5f941|EARTH_3300012844_2|3300012844.a:Ga0160475_100240:0-25335(REV);17399;18580;+,3.1e-32,394,32,54,208,231
AAA_14,PF13173.8,130,23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD);1476;2633;+,3.7e-28,386,2,129,20,136
AAA_14,PF13173.8,130,23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD);2950;4146;-,9e-28,399,1,130,30,154
AAA_14,PF13173.8,130,23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD);2950;4146;-,9e-28,399,62,89,197,225
AAA_14,PF13173.8,130,23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD);2950;4146;-,9e-28,399,12,60,289,334
AAA_14,PF13173.8,130,23422406293d40c201|0399b16286938b9695|0399b16286938b9695|1679501|NZ_QBKL01000016.1:712888-726461(FWD);3282;4718;-,1.9e-10,479,2,128,23,181
AAA_14,PF13173.8,130,23422406293d40c201|0399b16286938b9695|0399b16286938b9695|1679501|NZ_QBKL01000016.1:712888-726461(FWD);3282;4718;-,1.9e-10,479,65,74,233,242
AAA_14,PF13173.8,130,23422406293d40c201|bccb73238301db794d|bccb73238301db794d|94521|NZ_AWRU01000032.1:321273-346977(FWD);2085;4436;-,0.00015,784,1,38,191,228
AAA_14,PF13173.8,130,23422406293d40c201|bccb73238301db794d|bccb73238301db794d|94521|NZ_AWRU01000032.1:321273-346977(FWD);2085;4436;-,0.00015,784,29,39,326,336
AAA_14,PF13173.8,130,23422406293d40c201|bccb73238301db794d|bccb73238301db794d|94521|NZ_AWRU01000032.1:321273-346977(FWD);5115;7670;-,0.00022,852,3,38,290,323
AAA_14,PF13173.8,130,23422406293d40c201|bccb73238301db794d|bccb73238301db794d|94521|NZ_AWRU01000032.1:321273-346977(FWD);5115;7670;-,0.00022,852,62,97,747,786
AAA_14,PF13173.8,130,23422406293d40c201|a22706df0ea1901e43|a22706df0ea1901e43|1834481|NZ_QPKV01000006.1:225715-251467(FWD);15128;16486;+,0.00025,453,3,89,219,325
AAA_14,PF13173.8,130,23422406293d40c201|a22706df0ea1901e43|a22706df0ea1901e43|1834481|NZ_QPKV01000006.1:225715-251467(FWD);15128;16486;+,0.00025,453,14,58,365,407
AAA_14,PF13173.8,130,23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD);5094;6326;+,0.0032,411,1,80,25,111
AAA_15,PF13175.8,374,23422406293d40c201|b2706459925529bba9|b2706459925529bba9|6227991|NZ_CP049868.1:703014-728829(REV);21438;23384;-,2.9e-52,649,0,374,0,394
AAA_15,PF13175.8,374,23422406293d40c201|5a204bae388ed89f08|5a204bae388ed89f08|7946431|CP060294.1:1440587-1466393(REV);22530;24101;+,3.9e-21,524,0,100,0,92
AAA_15,PF13175.8,374,23422406293d40c201|5a204bae388ed89f08|5a204bae388ed89f08|7946431|CP060294.1:1440587-1466393(REV);22530;24101;+,3.9e-21,524,245,373,148,277
AAA_15,PF13175.8,374,23422406293d40c201|5a204bae388ed89f08|5a204bae388ed89f08|7946431|CP060294.1:1440587-1466393(REV);22530;24101;+,3.9e-21,524,263,264,364,365
AAA_15,PF13175.8,374,23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD);5094;6326;+,2.2e-16,411,2,135,0,131
AAA_15,PF13175.8,374,23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD);5094;6326;+,2.2e-16,411,324,374,271,321
AAA_15,PF13175.8,374,23422406293d40c201|bccb73238301db794d|bccb73238301db794d|94521|NZ_AWRU01000032.1:321273-346977(FWD);5115;7670;-,2.8e-06,852,38,50,168,180
AAA_15,PF13175.8,374,23422406293d40c201|bccb73238301db794d|bccb73238301db794d|94521|NZ_AWRU01000032.1:321273-346977(FWD);5115;7670;-,2.8e-06,852,17,262,283,533
AAA_15,PF13175.8,374,23422406293d40c201|bccb73238301db794d|bccb73238301db794d|94521|NZ_AWRU01000032.1:321273-346977(FWD);5115;7670;-,2.8e-06,852,60,374,508,793
AAA_15,PF13175.8,374,23422406293d40c201|9506d036f1980cf350|9506d036f1980cf350|7196661|NZ_JABMKW010000018.1:261709-287521(FWD);10917;11744;-,3.3e-05,276,13,43,17,48
AAA_15,PF13175.8,374,23422406293d40c201|9506d036f1980cf350|9506d036f1980cf350|7196661|NZ_JABMKW010000018.1:261709-287521(FWD);10917;11744;-,3.3e-05,276,298,369,126,185
AAA_15,PF13175.8,374,23422406293d40c201|9506d036f1980cf350|9506d036f1980cf350|7196661|NZ_JABMKW010000018.1:261709-287521(FWD);10917;11744;-,3.3e-05,276,97,145,205,253
AAA_15,PF13175.8,374,23422406293d40c201|9506d036f1980cf350|387815d81962684575|94521|NZ_AWRU01000002.1:97518-123324(REV);10489;11316;-,3.4e-05,276,13,43,17,48
AAA_15,PF13175.8,374,23422406293d40c201|9506d036f1980cf350|387815d81962684575|94521|NZ_AWRU01000002.1:97518-123324(REV);10489;11316;-,3.4e-05,276,298,369,126,185
