Contig	Start	End	Strand	Pos
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	2	313	-1	1
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	490	729	1	2
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	733	1287	-1	3
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	1251	1739	-1	4
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	1766	2545	-1	5
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	2542	3033	-1	6
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	3072	4160	-1	7
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	4203	4964	-1	8
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	5047	5940	1	9
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	5937	6410	1	10
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	6579	6710	1	11
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	6745	7194	1	12
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	7335	7598	1	13
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	7672	8037	1	14
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	8105	8935	1	15
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	8986	10455	1	16
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	10545	11261	1	17
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	11269	11568	1	18
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	11574	12224	-1	19
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	12501	13232	1	20
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	13229	14473	1	21
a0d79afeb20bd32508|e7d0d55d13180d0ee4|e7d0d55d13180d0ee4|5869211|NZ_AP022588.1:922127-947858(REV)	14470	15744	1	22
