Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
c15257c28ad9a20cdd|e966b361633f900237|63b272cfb712db4a20|236311|NZ_JTJW01000009.1:203237-228737(REV)	c15257c28ad9a20cdd|e966b361633f900237|63b272cfb712db4a20|236311|NZ_JTJW01000009.1:203237-228737(REV)@1	13001	14428	V-F2	100%	0%	V-F2	4.0	['Cas12f2_2_CAS-V-F']	[11]	['3.50e-104']	[0.941]	[0.929]	1	NA
c15257c28ad9a20cdd|79bd8332bed9cd61fc|79bd8332bed9cd61fc|5868741|NZ_AP022563.1:1858785-1884024(FWD)	c15257c28ad9a20cdd|79bd8332bed9cd61fc|79bd8332bed9cd61fc|5868741|NZ_AP022563.1:1858785-1884024(FWD)@1	12732	14192	V-F2	100%	0%	V-F2	4.0	['Cas12f2_2_CAS-V-F']	[12]	['2.00e-101']	[0.94]	[0.949]	1	NA
c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)	c15257c28ad9a20cdd|56c205c1b5463a6c89|7d7606f2e71fa04bdf|1784551|NZ_QMEV01000040.1:6676-32260(FWD)@1	13077	14537	V-F2	100%	0%	V-F2	4.0	['Cas12f2_2_CAS-V-F']	[16]	['1.00e-101']	[0.949]	[0.957]	1	NA
c15257c28ad9a20cdd|55da322c5539e17ddf|55da322c5539e17ddf|920541|NZ_JMHT01000032.1:0-19397(REV)	c15257c28ad9a20cdd|55da322c5539e17ddf|55da322c5539e17ddf|920541|NZ_JMHT01000032.1:0-19397(REV)@1	12737	14164	V-F2	100%	0%	V-F2	4.0	['Cas12f2_2_CAS-V-F']	[13]	['2.00e-104']	[0.929]	[0.917]	1	NA
c15257c28ad9a20cdd|f8b6ce277931d67970|f8b6ce277931d67970|431081|NZ_CP012150.1:4981289-5006600(FWD)	c15257c28ad9a20cdd|f8b6ce277931d67970|f8b6ce277931d67970|431081|NZ_CP012150.1:4981289-5006600(FWD)@1	12811	14268	V-F2	100%	0%	V-F2	4.0	['Cas12f2_2_CAS-V-F']	[15]	['9.80e-101']	[0.942]	[0.951]	1	NA
c15257c28ad9a20cdd|0ef6d63f78b0feeea4|0ef6d63f78b0feeea4|7342671|NZ_JACBZQ010000001.1:4001229-4026741(REV)	c15257c28ad9a20cdd|0ef6d63f78b0feeea4|0ef6d63f78b0feeea4|7342671|NZ_JACBZQ010000001.1:4001229-4026741(REV)@1	13013	14476	V-F2	100%	0%	V-F2	4.0	['Cas12f2_2_CAS-V-F']	[14]	['1.90e-102']	[0.953]	[0.961]	1	NA
c15257c28ad9a20cdd|7ebcd314988fb6f4d2|7ebcd314988fb6f4d2|2127911|NZ_QGGF01000070.1:0-5846(REV)	c15257c28ad9a20cdd|7ebcd314988fb6f4d2|7ebcd314988fb6f4d2|2127911|NZ_QGGF01000070.1:0-5846(REV)@1	3430	4860	V-F2	100%	0%	V-F2	4.0	['Cas12f2_2_CAS-V-F']	[7]	['4.50e-114']	[0.95]	[0.97]	1	NA
c15257c28ad9a20cdd|a66ea47a26a0819870|a66ea47a26a0819870|1728981|NZ_QGKS01000159.1:0-1986(REV)	c15257c28ad9a20cdd|a66ea47a26a0819870|a66ea47a26a0819870|1728981|NZ_QGKS01000159.1:0-1986(REV)@1	567	1985	V-F2	100%	0%	V-F2	4.0	['Cas12f2_2_CAS-V-F']	[2]	['2.70e-114']	[0.953]	[0.966]	1	NA
c15257c28ad9a20cdd|6445527fb913eab17c|6445527fb913eab17c|6385171|WOYS01000018.1:16031-41642(FWD)	c15257c28ad9a20cdd|6445527fb913eab17c|6445527fb913eab17c|6385171|WOYS01000018.1:16031-41642(FWD)@1	13111	14568	V-F2	100%	0%	V-F2	4.0	['Cas12f2_2_CAS-V-F']	[13]	['4.40e-118']	[0.944]	[0.931]	1	NA
c15257c28ad9a20cdd|9de73e4c6863116c4e|9de73e4c6863116c4e|431081|NZ_CP012150.1:1094180-1119494(REV)	c15257c28ad9a20cdd|9de73e4c6863116c4e|9de73e4c6863116c4e|431081|NZ_CP012150.1:1094180-1119494(REV)@2	12845	14272	V-F2	100%	0%	V-F2	4.0	['Cas12f2_2_CAS-V-F']	[16]	['6.10e-101']	[0.96]	[0.949]	1	NA
