Contig	Start	End	Strand	Pos
0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)	34	1992	-1	1
0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)	2000	3847	-1	2
0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)	4206	7607	1	3
0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)	7778	9622	1	4
0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)	9619	11115	1	5
0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)	11129	12457	-1	6
0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)	12500	12787	1	7
0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)	12879	14198	-1	8
0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)	15010	15396	1	9
0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)	15234	16316	-1	10
0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)	16345	17535	-1	11
0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)	17532	18698	-1	12
0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)	18685	19491	-1	13
0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)	19488	21566	-1	14
0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)	21796	23091	1	15
0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)	23147	24070	1	16
0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)	24070	25005	1	17
0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)	25002	25286	1	18
0093c124a5b6ee038d|2454348d19444eb4a3|2454348d19444eb4a3|8118611|NZ_BMNH01000051.1:0-13552(FWD)	3	473	-1	1
0093c124a5b6ee038d|2454348d19444eb4a3|2454348d19444eb4a3|8118611|NZ_BMNH01000051.1:0-13552(FWD)	636	1052	1	2
0093c124a5b6ee038d|2454348d19444eb4a3|2454348d19444eb4a3|8118611|NZ_BMNH01000051.1:0-13552(FWD)	1327	2595	1	3
0093c124a5b6ee038d|2454348d19444eb4a3|2454348d19444eb4a3|8118611|NZ_BMNH01000051.1:0-13552(FWD)	2669	2881	1	4
0093c124a5b6ee038d|2454348d19444eb4a3|2454348d19444eb4a3|8118611|NZ_BMNH01000051.1:0-13552(FWD)	2912	3643	-1	5
0093c124a5b6ee038d|2454348d19444eb4a3|2454348d19444eb4a3|8118611|NZ_BMNH01000051.1:0-13552(FWD)	4152	5165	1	6
0093c124a5b6ee038d|2454348d19444eb4a3|2454348d19444eb4a3|8118611|NZ_BMNH01000051.1:0-13552(FWD)	5208	5420	-1	7
0093c124a5b6ee038d|2454348d19444eb4a3|2454348d19444eb4a3|8118611|NZ_BMNH01000051.1:0-13552(FWD)	5474	6619	1	8
0093c124a5b6ee038d|2454348d19444eb4a3|2454348d19444eb4a3|8118611|NZ_BMNH01000051.1:0-13552(FWD)	6616	7284	1	9
0093c124a5b6ee038d|2454348d19444eb4a3|2454348d19444eb4a3|8118611|NZ_BMNH01000051.1:0-13552(FWD)	7383	8633	1	10
0093c124a5b6ee038d|2454348d19444eb4a3|2454348d19444eb4a3|8118611|NZ_BMNH01000051.1:0-13552(FWD)	8643	9383	1	11
0093c124a5b6ee038d|2454348d19444eb4a3|2454348d19444eb4a3|8118611|NZ_BMNH01000051.1:0-13552(FWD)	9434	9841	1	12
0093c124a5b6ee038d|2454348d19444eb4a3|2454348d19444eb4a3|8118611|NZ_BMNH01000051.1:0-13552(FWD)	9930	11699	-1	13
0093c124a5b6ee038d|2454348d19444eb4a3|2454348d19444eb4a3|8118611|NZ_BMNH01000051.1:0-13552(FWD)	11769	13532	-1	14
0093c124a5b6ee038d|d41f17f4d75c45d167|d41f17f4d75c45d167|8118611|NZ_BMNH01000046.1:29409-42925(REV)	3	620	-1	1
0093c124a5b6ee038d|d41f17f4d75c45d167|d41f17f4d75c45d167|8118611|NZ_BMNH01000046.1:29409-42925(REV)	730	1017	1	2
0093c124a5b6ee038d|d41f17f4d75c45d167|d41f17f4d75c45d167|8118611|NZ_BMNH01000046.1:29409-42925(REV)	1066	1341	1	3
0093c124a5b6ee038d|d41f17f4d75c45d167|d41f17f4d75c45d167|8118611|NZ_BMNH01000046.1:29409-42925(REV)	1307	1909	-1	4
0093c124a5b6ee038d|d41f17f4d75c45d167|d41f17f4d75c45d167|8118611|NZ_BMNH01000046.1:29409-42925(REV)	2066	2812	1	5
0093c124a5b6ee038d|d41f17f4d75c45d167|d41f17f4d75c45d167|8118611|NZ_BMNH01000046.1:29409-42925(REV)	3006	3401	-1	6
0093c124a5b6ee038d|d41f17f4d75c45d167|d41f17f4d75c45d167|8118611|NZ_BMNH01000046.1:29409-42925(REV)	3398	4177	-1	7
0093c124a5b6ee038d|d41f17f4d75c45d167|d41f17f4d75c45d167|8118611|NZ_BMNH01000046.1:29409-42925(REV)	4264	4638	-1	8
0093c124a5b6ee038d|d41f17f4d75c45d167|d41f17f4d75c45d167|8118611|NZ_BMNH01000046.1:29409-42925(REV)	4754	5245	1	9
0093c124a5b6ee038d|d41f17f4d75c45d167|d41f17f4d75c45d167|8118611|NZ_BMNH01000046.1:29409-42925(REV)	5370	5543	-1	10
0093c124a5b6ee038d|d41f17f4d75c45d167|d41f17f4d75c45d167|8118611|NZ_BMNH01000046.1:29409-42925(REV)	5512	6156	-1	11
0093c124a5b6ee038d|d41f17f4d75c45d167|d41f17f4d75c45d167|8118611|NZ_BMNH01000046.1:29409-42925(REV)	6220	7038	1	12
0093c124a5b6ee038d|d41f17f4d75c45d167|d41f17f4d75c45d167|8118611|NZ_BMNH01000046.1:29409-42925(REV)	7072	7884	1	13
0093c124a5b6ee038d|d41f17f4d75c45d167|d41f17f4d75c45d167|8118611|NZ_BMNH01000046.1:29409-42925(REV)	7954	10347	-1	14
0093c124a5b6ee038d|d41f17f4d75c45d167|d41f17f4d75c45d167|8118611|NZ_BMNH01000046.1:29409-42925(REV)	10644	10994	-1	15
0093c124a5b6ee038d|d41f17f4d75c45d167|d41f17f4d75c45d167|8118611|NZ_BMNH01000046.1:29409-42925(REV)	11203	12066	1	16
0093c124a5b6ee038d|d41f17f4d75c45d167|d41f17f4d75c45d167|8118611|NZ_BMNH01000046.1:29409-42925(REV)	12066	12446	1	17
0093c124a5b6ee038d|d41f17f4d75c45d167|d41f17f4d75c45d167|8118611|NZ_BMNH01000046.1:29409-42925(REV)	12443	12844	1	18
0093c124a5b6ee038d|d41f17f4d75c45d167|d41f17f4d75c45d167|8118611|NZ_BMNH01000046.1:29409-42925(REV)	12832	13515	1	19
0093c124a5b6ee038d|2c4fec412407701b7e|2c4fec412407701b7e|6227751|NZ_JAAOTJ010000018.1:136401-153156(FWD)	1	414	-1	1
0093c124a5b6ee038d|2c4fec412407701b7e|2c4fec412407701b7e|6227751|NZ_JAAOTJ010000018.1:136401-153156(FWD)	568	1320	1	2
0093c124a5b6ee038d|2c4fec412407701b7e|2c4fec412407701b7e|6227751|NZ_JAAOTJ010000018.1:136401-153156(FWD)	1504	2433	-1	3
0093c124a5b6ee038d|2c4fec412407701b7e|2c4fec412407701b7e|6227751|NZ_JAAOTJ010000018.1:136401-153156(FWD)	2451	3389	-1	4
0093c124a5b6ee038d|2c4fec412407701b7e|2c4fec412407701b7e|6227751|NZ_JAAOTJ010000018.1:136401-153156(FWD)	3524	5644	-1	5
0093c124a5b6ee038d|2c4fec412407701b7e|2c4fec412407701b7e|6227751|NZ_JAAOTJ010000018.1:136401-153156(FWD)	5823	7097	1	6
0093c124a5b6ee038d|2c4fec412407701b7e|2c4fec412407701b7e|6227751|NZ_JAAOTJ010000018.1:136401-153156(FWD)	7088	7729	1	7
0093c124a5b6ee038d|2c4fec412407701b7e|2c4fec412407701b7e|6227751|NZ_JAAOTJ010000018.1:136401-153156(FWD)	7740	8525	1	8
0093c124a5b6ee038d|2c4fec412407701b7e|2c4fec412407701b7e|6227751|NZ_JAAOTJ010000018.1:136401-153156(FWD)	8622	9524	1	9
0093c124a5b6ee038d|2c4fec412407701b7e|2c4fec412407701b7e|6227751|NZ_JAAOTJ010000018.1:136401-153156(FWD)	9565	10092	1	10
0093c124a5b6ee038d|2c4fec412407701b7e|2c4fec412407701b7e|6227751|NZ_JAAOTJ010000018.1:136401-153156(FWD)	10192	10410	-1	11
0093c124a5b6ee038d|2c4fec412407701b7e|2c4fec412407701b7e|6227751|NZ_JAAOTJ010000018.1:136401-153156(FWD)	10440	10853	-1	12
0093c124a5b6ee038d|2c4fec412407701b7e|2c4fec412407701b7e|6227751|NZ_JAAOTJ010000018.1:136401-153156(FWD)	11200	12441	-1	13
0093c124a5b6ee038d|2c4fec412407701b7e|2c4fec412407701b7e|6227751|NZ_JAAOTJ010000018.1:136401-153156(FWD)	12461	12877	1	14
0093c124a5b6ee038d|2c4fec412407701b7e|2c4fec412407701b7e|6227751|NZ_JAAOTJ010000018.1:136401-153156(FWD)	12929	13234	-1	15
0093c124a5b6ee038d|2c4fec412407701b7e|2c4fec412407701b7e|6227751|NZ_JAAOTJ010000018.1:136401-153156(FWD)	13392	14138	1	16
0093c124a5b6ee038d|2c4fec412407701b7e|2c4fec412407701b7e|6227751|NZ_JAAOTJ010000018.1:136401-153156(FWD)	14293	15162	1	17
0093c124a5b6ee038d|2c4fec412407701b7e|2c4fec412407701b7e|6227751|NZ_JAAOTJ010000018.1:136401-153156(FWD)	15207	15617	-1	18
