Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
6bf6c4c7da68779d7a|116b969fb96f1ea855|116b969fb96f1ea855|4468671|NZ_VTAV01000006.1:104421-130236(FWD)	6bf6c4c7da68779d7a|116b969fb96f1ea855|116b969fb96f1ea855|4468671|NZ_VTAV01000006.1:104421-130236(FWD)@2	18254	18913	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[14]	['1.90e-06']	[0.5]	[0.401]	NA	NA
6bf6c4c7da68779d7a|aa05116d369441638a|aa05116d369441638a|8123141|NZ_BNAF01000012.1:0-22894(REV)	6bf6c4c7da68779d7a|aa05116d369441638a|aa05116d369441638a|8123141|NZ_BNAF01000012.1:0-22894(REV)@1	12501	13313	False	0%	NA	III-A	1.0	['HTH_0_CAS-III-A']	[12]	['2.60e-03']	[0.609]	[0.42]	NA	NA
6bf6c4c7da68779d7a|c18a3f3190b6fda7d3|c18a3f3190b6fda7d3|8140331|NZ_JACNYL010000005.1:73675-99487(FWD)	6bf6c4c7da68779d7a|c18a3f3190b6fda7d3|c18a3f3190b6fda7d3|8140331|NZ_JACNYL010000005.1:73675-99487(FWD)@1	18293	18952	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[11]	['1.20e-06']	[0.477]	[0.366]	NA	NA
6bf6c4c7da68779d7a|4aae09905ddfa8825b|4aae09905ddfa8825b|6098291|NZ_CP049333.1:668183-693995(REV)	6bf6c4c7da68779d7a|4aae09905ddfa8825b|4aae09905ddfa8825b|6098291|NZ_CP049333.1:668183-693995(REV)@1	8714	9667	False	0%	0%	I-A	0.0	['WYL_0_CAS-I-II-III-IV-V-VI']	[19]	['5.00e-53']	[0.978]	[0.978]	NA	NA
6bf6c4c7da68779d7a|f15c40f6b73827cf46|dd5b5c6ad215be5e9d|6063371|NZ_WFKM01000015.1:72351-98151(FWD)	6bf6c4c7da68779d7a|f15c40f6b73827cf46|dd5b5c6ad215be5e9d|6063371|NZ_WFKM01000015.1:72351-98151(FWD)@1	24990	25799	False	0%	0%	I-A	0.0	['WYL_3_CAS-I-II-III-IV-V-VI']	[30]	['1.10e-03']	[0.389]	[0.547]	NA	NA
6bf6c4c7da68779d7a|435ea0a47d9e326e62|435ea0a47d9e326e62|2352641|NZ_SNYV01000001.1:55915-81715(REV)	6bf6c4c7da68779d7a|435ea0a47d9e326e62|435ea0a47d9e326e62|2352641|NZ_SNYV01000001.1:55915-81715(REV)@1	7011	9038	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[10]	['2.10e-06']	[0.494]	[0.482]	NA	NA
6bf6c4c7da68779d7a|c18a3f3190b6fda7d3|91a55800eb8e14b462|8151911|NZ_JACOIK010000010.1:160949-186761(REV)	6bf6c4c7da68779d7a|c18a3f3190b6fda7d3|91a55800eb8e14b462|8151911|NZ_JACOIK010000010.1:160949-186761(REV)@1	19971	20630	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[14]	['1.80e-06']	[0.459]	[0.352]	NA	NA
6bf6c4c7da68779d7a|f15c40f6b73827cf46|f15c40f6b73827cf46|1025461|NZ_FUZF01000015.1:77234-103034(FWD)	6bf6c4c7da68779d7a|f15c40f6b73827cf46|f15c40f6b73827cf46|1025461|NZ_FUZF01000015.1:77234-103034(FWD)@1	3575	5527	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[5]	['1.30e-13']	[0.501]	[0.551]	NA	NA
6bf6c4c7da68779d7a|cf1183adcd3348274f|6cb46adafc75ce3bb5|EARTH_3300024044_9|3300024044.a:Ga0222419_100310:26730-52542(FWD)	6bf6c4c7da68779d7a|cf1183adcd3348274f|6cb46adafc75ce3bb5|EARTH_3300024044_9|3300024044.a:Ga0222419_100310:26730-52542(FWD)@1	8723	13312	False	0%	NA	III-A	1.0	['WYL_3_CAS-I-II-III-IV-V-VI', 'HTH_0_CAS-III-A']	[8, 12]	['8.00e-27', '9.60e-04']	[0.519, 0.498]	[0.983, 0.335]	NA	NA
6bf6c4c7da68779d7a|116b969fb96f1ea855|5e5e5929c9cc142e04|6088031|NZ_JAAKGS010000007.1:182929-208744(REV)	6bf6c4c7da68779d7a|116b969fb96f1ea855|5e5e5929c9cc142e04|6088031|NZ_JAAKGS010000007.1:182929-208744(REV)@1	18342	19001	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[12]	['2.00e-06']	[0.45]	[0.345]	NA	NA
6bf6c4c7da68779d7a|116b969fb96f1ea855|116b969fb96f1ea855|4468671|NZ_VTAV01000006.1:104421-130236(FWD)	6bf6c4c7da68779d7a|116b969fb96f1ea855|116b969fb96f1ea855|4468671|NZ_VTAV01000006.1:104421-130236(FWD)@1	11423	11713	False	17%	NA	III-B	4.0	['Cmr5gr11_5_CAS-III-B']	[9]	['3.90e-03']	[0.722]	[0.423]	1	NA
6bf6c4c7da68779d7a|67975483abd38d808e|67975483abd38d808e|1622601|NZ_PVBS01000003.1:176686-202258(REV)	6bf6c4c7da68779d7a|67975483abd38d808e|67975483abd38d808e|1622601|NZ_PVBS01000003.1:176686-202258(REV)@1	18431	19090	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[16]	['1.60e-06']	[0.477]	[0.366]	NA	NA
6bf6c4c7da68779d7a|c18a3f3190b6fda7d3|5354e087feda95d152|2277231|NZ_SGIT01000005.1:68640-94452(FWD)	6bf6c4c7da68779d7a|c18a3f3190b6fda7d3|5354e087feda95d152|2277231|NZ_SGIT01000005.1:68640-94452(FWD)@1	19867	20526	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[15]	['3.30e-06']	[0.45]	[0.345]	NA	NA
6bf6c4c7da68779d7a|0a82fbdc906bc9674a|0a82fbdc906bc9674a|EARTH_3300011768_1|3300011768.a:Ga0122281_100008:233556-259368(REV)	6bf6c4c7da68779d7a|0a82fbdc906bc9674a|0a82fbdc906bc9674a|EARTH_3300011768_1|3300011768.a:Ga0122281_100008:233556-259368(REV)@1	12501	13313	False	0%	NA	III-A	1.0	['HTH_0_CAS-III-A']	[9]	['2.70e-05']	[0.491]	[0.33]	NA	NA
6bf6c4c7da68779d7a|cf1183adcd3348274f|4532b45c4e7edc67c0|885241|NZ_FOZZ01000001.1:166628-192440(REV)	6bf6c4c7da68779d7a|cf1183adcd3348274f|4532b45c4e7edc67c0|885241|NZ_FOZZ01000001.1:166628-192440(REV)@1	8107	9117	False	0%	0%	I-A	0.0	['WYL_3_CAS-I-II-III-IV-V-VI']	[8]	['5.70e-25']	[0.519]	[0.983]	NA	NA
