Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	62fe559eac786c1400|4003a52cfdb2df8394|7043ebf2c88852f23b|8142731|NZ_JACJQY010000016.1:78090-101533(FWD)_20	421	284	4.2e-08	27.5	20671	21933	62fe559eac786c1400|4003a52cfdb2df8394|7043ebf2c88852f23b|8142731|NZ_JACJQY010000016.1:78090-101533(FWD)	20	0.44655581947743467	0.5880281690140845	1
AbiEii_0_CAS-III	62fe559eac786c1400|4003a52cfdb2df8394|7043ebf2c88852f23b|8142731|NZ_JACJQY010000016.1:78090-101533(FWD)_5	455	284	6.2e-08	26.9	4773	6137	62fe559eac786c1400|4003a52cfdb2df8394|7043ebf2c88852f23b|8142731|NZ_JACJQY010000016.1:78090-101533(FWD)	5	0.7604395604395604	0.8802816901408451	1
AbiEii_0_CAS-III	62fe559eac786c1400|5e6e4c9bfd9ff9f20b|0831bb880f52405795|3791611|NZ_SJEE01000037.1:36787-53961(REV)_13	255	284	0.0014	12.6	12797	13561	62fe559eac786c1400|5e6e4c9bfd9ff9f20b|0831bb880f52405795|3791611|NZ_SJEE01000037.1:36787-53961(REV)	13	0.4235294117647059	0.35563380281690143	1
AbiEii_0_CAS-III	62fe559eac786c1400|5e6e4c9bfd9ff9f20b|0831bb880f52405795|3791611|NZ_SJEE01000037.1:36787-53961(REV)_16	227	284	1.1e-05	19.6	15066	15746	62fe559eac786c1400|5e6e4c9bfd9ff9f20b|0831bb880f52405795|3791611|NZ_SJEE01000037.1:36787-53961(REV)	16	0.28193832599118945	0.22535211267605634	-1
AbiEii_0_CAS-III	62fe559eac786c1400|5e6e4c9bfd9ff9f20b|5e6e4c9bfd9ff9f20b|9101201|NZ_BBJB01000048.1:54568-80092(REV)_5	255	284	0.0018	12.3	2493	3257	62fe559eac786c1400|5e6e4c9bfd9ff9f20b|5e6e4c9bfd9ff9f20b|9101201|NZ_BBJB01000048.1:54568-80092(REV)	5	0.4	0.3345070422535211	-1
AbiEii_0_CAS-III	62fe559eac786c1400|993b7b543e30a203b2|993b7b543e30a203b2|7538331|CAISWB010000760.1:0-7413(REV)_3	389	284	2.9e-07	24.7	2750	3916	62fe559eac786c1400|993b7b543e30a203b2|993b7b543e30a203b2|7538331|CAISWB010000760.1:0-7413(REV)	3	0.37789203084832906	0.4964788732394366	1
AbiEii_0_CAS-III	62fe559eac786c1400|f9752aaaf9d5da1efc|f9752aaaf9d5da1efc|7006721|NZ_JAAVJL010000001.1:3247693-3273208(REV)_24	478	284	0.00064	13.7	22989	24422	62fe559eac786c1400|f9752aaaf9d5da1efc|f9752aaaf9d5da1efc|7006721|NZ_JAAVJL010000001.1:3247693-3273208(REV)	24	0.18619246861924685	0.30985915492957744	-1
AbiEii_0_CAS-III	62fe559eac786c1400|fb4d30e91a5977316d|fb4d30e91a5977316d|1552161|NZ_PDDM01000001.1:120287-145802(FWD)_11	255	284	0.0014	12.7	16014	16778	62fe559eac786c1400|fb4d30e91a5977316d|fb4d30e91a5977316d|1552161|NZ_PDDM01000001.1:120287-145802(FWD)	11	0.42745098039215684	0.3591549295774648	1
AbiEii_0_CAS-III	62fe559eac786c1400|fb4d30e91a5977316d|fb4d30e91a5977316d|1552161|NZ_PDDM01000001.1:120287-145802(FWD)_15	227	284	1.1e-05	19.6	19080	19760	62fe559eac786c1400|fb4d30e91a5977316d|fb4d30e91a5977316d|1552161|NZ_PDDM01000001.1:120287-145802(FWD)	15	0.28193832599118945	0.22535211267605634	-1
AbiEii_2_CAS-III-C	62fe559eac786c1400|4003a52cfdb2df8394|7043ebf2c88852f23b|8142731|NZ_JACJQY010000016.1:78090-101533(FWD)_20	421	440	1.1e-08	29.1	20671	21933	62fe559eac786c1400|4003a52cfdb2df8394|7043ebf2c88852f23b|8142731|NZ_JACJQY010000016.1:78090-101533(FWD)	20	0.35629453681710216	0.3431818181818182	1
AbiEii_2_CAS-III-C	62fe559eac786c1400|4003a52cfdb2df8394|7043ebf2c88852f23b|8142731|NZ_JACJQY010000016.1:78090-101533(FWD)_5	455	440	2.9e-05	17.8	4773	6137	62fe559eac786c1400|4003a52cfdb2df8394|7043ebf2c88852f23b|8142731|NZ_JACJQY010000016.1:78090-101533(FWD)	5	0.1978021978021978	0.20909090909090908	1
AbiEii_2_CAS-III-C	62fe559eac786c1400|5e6e4c9bfd9ff9f20b|0831bb880f52405795|3791611|NZ_SJEE01000037.1:36787-53961(REV)_16	227	440	0.00093	12.9	15066	15746	62fe559eac786c1400|5e6e4c9bfd9ff9f20b|0831bb880f52405795|3791611|NZ_SJEE01000037.1:36787-53961(REV)	16	0.30837004405286345	0.1590909090909091	-1
AbiEii_2_CAS-III-C	62fe559eac786c1400|fb4d30e91a5977316d|fb4d30e91a5977316d|1552161|NZ_PDDM01000001.1:120287-145802(FWD)_15	227	440	0.00093	12.9	19080	19760	62fe559eac786c1400|fb4d30e91a5977316d|fb4d30e91a5977316d|1552161|NZ_PDDM01000001.1:120287-145802(FWD)	15	0.30837004405286345	0.1590909090909091	-1
Cas1_0_I-II-III	62fe559eac786c1400|f9752aaaf9d5da1efc|f9752aaaf9d5da1efc|7006721|NZ_JAAVJL010000001.1:3247693-3273208(REV)_17	141	327	0.00073	13.0	16222	16644	62fe559eac786c1400|f9752aaaf9d5da1efc|f9752aaaf9d5da1efc|7006721|NZ_JAAVJL010000001.1:3247693-3273208(REV)	17	0.3617021276595745	0.1529051987767584	-1
Cas3_0_CAS-I	62fe559eac786c1400|434edddb08aa768468|434edddb08aa768468|1211221|DCSN01000218.1:10382-35882(FWD)_19	1149	353	1e-12	42.2	20808	24254	62fe559eac786c1400|434edddb08aa768468|434edddb08aa768468|1211221|DCSN01000218.1:10382-35882(FWD)	19	0.20800696257615317	0.48158640226628896	-1
Cas3_0_I	62fe559eac786c1400|434edddb08aa768468|434edddb08aa768468|1211221|DCSN01000218.1:10382-35882(FWD)_19	1149	358	3.9e-11	37.0	20808	24254	62fe559eac786c1400|434edddb08aa768468|434edddb08aa768468|1211221|DCSN01000218.1:10382-35882(FWD)	19	0.20278503046127067	0.4664804469273743	-1
Cas4_0_CAS-I-II-III-IV-V-VI	62fe559eac786c1400|1184b6f32b7a05be57|1184b6f32b7a05be57|EARTH_3300015202_9|3300015202.a:Ga0167663_1000379:2310-27774(REV)_4	294	179	0.00058	14.5	4707	5588	62fe559eac786c1400|1184b6f32b7a05be57|1184b6f32b7a05be57|EARTH_3300015202_9|3300015202.a:Ga0167663_1000379:2310-27774(REV)	4	0.18027210884353742	0.29608938547486036	-1
Cas4_0_CAS-I-II-III-IV-V-VI	62fe559eac786c1400|434edddb08aa768468|434edddb08aa768468|1211221|DCSN01000218.1:10382-35882(FWD)_15	274	179	1.1e-10	36.4	14772	15593	62fe559eac786c1400|434edddb08aa768468|434edddb08aa768468|1211221|DCSN01000218.1:10382-35882(FWD)	15	0.6824817518248175	0.8659217877094972	-1
Cas4_0_I-II	62fe559eac786c1400|434edddb08aa768468|434edddb08aa768468|1211221|DCSN01000218.1:10382-35882(FWD)_15	274	180	3.4e-10	34.4	14772	15593	62fe559eac786c1400|434edddb08aa768468|434edddb08aa768468|1211221|DCSN01000218.1:10382-35882(FWD)	15	0.7445255474452555	0.9555555555555556	-1
Cas4_0_I-II-V	62fe559eac786c1400|434edddb08aa768468|434edddb08aa768468|1211221|DCSN01000218.1:10382-35882(FWD)_15	274	177	1e-09	33.1	14772	15593	62fe559eac786c1400|434edddb08aa768468|434edddb08aa768468|1211221|DCSN01000218.1:10382-35882(FWD)	15	0.5912408759124088	0.864406779661017	-1
Cas4_3_CAS-I-II-III-IV-V-VI	62fe559eac786c1400|434edddb08aa768468|434edddb08aa768468|1211221|DCSN01000218.1:10382-35882(FWD)_15	274	197	1.4e-07	26.1	14772	15593	62fe559eac786c1400|434edddb08aa768468|434edddb08aa768468|1211221|DCSN01000218.1:10382-35882(FWD)	15	0.3357664233576642	0.4416243654822335	-1
Cas4_5_CAS-I-II-III-IV-V-VI	62fe559eac786c1400|434edddb08aa768468|434edddb08aa768468|1211221|DCSN01000218.1:10382-35882(FWD)_15	274	161	7.1e-06	20.7	14772	15593	62fe559eac786c1400|434edddb08aa768468|434edddb08aa768468|1211221|DCSN01000218.1:10382-35882(FWD)	15	0.3102189781021898	0.484472049689441	-1
Cas5_1_IC	62fe559eac786c1400|5e6e4c9bfd9ff9f20b|0831bb880f52405795|3791611|NZ_SJEE01000037.1:36787-53961(REV)_1	130	236	0.002	12.0	3	392	62fe559eac786c1400|5e6e4c9bfd9ff9f20b|0831bb880f52405795|3791611|NZ_SJEE01000037.1:36787-53961(REV)	1	0.46923076923076923	0.2627118644067797	1
Cas7_1_IB	62fe559eac786c1400|4003a52cfdb2df8394|7043ebf2c88852f23b|8142731|NZ_JACJQY010000016.1:78090-101533(FWD)_14	132	321	0.0021	11.5	15780	16175	62fe559eac786c1400|4003a52cfdb2df8394|7043ebf2c88852f23b|8142731|NZ_JACJQY010000016.1:78090-101533(FWD)	14	0.26515151515151514	0.11526479750778816	1
Cas8a2_3_CAS-I-A	62fe559eac786c1400|1184b6f32b7a05be57|1184b6f32b7a05be57|EARTH_3300015202_9|3300015202.a:Ga0167663_1000379:2310-27774(REV)_25	271	347	0.00058	13.6	24622	25434	62fe559eac786c1400|1184b6f32b7a05be57|1184b6f32b7a05be57|EARTH_3300015202_9|3300015202.a:Ga0167663_1000379:2310-27774(REV)	25	0.31365313653136534	0.2420749279538905	-1
Cas9_0_II	62fe559eac786c1400|6918dd001679a6a27e|f45aab8d50f6e6e802|527258|NZ_ALWB01000123.1:4233-17416(REV)_9	84	830	0.00013	14.8	9838	10089	62fe559eac786c1400|6918dd001679a6a27e|f45aab8d50f6e6e802|527258|NZ_ALWB01000123.1:4233-17416(REV)	9	0.4523809523809524	0.04578313253012048	1
CasR_0_CAS-I-II-III-IV-V-VI	62fe559eac786c1400|4003a52cfdb2df8394|7043ebf2c88852f23b|8142731|NZ_JACJQY010000016.1:78090-101533(FWD)_18	191	198	0.0001	16.4	19220	19792	62fe559eac786c1400|4003a52cfdb2df8394|7043ebf2c88852f23b|8142731|NZ_JACJQY010000016.1:78090-101533(FWD)	18	0.18324607329842932	0.17676767676767677	1
CasR_1_CAS-I-II-III-IV-V-VI	62fe559eac786c1400|4003a52cfdb2df8394|7043ebf2c88852f23b|8142731|NZ_JACJQY010000016.1:78090-101533(FWD)_18	191	218	7e-06	19.8	19220	19792	62fe559eac786c1400|4003a52cfdb2df8394|7043ebf2c88852f23b|8142731|NZ_JACJQY010000016.1:78090-101533(FWD)	18	0.193717277486911	0.16972477064220184	1
Cmr1gr7_6_CAS-III-B-III-C	62fe559eac786c1400|4003a52cfdb2df8394|7043ebf2c88852f23b|8142731|NZ_JACJQY010000016.1:78090-101533(FWD)_4	444	81	0.00058	14.8	3445	4776	62fe559eac786c1400|4003a52cfdb2df8394|7043ebf2c88852f23b|8142731|NZ_JACJQY010000016.1:78090-101533(FWD)	4	0.13513513513513514	0.49382716049382713	1
Csn2_7_CAS-II-A	62fe559eac786c1400|5e6e4c9bfd9ff9f20b|0831bb880f52405795|3791611|NZ_SJEE01000037.1:36787-53961(REV)_16	227	372	0.00014	15.3	15066	15746	62fe559eac786c1400|5e6e4c9bfd9ff9f20b|0831bb880f52405795|3791611|NZ_SJEE01000037.1:36787-53961(REV)	16	0.29515418502202645	0.18010752688172044	-1
Csn2_7_CAS-II-A	62fe559eac786c1400|fb4d30e91a5977316d|fb4d30e91a5977316d|1552161|NZ_PDDM01000001.1:120287-145802(FWD)_15	227	372	0.00014	15.3	19080	19760	62fe559eac786c1400|fb4d30e91a5977316d|fb4d30e91a5977316d|1552161|NZ_PDDM01000001.1:120287-145802(FWD)	15	0.29515418502202645	0.18010752688172044	-1
Csx18_0_CAS-I-III	62fe559eac786c1400|4003a52cfdb2df8394|7043ebf2c88852f23b|8142731|NZ_JACJQY010000016.1:78090-101533(FWD)_22	210	96	0.0063	10.9	22586	23215	62fe559eac786c1400|4003a52cfdb2df8394|7043ebf2c88852f23b|8142731|NZ_JACJQY010000016.1:78090-101533(FWD)	22	0.21428571428571427	0.34375	-1
