Contig	Start	End	Strand	Pos
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	1	591	1	1
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	560	1219	1	2
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	1171	1776	1	3
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	1754	2437	1	4
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	2475	3056	1	5
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	3268	4473	1	6
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	4463	5665	-1	7
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	5727	6374	1	8
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	6371	6814	1	9
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	6879	7334	1	10
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	7321	7743	1	11
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	7837	8565	1	12
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	8585	9286	1	13
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	9294	10037	1	14
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	10003	10734	1	15
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	10737	11564	1	16
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	11580	11792	1	17
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	11755	12303	1	18
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	12278	12523	1	19
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	12501	12878	1	20
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	12928	13626	1	21
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	13799	14623	-1	22
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	14797	16971	1	23
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	16978	17703	1	24
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	17686	19032	-1	25
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	19036	19626	1	26
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	19643	20656	1	27
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	20725	23868	1	28
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	23868	24611	1	29
88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	24662	25375	1	30
