Contig	Start	End	Strand	Pos
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	2	874	-1	1
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	969	1850	1	2
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	2248	3051	-1	3
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	3152	3658	1	4
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	3800	4618	1	5
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	4615	5859	1	6
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	6013	6537	1	7
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	6612	7979	1	8
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	7976	9433	1	9
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	9645	10160	-1	10
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	10407	11345	1	11
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	11409	12062	1	12
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	12073	12396	1	13
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	12500	13636	1	14
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	13600	14862	-1	15
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	14897	15535	-1	16
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	15516	15926	-1	17
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	15923	16426	-1	18
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	16423	19236	-1	19
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	19638	20423	1	20
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	21074	21568	-1	21
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	21856	22677	1	22
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	22786	25200	-1	23
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	25456	26136	1	24
e36a64acf9381581d3|de9867ce6ef039e1db|de9867ce6ef039e1db|8045271|NZ_JACTVI010000010.1:57868-83971(FWD)	24	257	-1	1
e36a64acf9381581d3|de9867ce6ef039e1db|de9867ce6ef039e1db|8045271|NZ_JACTVI010000010.1:57868-83971(FWD)	317	1360	1	2
e36a64acf9381581d3|de9867ce6ef039e1db|de9867ce6ef039e1db|8045271|NZ_JACTVI010000010.1:57868-83971(FWD)	1414	1548	-1	3
e36a64acf9381581d3|de9867ce6ef039e1db|de9867ce6ef039e1db|8045271|NZ_JACTVI010000010.1:57868-83971(FWD)	1620	2501	1	4
e36a64acf9381581d3|de9867ce6ef039e1db|de9867ce6ef039e1db|8045271|NZ_JACTVI010000010.1:57868-83971(FWD)	2605	3408	-1	5
e36a64acf9381581d3|de9867ce6ef039e1db|de9867ce6ef039e1db|8045271|NZ_JACTVI010000010.1:57868-83971(FWD)	3532	4035	1	6
e36a64acf9381581d3|de9867ce6ef039e1db|de9867ce6ef039e1db|8045271|NZ_JACTVI010000010.1:57868-83971(FWD)	4302	5102	1	7
e36a64acf9381581d3|de9867ce6ef039e1db|de9867ce6ef039e1db|8045271|NZ_JACTVI010000010.1:57868-83971(FWD)	5099	6391	1	8
e36a64acf9381581d3|de9867ce6ef039e1db|de9867ce6ef039e1db|8045271|NZ_JACTVI010000010.1:57868-83971(FWD)	6602	7963	1	9
e36a64acf9381581d3|de9867ce6ef039e1db|de9867ce6ef039e1db|8045271|NZ_JACTVI010000010.1:57868-83971(FWD)	7960	9444	1	10
e36a64acf9381581d3|de9867ce6ef039e1db|de9867ce6ef039e1db|8045271|NZ_JACTVI010000010.1:57868-83971(FWD)	9549	10064	1	11
