Contig	Start	End	Strand	Pos
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	28	1269	-1	1
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	1266	2144	-1	2
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	2141	2512	-1	3
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	2581	3267	-1	4
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	3729	5573	-1	5
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	5629	6228	-1	6
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	6275	6502	-1	7
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	6633	7280	-1	8
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	7333	7986	-1	9
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	8060	9115	-1	10
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	9177	9974	-1	11
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	9971	11008	-1	12
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	11005	11403	-1	13
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	11404	12387	-1	14
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	12501	13292	1	15
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	13296	14180	-1	16
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	14280	14648	1	17
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	14614	14982	-1	18
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	15256	15525	-1	19
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	15522	16436	-1	20
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	16514	18358	1	21
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	18427	19434	1	22
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	19516	19911	1	23
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	19908	21119	-1	24
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	21436	22275	-1	25
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	22281	22436	-1	26
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	22533	23393	-1	27
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	23390	23629	-1	28
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	23639	24244	-1	29
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	24301	24615	1	30
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	24673	24771	1	31
7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV)	24831	25790	-1	32
7c8d22120719f2db6d|a4feb64ffd566059b5|a4feb64ffd566059b5|2352121|NZ_SNWR01000002.1:175979-201746(FWD)	1	1221	1	1
7c8d22120719f2db6d|a4feb64ffd566059b5|a4feb64ffd566059b5|2352121|NZ_SNWR01000002.1:175979-201746(FWD)	1344	1754	1	2
7c8d22120719f2db6d|a4feb64ffd566059b5|a4feb64ffd566059b5|2352121|NZ_SNWR01000002.1:175979-201746(FWD)	1833	2210	-1	3
7c8d22120719f2db6d|a4feb64ffd566059b5|a4feb64ffd566059b5|2352121|NZ_SNWR01000002.1:175979-201746(FWD)	2484	4580	-1	4
7c8d22120719f2db6d|a4feb64ffd566059b5|a4feb64ffd566059b5|2352121|NZ_SNWR01000002.1:175979-201746(FWD)	4673	6589	-1	5
7c8d22120719f2db6d|a4feb64ffd566059b5|a4feb64ffd566059b5|2352121|NZ_SNWR01000002.1:175979-201746(FWD)	6623	7264	-1	6
7c8d22120719f2db6d|a4feb64ffd566059b5|a4feb64ffd566059b5|2352121|NZ_SNWR01000002.1:175979-201746(FWD)	7459	8127	1	7
7c8d22120719f2db6d|a4feb64ffd566059b5|a4feb64ffd566059b5|2352121|NZ_SNWR01000002.1:175979-201746(FWD)	8124	9158	-1	8
7c8d22120719f2db6d|a4feb64ffd566059b5|a4feb64ffd566059b5|2352121|NZ_SNWR01000002.1:175979-201746(FWD)	9219	9986	-1	9
