Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
7205dff302ff900300|c9f44c295692240c37|c9f44c295692240c37|6257741|DSVO01000008.1:41430-66145(FWD)	7205dff302ff900300|c9f44c295692240c37|c9f44c295692240c37|6257741|DSVO01000008.1:41430-66145(FWD)@1	12500	14601	False	0%	67%	I-A	4.0	['Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[14, 15]	['4.50e-103', '2.70e-22']	[0.524, 0.68]	[0.997, 0.835]	NA	1
7205dff302ff900300|dd6c7e984a77e82f46|dd6c7e984a77e82f46|EARTH_3300022842_4|3300022842.a:Ga0222632_1001235:0-10078(REV)	7205dff302ff900300|dd6c7e984a77e82f46|dd6c7e984a77e82f46|EARTH_3300022842_4|3300022842.a:Ga0222632_1001235:0-10078(REV)@1	5956	7997	False	0%	67%	I-A	4.0	['Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[5, 6]	['5.70e-106', '4.60e-24']	[0.546, 0.814]	[0.997, 0.962]	NA	1
7205dff302ff900300|90550fdec598b3f625|90550fdec598b3f625|EARTH_3300027706_37|3300027706.a:Ga0209581_1000448:58798-85612(REV)	7205dff302ff900300|90550fdec598b3f625|90550fdec598b3f625|EARTH_3300027706_37|3300027706.a:Ga0209581_1000448:58798-85612(REV)@1	12501	14602	False	0%	67%	I-A	4.0	['Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[7, 8]	['8.10e-100', '2.30e-22']	[0.524, 0.701]	[0.997, 0.861]	NA	1
7205dff302ff900300|17d81b33487932bcde|17d81b33487932bcde|EARTH_3300005529_32|3300005529.a:Ga0070741_10000008:261017-287822(REV)	7205dff302ff900300|17d81b33487932bcde|17d81b33487932bcde|EARTH_3300005529_32|3300005529.a:Ga0070741_10000008:261017-287822(REV)@1	5112	6101	False	0%	0%	I-A	0.0	['WYL_3_CAS-I-II-III-IV-V-VI']	[4]	['1.10e-45']	[0.527]	[0.988]	NA	NA
7205dff302ff900300|32cdfc7a35363ab3e3|32cdfc7a35363ab3e3|EARTH_3300026516_14|3300026516.a:Ga0209573_1000319:28668-55458(FWD)	7205dff302ff900300|32cdfc7a35363ab3e3|32cdfc7a35363ab3e3|EARTH_3300026516_14|3300026516.a:Ga0209573_1000319:28668-55458(FWD)@1	12500	14643	False	0%	67%	I-A	4.0	['Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[11, 12]	['1.90e-100', '2.00e-23']	[0.533, 0.691]	[0.997, 0.848]	NA	1
7205dff302ff900300|898630df325b56b257|898630df325b56b257|8337981|JABTUN010000002.1:191331-218154(FWD)	7205dff302ff900300|898630df325b56b257|898630df325b56b257|8337981|JABTUN010000002.1:191331-218154(FWD)@1	12539	14665	False	0%	67%	I-A	4.0	['Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[10, 11]	['3.20e-99', '5.20e-25']	[0.534, 0.698]	[0.997, 0.848]	NA	1
7205dff302ff900300|49171fcf208358b96f|49171fcf208358b96f|EARTH_3300018018_28|3300018018.a:Ga0187886_1002393:0-15169(REV)	7205dff302ff900300|49171fcf208358b96f|49171fcf208358b96f|EARTH_3300018018_28|3300018018.a:Ga0187886_1002393:0-15169(REV)@1	287	8329	Ambiguous	['29%', '20%', '25%', '20%', '17%', '0%', '25%']	['67%', '67%', '67%', '67%', '100%', '50%', '100%']	['I-A', 'I-B', 'I-C', 'I-D', 'I-E', 'I-F', 'I-G']	6.0	['Cas3HD_1_CAS-I', 'Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[2, 5, 6]	['4.80e-04', '2.90e-102', '7.30e-22']	[0.344, 0.527, 0.753]	[0.67, 0.997, 0.924]	-1	1
7205dff302ff900300|5f55dcbcc5bfd16b7c|5f55dcbcc5bfd16b7c|7791131|CAIXVN010000558.1:0-2989(REV)	7205dff302ff900300|5f55dcbcc5bfd16b7c|5f55dcbcc5bfd16b7c|7791131|CAIXVN010000558.1:0-2989(REV)@1	1138	2988	False	0%	67%	I-A	4.0	['Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[2, 3]	['8.80e-102', '9.60e-21']	[0.558, 0.902]	[0.997, 0.582]	NA	1
7205dff302ff900300|294bd739f9f9d09cb9|294bd739f9f9d09cb9|1724781|PLTP01000092.1:0-10578(FWD)	7205dff302ff900300|294bd739f9f9d09cb9|294bd739f9f9d09cb9|1724781|PLTP01000092.1:0-10578(FWD)@1	8245	10246	False	0%	67%	I-A	4.0	['Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[6, 7]	['1.20e-62', '1.20e-24']	[0.438, 0.732]	[0.703, 0.899]	NA	1
7205dff302ff900300|7205dff302ff900300|7205dff302ff900300|9214191|JAEUHJ010000172.1:27608-54452(REV)	7205dff302ff900300|7205dff302ff900300|7205dff302ff900300|9214191|JAEUHJ010000172.1:27608-54452(REV)@1	2	1435	False	0%	NA	III-A	1.0	['TPR_1_CAS-III-A']	[1]	['1.90e-04']	[0.347]	[0.355]	NA	NA
7205dff302ff900300|709e4b7ccc72ee2af1|709e4b7ccc72ee2af1|1724861|PLTX01000084.1:0-8835(REV)	7205dff302ff900300|709e4b7ccc72ee2af1|709e4b7ccc72ee2af1|1724861|PLTX01000084.1:0-8835(REV)@1	5766	7858	False	0%	67%	I-A	4.0	['Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[4, 5]	['1.80e-96', '9.00e-23']	[0.527, 0.753]	[0.997, 0.924]	NA	1
7205dff302ff900300|7205dff302ff900300|7205dff302ff900300|9214191|JAEUHJ010000172.1:27608-54452(REV)	7205dff302ff900300|7205dff302ff900300|7205dff302ff900300|9214191|JAEUHJ010000172.1:27608-54452(REV)@2	12501	14645	False	0%	67%	I-A	4.0	['Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[12, 13]	['1.40e-99', '7.70e-24']	[0.517, 0.698]	[0.997, 0.848]	NA	1
7205dff302ff900300|c049d69fedb1076310|c049d69fedb1076310|9164511|JADJPM010000004.1:2774868-2801688(FWD)	7205dff302ff900300|c049d69fedb1076310|c049d69fedb1076310|9164511|JADJPM010000004.1:2774868-2801688(FWD)@1	12500	14656	False	0%	67%	I-A	4.0	['Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[13, 14]	['3.30e-95', '5.30e-25']	[0.499, 0.698]	[0.95, 0.848]	NA	1
7205dff302ff900300|25a84f0f169dd7b3a9|48b908d6cb2b66107b|EARTH_3300025409_9|3300025409.a:Ga0208321_1000009:189792-216594(FWD)	7205dff302ff900300|25a84f0f169dd7b3a9|48b908d6cb2b66107b|EARTH_3300025409_9|3300025409.a:Ga0208321_1000009:189792-216594(FWD)@1	2545	2907	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[4]	['4.10e-14']	[0.562]	[0.636]	NA	NA
7205dff302ff900300|b3846b384bbb30d475|b3846b384bbb30d475|8895251|JACPAV010000038.1:0-18703(FWD)	7205dff302ff900300|b3846b384bbb30d475|b3846b384bbb30d475|8895251|JACPAV010000038.1:0-18703(FWD)@1	4506	6497	False	0%	67%	I-A	4.0	['Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[3, 4]	['4.40e-101', '5.10e-23']	[0.56, 0.68]	[0.997, 0.835]	NA	1
7205dff302ff900300|25a84f0f169dd7b3a9|48b908d6cb2b66107b|EARTH_3300025409_9|3300025409.a:Ga0208321_1000009:189792-216594(FWD)	7205dff302ff900300|25a84f0f169dd7b3a9|48b908d6cb2b66107b|EARTH_3300025409_9|3300025409.a:Ga0208321_1000009:189792-216594(FWD)@2	12500	14589	False	0%	67%	I-A	4.0	['Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[12, 13]	['2.00e-100', '2.70e-24']	[0.527, 0.711]	[0.997, 0.873]	NA	1
7205dff302ff900300|149353d29eaa6fc570|149353d29eaa6fc570|833071|MGVE01000018.1:5630-32327(FWD)	7205dff302ff900300|149353d29eaa6fc570|149353d29eaa6fc570|833071|MGVE01000018.1:5630-32327(FWD)@1	12500	14197	False	0%	33%	I-A	2.0	['Cas1_0_CAS-I-II-III-IV-V-VI']	[11]	['1.40e-98']	[0.56]	[0.997]	NA	1
