Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
99f6125a673bcd700d|af229556658ed479c2|af229556658ed479c2|634458|NZ_KB901875.1:580542-605802(REV)	99f6125a673bcd700d|af229556658ed479c2|af229556658ed479c2|634458|NZ_KB901875.1:580542-605802(REV)@2	14397	14648	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[16]	['1.20e-05']	[0.607]	[0.39]	NA	NA
99f6125a673bcd700d|99bd15b1eeac1af837|99bd15b1eeac1af837|634458|NZ_KB901875.1:1742219-1767638(FWD)	99f6125a673bcd700d|99bd15b1eeac1af837|99bd15b1eeac1af837|634458|NZ_KB901875.1:1742219-1767638(FWD)@1	22473	23189	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[25]	['5.40e-06']	[0.565]	[0.496]	NA	NA
99f6125a673bcd700d|1399a699d865e5822d|1399a699d865e5822d|8618631|NZ_LR797830.1:406088-431369(REV)	99f6125a673bcd700d|1399a699d865e5822d|1399a699d865e5822d|8618631|NZ_LR797830.1:406088-431369(REV)@1	6797	7588	False	0%	NA	III-B	1.0	['NYN_0_CAS-III-B']	[8]	['2.50e-07']	[0.375]	[0.316]	NA	NA
99f6125a673bcd700d|93c0f9f4ddcd9798f7|93c0f9f4ddcd9798f7|634458|NZ_KB901876.1:112756-138313(REV)	99f6125a673bcd700d|93c0f9f4ddcd9798f7|93c0f9f4ddcd9798f7|634458|NZ_KB901876.1:112756-138313(REV)@1	7430	8080	False	0%	33%	I-A	1.0	['Cas4_0_I-II']	[14]	['1.20e-10']	[0.645]	[0.761]	NA	-1
99f6125a673bcd700d|99f6125a673bcd700d|99f6125a673bcd700d|634458|NZ_KB901878.1:100605-126339(FWD)	99f6125a673bcd700d|99f6125a673bcd700d|99f6125a673bcd700d|634458|NZ_KB901878.1:100605-126339(FWD)@1	15810	17198	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[20]	['1.50e-04']	[0.389]	[0.568]	NA	NA
99f6125a673bcd700d|99f6125a673bcd700d|99f6125a673bcd700d|634458|NZ_KB901878.1:100605-126339(FWD)	99f6125a673bcd700d|99f6125a673bcd700d|99f6125a673bcd700d|634458|NZ_KB901878.1:100605-126339(FWD)@2	22155	23474	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[29]	['8.00e-78']	[0.652]	[0.913]	NA	NA
99f6125a673bcd700d|e58f4f87bd1046e94b|e58f4f87bd1046e94b|8618631|NZ_LR797830.1:478008-503289(REV)	99f6125a673bcd700d|e58f4f87bd1046e94b|e58f4f87bd1046e94b|8618631|NZ_LR797830.1:478008-503289(REV)@1	1	351	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[1]	['2.40e-12']	[0.658]	[0.851]	NA	NA
99f6125a673bcd700d|1399a699d865e5822d|aae30a837bd66e7055|634458|NZ_KB901875.1:1799268-1824525(REV)	99f6125a673bcd700d|1399a699d865e5822d|aae30a837bd66e7055|634458|NZ_KB901875.1:1799268-1824525(REV)@1	23171	23749	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[28]	['1.50e-03']	[0.326]	[0.542]	NA	NA
99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:567061-592621(REV)	99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:567061-592621(REV)@1	1011	2435	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[3]	['4.80e-20']	[0.909]	[0.32]	NA	NA
99f6125a673bcd700d|85031cb0676fa9e153|fe6b967475d87ef612|634458|NZ_KB901875.1:1636489-1662049(FWD)	99f6125a673bcd700d|85031cb0676fa9e153|fe6b967475d87ef612|634458|NZ_KB901875.1:1636489-1662049(FWD)@1	14786	15283	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[20]	['8.70e-05']	[0.398]	[0.328]	NA	NA
