Contig	Start	End	Strand	Pos
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	2	325	-1	1
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	492	1097	-1	2
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	1236	2654	1	3
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	2651	2773	1	4
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	2807	3535	-1	5
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	3738	4418	1	6
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	4436	5473	-1	7
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	5534	6532	-1	8
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	6547	7959	-1	9
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	8233	8631	1	10
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	8632	9849	1	11
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	9846	10679	1	12
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	10799	11170	-1	13
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	11163	11618	-1	14
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	11667	12485	1	15
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	12500	13891	1	16
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	13946	14662	1	17
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	14676	15566	-1	18
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	15711	16169	-1	19
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	16320	16691	1	20
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	16739	17560	-1	21
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	17639	18061	1	22
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	18078	18452	-1	23
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	18449	19084	-1	24
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	19161	20153	-1	25
d2248a31d0e133ef11|0c216bbc0f2ce784e8|0c216bbc0f2ce784e8|4438181|NZ_VSFA01000044.1:34475-55605(REV)	20320	21129	1	26
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	1	942	1	1
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	1041	1511	-1	2
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	1690	3915	-1	3
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	4041	6299	-1	4
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	7040	8593	1	5
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	8604	9518	-1	6
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	9674	11191	1	7
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	11282	12481	-1	8
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	12501	12899	1	9
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	13522	14079	-1	10
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	14125	14379	-1	11
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	14652	15179	-1	12
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	15350	15904	-1	13
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	16255	17487	1	14
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	17484	18146	1	15
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	18444	18869	-1	16
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	18961	19752	1	17
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	20194	21141	1	18
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	21282	22115	1	19
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	22106	22678	1	20
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	22757	23788	1	21
d2248a31d0e133ef11|f6389c8065cfda08b9|ebed9c2a821520715e|1232541|NZ_AP018233.1:983148-1008546(REV)	24457	25398	1	22
d2248a31d0e133ef11|0789e46f5739d8ba21|0789e46f5739d8ba21|816521|NZ_CP017599.1:1656907-1682206(FWD)	1	336	-1	1
d2248a31d0e133ef11|0789e46f5739d8ba21|0789e46f5739d8ba21|816521|NZ_CP017599.1:1656907-1682206(FWD)	1299	2564	1	2
d2248a31d0e133ef11|0789e46f5739d8ba21|0789e46f5739d8ba21|816521|NZ_CP017599.1:1656907-1682206(FWD)	2636	2848	1	3
d2248a31d0e133ef11|0789e46f5739d8ba21|0789e46f5739d8ba21|816521|NZ_CP017599.1:1656907-1682206(FWD)	4121	4774	-1	4
d2248a31d0e133ef11|0789e46f5739d8ba21|0789e46f5739d8ba21|816521|NZ_CP017599.1:1656907-1682206(FWD)	5216	5917	1	5
d2248a31d0e133ef11|0789e46f5739d8ba21|0789e46f5739d8ba21|816521|NZ_CP017599.1:1656907-1682206(FWD)	5914	6828	1	6
d2248a31d0e133ef11|0789e46f5739d8ba21|0789e46f5739d8ba21|816521|NZ_CP017599.1:1656907-1682206(FWD)	6966	9227	1	7
d2248a31d0e133ef11|0789e46f5739d8ba21|0789e46f5739d8ba21|816521|NZ_CP017599.1:1656907-1682206(FWD)	9339	10577	1	8
d2248a31d0e133ef11|0789e46f5739d8ba21|0789e46f5739d8ba21|816521|NZ_CP017599.1:1656907-1682206(FWD)	10752	11078	1	9
d2248a31d0e133ef11|0789e46f5739d8ba21|0789e46f5739d8ba21|816521|NZ_CP017599.1:1656907-1682206(FWD)	11091	12323	-1	10
d2248a31d0e133ef11|0789e46f5739d8ba21|0789e46f5739d8ba21|816521|NZ_CP017599.1:1656907-1682206(FWD)	12500	12799	1	11
d2248a31d0e133ef11|0789e46f5739d8ba21|0789e46f5739d8ba21|816521|NZ_CP017599.1:1656907-1682206(FWD)	12827	13150	1	12
d2248a31d0e133ef11|0789e46f5739d8ba21|0789e46f5739d8ba21|816521|NZ_CP017599.1:1656907-1682206(FWD)	13820	14566	1	13
d2248a31d0e133ef11|0789e46f5739d8ba21|0789e46f5739d8ba21|816521|NZ_CP017599.1:1656907-1682206(FWD)	15275	15472	1	14
d2248a31d0e133ef11|0789e46f5739d8ba21|0789e46f5739d8ba21|816521|NZ_CP017599.1:1656907-1682206(FWD)	16121	18250	-1	15
d2248a31d0e133ef11|0789e46f5739d8ba21|0789e46f5739d8ba21|816521|NZ_CP017599.1:1656907-1682206(FWD)	18662	20149	-1	16
d2248a31d0e133ef11|0789e46f5739d8ba21|0789e46f5739d8ba21|816521|NZ_CP017599.1:1656907-1682206(FWD)	20288	22438	-1	17
d2248a31d0e133ef11|0789e46f5739d8ba21|0789e46f5739d8ba21|816521|NZ_CP017599.1:1656907-1682206(FWD)	22829	24157	-1	18
d2248a31d0e133ef11|0789e46f5739d8ba21|0789e46f5739d8ba21|816521|NZ_CP017599.1:1656907-1682206(FWD)	24424	24600	-1	19
d2248a31d0e133ef11|ada7921ef5d372d182|ada7921ef5d372d182|5850351|JAAHFP010000021.1:84499-109723(REV)	3	668	-1	1
d2248a31d0e133ef11|ada7921ef5d372d182|ada7921ef5d372d182|5850351|JAAHFP010000021.1:84499-109723(REV)	738	1625	-1	2
d2248a31d0e133ef11|ada7921ef5d372d182|ada7921ef5d372d182|5850351|JAAHFP010000021.1:84499-109723(REV)	1727	2464	-1	3
