Contig	Start	End	Strand	Pos
214319fd8cc31efee9|8c24ff475dcc11339d|8c24ff475dcc11339d|8119301|NZ_BMPW01000013.1:266066-284088(REV)	2	901	1	1
214319fd8cc31efee9|8c24ff475dcc11339d|8c24ff475dcc11339d|8119301|NZ_BMPW01000013.1:266066-284088(REV)	953	2065	1	2
214319fd8cc31efee9|8c24ff475dcc11339d|8c24ff475dcc11339d|8119301|NZ_BMPW01000013.1:266066-284088(REV)	2068	2760	-1	3
214319fd8cc31efee9|8c24ff475dcc11339d|8c24ff475dcc11339d|8119301|NZ_BMPW01000013.1:266066-284088(REV)	2873	3544	1	4
214319fd8cc31efee9|8c24ff475dcc11339d|8c24ff475dcc11339d|8119301|NZ_BMPW01000013.1:266066-284088(REV)	3583	5523	1	5
214319fd8cc31efee9|8c24ff475dcc11339d|8c24ff475dcc11339d|8119301|NZ_BMPW01000013.1:266066-284088(REV)	5584	7713	1	6
214319fd8cc31efee9|8c24ff475dcc11339d|8c24ff475dcc11339d|8119301|NZ_BMPW01000013.1:266066-284088(REV)	7842	8405	-1	7
214319fd8cc31efee9|8c24ff475dcc11339d|8c24ff475dcc11339d|8119301|NZ_BMPW01000013.1:266066-284088(REV)	8923	9342	1	8
214319fd8cc31efee9|8c24ff475dcc11339d|8c24ff475dcc11339d|8119301|NZ_BMPW01000013.1:266066-284088(REV)	9518	9928	-1	9
214319fd8cc31efee9|8c24ff475dcc11339d|8c24ff475dcc11339d|8119301|NZ_BMPW01000013.1:266066-284088(REV)	10108	11562	1	10
214319fd8cc31efee9|8c24ff475dcc11339d|8c24ff475dcc11339d|8119301|NZ_BMPW01000013.1:266066-284088(REV)	11830	12666	1	11
214319fd8cc31efee9|8c24ff475dcc11339d|8c24ff475dcc11339d|8119301|NZ_BMPW01000013.1:266066-284088(REV)	13270	15948	-1	12
214319fd8cc31efee9|8c24ff475dcc11339d|8c24ff475dcc11339d|8119301|NZ_BMPW01000013.1:266066-284088(REV)	16215	16901	-1	13
214319fd8cc31efee9|8c24ff475dcc11339d|8c24ff475dcc11339d|8119301|NZ_BMPW01000013.1:266066-284088(REV)	17027	18022	1	14
214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV)	2	1936	1	1
214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV)	2107	2361	-1	2
214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV)	2392	2931	1	3
214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV)	2928	3311	-1	4
214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV)	3398	4264	1	5
214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV)	4239	4835	-1	6
214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV)	4968	5840	1	7
214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV)	5853	6623	-1	8
214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV)	6705	7679	1	9
214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV)	7739	8140	1	10
214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV)	8137	9195	1	11
214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV)	9192	9944	1	12
214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV)	10005	11075	1	13
214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV)	11087	11740	-1	14
214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV)	11863	12504	1	15
214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV)	12501	14468	1	16
