query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh_C,PF02826.21,178,2a89c5bbdcfcb0cd2a|79c310608f39e2aa9c|79c310608f39e2aa9c|866921|NZ_LT629758.1:4018282-4044046(REV);11451;12413;-,15.8,0.00011,321,35,101,142,208
2-Hacid_dh_C,PF02826.21,178,2a89c5bbdcfcb0cd2a|2a89c5bbdcfcb0cd2a|642e30bd233a40deb9|8119301|NZ_BMPW01000026.1:0-17238(FWD);2933;3907;-,15.4,0.00015,325,35,102,146,212
2-Hacid_dh_C,PF02826.21,178,2a89c5bbdcfcb0cd2a|8e62ea6aa72b97830f|8e62ea6aa72b97830f|8658651|NZ_JADQTO010000003.1:257421-283182(FWD);11439;12416;-,14.0,0.00038,326,35,102,145,212
2-Hacid_dh_C,PF02826.21,178,2a89c5bbdcfcb0cd2a|10056ebb696a0b8c33|10056ebb696a0b8c33|1154431|NZ_FZNR01000007.1:37983-63747(FWD);11444;12418;-,13.6,0.00053,325,35,103,144,212
2-Hacid_dh_C,PF02826.21,178,2a89c5bbdcfcb0cd2a|2a89c5bbdcfcb0cd2a|2a89c5bbdcfcb0cd2a|7887651|NZ_JACHNC010000001.1:5418486-5444229(FWD);11450;12394;-,13.6,0.00054,315,35,103,136,203
2-Hacid_dh_C,PF02826.21,178,2a89c5bbdcfcb0cd2a|66d11153b5d8c00d2e|66d11153b5d8c00d2e|2068071|NZ_CP023865.1:2732431-2758198(FWD);11442;12416;-,13.1,0.00074,325,35,96,144,206
2-Hacid_dh_C,PF02826.21,178,2a89c5bbdcfcb0cd2a|05ee5a124180059d5f|05ee5a124180059d5f|1769821|NZ_QLMJ01000018.1:35165-60917(REV);11390;12271;-,12.4,0.0012,294,34,98,112,176
2-Hacid_dh_C,PF02826.21,178,2a89c5bbdcfcb0cd2a|9cac288bbc758d20ea|9cac288bbc758d20ea|408138|NC_017093.1:5377735-5403487(REV);11343;12320;-,12.0,0.0016,326,35,98,145,208
3-dmu-9_3-mt,PF06983.15,116,2a89c5bbdcfcb0cd2a|66d11153b5d8c00d2e|66d11153b5d8c00d2e|2068071|NZ_CP023865.1:2732431-2758198(FWD);3586;3996;+,42.5,1.3e-12,137,2,115,4,130
3-dmu-9_3-mt,PF06983.15,116,2a89c5bbdcfcb0cd2a|79c310608f39e2aa9c|79c310608f39e2aa9c|866921|NZ_LT629758.1:4018282-4044046(REV);2055;2459;+,37.1,6.1e-11,135,2,115,4,130
3HCDH_N,PF02737.20,180,2a89c5bbdcfcb0cd2a|79c310608f39e2aa9c|79c310608f39e2aa9c|866921|NZ_LT629758.1:4018282-4044046(REV);11451;12413;-,18.8,2e-05,321,1,39,145,184
3HCDH_N,PF02737.20,180,2a89c5bbdcfcb0cd2a|66d11153b5d8c00d2e|66d11153b5d8c00d2e|2068071|NZ_CP023865.1:2732431-2758198(FWD);11442;12416;-,18.7,2.1e-05,325,1,34,147,181
