Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
Csm6_0_CAS-III	88a7c58044ed1c0c01|2f9046813bab5373dc|2f9046813bab5373dc|2181871|NZ_AP018553.1:241325-266702(FWD)_2	236	189	0.0038	11.5	799	1506	88a7c58044ed1c0c01|2f9046813bab5373dc|2f9046813bab5373dc|2181871|NZ_AP018553.1:241325-266702(FWD)	2	0.22033898305084745	0.26455026455026454	1
Csf4_3_IVE	88a7c58044ed1c0c01|63a73db6f8dd317297|63a73db6f8dd317297|EARTH_3300026821_12|3300026821.a:Ga0208006_100002:24728-50108(REV)_1	362	648	8.5e-07	22.7	2	1087	88a7c58044ed1c0c01|63a73db6f8dd317297|63a73db6f8dd317297|EARTH_3300026821_12|3300026821.a:Ga0208006_100002:24728-50108(REV)	1	0.4281767955801105	0.22839506172839505	1
Cas11_2_IV	88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)_4	228	161	0.0021	12.7	1754	2437	88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	4	0.15350877192982457	0.21739130434782608	1
Cas11_2_IV	88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|5366651|NZ_CP045484.1:297689-323066(REV)_4	228	161	0.0023	12.6	1759	2442	88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|5366651|NZ_CP045484.1:297689-323066(REV)	4	0.15350877192982457	0.21739130434782608	1
Cas11_2_IV	88a7c58044ed1c0c01|e799ebdd9441b87c1e|e799ebdd9441b87c1e|32368|NC_003106.2:435463-460840(REV)_4	228	161	0.0023	12.6	1759	2442	88a7c58044ed1c0c01|e799ebdd9441b87c1e|e799ebdd9441b87c1e|32368|NC_003106.2:435463-460840(REV)	4	0.15350877192982457	0.21739130434782608	1
NYN_0_CAS-III-B	88a7c58044ed1c0c01|fdb0d142e0d14d9a09|fdb0d142e0d14d9a09|6242401|DTOX01000014.1:174462-199839(FWD)_35	273	320	0.0024	11.8	23858	24676	88a7c58044ed1c0c01|fdb0d142e0d14d9a09|fdb0d142e0d14d9a09|6242401|DTOX01000014.1:174462-199839(FWD)	35	0.16483516483516483	0.128125	-1
Cas8b1_2_CAS-I-B	88a7c58044ed1c0c01|fdb0d142e0d14d9a09|89a18c4957ce3544d4|EARTH_3300025546_28|3300025546.a:Ga0209225_1001367:4582-24370(FWD)_13	227	385	0.0008	13.4	7572	8252	88a7c58044ed1c0c01|fdb0d142e0d14d9a09|89a18c4957ce3544d4|EARTH_3300025546_28|3300025546.a:Ga0209225_1001367:4582-24370(FWD)	13	0.7136563876651982	0.3922077922077922	1
Csf4_0_IVA	88a7c58044ed1c0c01|63a73db6f8dd317297|63a73db6f8dd317297|EARTH_3300026821_12|3300026821.a:Ga0208006_100002:24728-50108(REV)_1	362	666	2.3e-15	50.9	2	1087	88a7c58044ed1c0c01|63a73db6f8dd317297|63a73db6f8dd317297|EARTH_3300026821_12|3300026821.a:Ga0208006_100002:24728-50108(REV)	1	0.4281767955801105	0.24024024024024024	1
Cas11b_2_CAS-I-B	88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)_4	228	100	0.0026	12.6	1754	2437	88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|6654491|NZ_CP035730.1:681063-706440(REV)	4	0.20175438596491227	0.45	1
Cas11b_2_CAS-I-B	88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|5366651|NZ_CP045484.1:297689-323066(REV)_4	228	100	0.0031	12.4	1759	2442	88a7c58044ed1c0c01|e799ebdd9441b87c1e|562996dcc5d2925e8b|5366651|NZ_CP045484.1:297689-323066(REV)	4	0.20614035087719298	0.46	1
