recid,hash,chash,start,end,is_crispr
GUT_GENOME152374_1,38ace7011a3e05ea5289,9de9a6b162d66b94f326,1,231,0
GUT_GENOME152374_1,368779327595dfa5f505,9de9a6b162d66b94f326,683,3877,0
GUT_GENOME152374_1,90946f6a7d8f8decd0ab,9de9a6b162d66b94f326,3899,5509,0
GUT_GENOME152374_1,8ce0152632b6b8e363b8,9de9a6b162d66b94f326,5535,6383,0
GUT_GENOME152374_1,47074081af7c60d0c040,9de9a6b162d66b94f326,6414,7256,0
GUT_GENOME152374_1,54b281c1b5fbe9108314,9de9a6b162d66b94f326,7389,8687,0
GUT_GENOME152374_1,2dff86a6a186c6ca55dd,9de9a6b162d66b94f326,8767,9045,0
GUT_GENOME152374_1,f9bdc74bb96ae2d0205d,9de9a6b162d66b94f326,9138,9437,0
GUT_GENOME152374_1,565099af5553ef7eb1c1,9de9a6b162d66b94f326,9768,11315,0
GUT_GENOME152374_1,289a0d4bf70db191266b,9de9a6b162d66b94f326,11546,12466,0
GUT_GENOME152374_1,032ab8dcf604db2ba379,9de9a6b162d66b94f326,13183,16317,0
GUT_GENOME152374_1,de725b6286f1c6fc3ac6,9de9a6b162d66b94f326,16340,18001,0
GUT_GENOME152374_1,35ac4e80d7fadb835974,9de9a6b162d66b94f326,18047,19204,0
GUT_GENOME152374_1,76c0ed66c15c5c6d0a36,9de9a6b162d66b94f326,19369,20643,0
GUT_GENOME152374_1,362656f2a31f1bf9ff4e,9de9a6b162d66b94f326,20665,22578,0
GUT_GENOME152374_1,912316bddaee432e3f93,9de9a6b162d66b94f326,22708,23337,0
GUT_GENOME152374_1,55423dcc8d46dd630592,9de9a6b162d66b94f326,23538,24509,0
GUT_GENOME152374_1,6fa4d93163dfb50aea36,9de9a6b162d66b94f326,24581,25681,0
GUT_GENOME152374_1,15bf4717e454a28a630c,9de9a6b162d66b94f326,25701,26906,0
GUT_GENOME152374_1,3499e2cf465763e376af,9de9a6b162d66b94f326,27086,27724,0
GUT_GENOME152374_1,d06a77908ea74a0f30b7,9de9a6b162d66b94f326,27849,30830,0
GUT_GENOME152374_1,272b07a00eb2b61ff156,9de9a6b162d66b94f326,30925,32262,0
GUT_GENOME152374_1,73fe7ce34c04e1e1cbb0,9de9a6b162d66b94f326,32354,33580,0
GUT_GENOME152374_1,485c5139798ca526f6c5,9de9a6b162d66b94f326,33623,34450,0
GUT_GENOME152374_10,31d8af135abefdba4960,fd506aa48ecccd25153a,3,1232,0
GUT_GENOME152374_10,72746e45b044f996a9f4,fd506aa48ecccd25153a,1238,1353,1
GUT_GENOME152374_10,f9772b0f331e0e553d5a,fd506aa48ecccd25153a,1471,2154,0
GUT_GENOME152374_10,3e9ef74e19a70756a458,fd506aa48ecccd25153a,2164,2694,0
GUT_GENOME152374_10,cd8269ee703779856a31,fd506aa48ecccd25153a,3222,4892,0
GUT_GENOME152374_10,7f5fae05cb2c1188a215,fd506aa48ecccd25153a,4911,6593,0
GUT_GENOME152374_10,dcfdff1d117eafbce767,fd506aa48ecccd25153a,6607,9957,0
GUT_GENOME152374_10,5e2384e5e3126ec119c0,fd506aa48ecccd25153a,10038,12695,0
GUT_GENOME152374_10,e8afd229f7ac28c27b3d,fd506aa48ecccd25153a,12717,14933,0
GUT_GENOME152374_10,646279648bac034f1120,fd506aa48ecccd25153a,14970,16388,0
GUT_GENOME152374_10,f9f9cf1f9fab01a82c31,fd506aa48ecccd25153a,16880,18229,0
GUT_GENOME152374_10,fad317f0caf9db3dcebf,fd506aa48ecccd25153a,18285,18638,0
GUT_GENOME152374_10,9a5e37d7f27440c6f194,fd506aa48ecccd25153a,18640,19230,0
GUT_GENOME152374_100,4184f1af1f5c1807bfac,4afafd0c8defcc4359ad,2,343,0
GUT_GENOME152374_100,4e3c65a2b1d7cc0f718d,4afafd0c8defcc4359ad,413,775,0
GUT_GENOME152374_100,61b9e6ce33bff4539809,4afafd0c8defcc4359ad,1310,4138,0
GUT_GENOME152374_100,9eefdd1c1049d4e035e6,4afafd0c8defcc4359ad,4595,5149,0
GUT_GENOME152374_100,f08ea9a096c847499ed9,4afafd0c8defcc4359ad,5154,6812,0
GUT_GENOME152374_101,5e3bf2b07fb9c7f51aef,57f6021b81c2c0acf663,1,2187,0
GUT_GENOME152374_101,c9e4a3911c6a4331b4a4,57f6021b81c2c0acf663,2193,3035,0
GUT_GENOME152374_101,ab402651912e93d58275,57f6021b81c2c0acf663,3045,4976,0
GUT_GENOME152374_101,96fa4f5d63e3765488ce,57f6021b81c2c0acf663,4986,6599,0
GUT_GENOME152374_101,a25937bce3dfc5229c9c,57f6021b81c2c0acf663,6637,6903,0
GUT_GENOME152374_102,e1b66d32d8d03fed5ab9,aac08f57e566d93ba66b,3,533,0
GUT_GENOME152374_102,bff1774d68ae7f726b70,aac08f57e566d93ba66b,971,1684,0
GUT_GENOME152374_102,9a8730e37f1491854a26,aac08f57e566d93ba66b,1695,1874,0
GUT_GENOME152374_102,8b677b0327173310c1be,aac08f57e566d93ba66b,1874,2512,0
GUT_GENOME152374_102,5d163657ac5102920da3,aac08f57e566d93ba66b,2881,3672,0
GUT_GENOME152374_102,5c9bf6fc095a2c0ef6e7,aac08f57e566d93ba66b,3723,5672,0
GUT_GENOME152374_102,2cd11fa9115e78a01436,aac08f57e566d93ba66b,5669,6346,0
GUT_GENOME152374_102,902adfd43fb57521a3a4,aac08f57e566d93ba66b,6370,6804,0
GUT_GENOME152374_103,0f22ade6dc4fda1cecbd,f24c560f656a3c164dd7,3,536,0
GUT_GENOME152374_103,1ddc00653d67e4a748c3,f24c560f656a3c164dd7,723,1325,0
GUT_GENOME152374_103,4948964b31253f7aaee2,f24c560f656a3c164dd7,1402,3528,0
GUT_GENOME152374_103,16d2a40b84eaf0ed13ed,f24c560f656a3c164dd7,3926,6271,0
GUT_GENOME152374_104,d7eeb665f4b4354ea468,27325d74b32f8be7c2d8,1,549,0
GUT_GENOME152374_104,ff7a2eafb207c2de9dfb,27325d74b32f8be7c2d8,710,1435,0
GUT_GENOME152374_104,559abc4bbfef6afdfea2,27325d74b32f8be7c2d8,1541,3646,0
GUT_GENOME152374_104,51f8bc8d5353e7b936fe,27325d74b32f8be7c2d8,4104,6716,0
GUT_GENOME152374_105,1cb9ff83929a2a15bb19,4738a941f688c9828db7,2,1504,0
GUT_GENOME152374_105,1ef567c1a9332ec6ffed,4738a941f688c9828db7,1522,3750,0
